QuestionId,QuestionTitle,QuestionBody,QuestionTags,Date,ViewCount,Score,NumberOfAnswers,AnswerId,AnswerBody
"75698058","How to find correlation of two set of software requirements","<p>I have a thought to find correlation between given set of high level software requirements to customer requirement specification both of which are represented by English text. I want to do this to find which high level requirement corresponds to which customer requirement specification. Can anyone guide me how to do this? Are there any open source libraries to use?</p>
<p>I don't know much on machine learning or natural language processing, so have not tried anything yet</p>
","<machine-learning><nlp>","2023-03-10 15:34:07","16","0","1","75700898","<p>You can use many methods
One of them I like is using NLTK or spaCy to tokenize and preprocess the text, and then use scikit-learn to compute the similar.</p>
<p>Here is an example:</p>
<pre><code>import nltk

def split_sentences(text):
    words = nltk.word_tokenize(text)
    
    tagged_words = nltk.pos_tag(words)
    
    sentences = []
    
    buffer = []
    
    for word, tag in tagged_words:
        if tag == 'VBZ' or tag == 'VBP' or tag == 'VBG' or tag == 'VBN' or tag == 'VBD':
            if buffer:
                sentence = ' '.join(buffer)
                sentences.append(sentence)
                buffer = []
        else:
            buffer.append(word)
    
    if buffer:
        sentence = ' '.join(buffer)
        sentences.append(sentence)
    
    return sentences
</code></pre>
"
"75137480","Use dictionaries as requirements for if statements","<p>First of all, I`m sorry if I might ask this question and if it was already answered somewhere else. I couldnt find any solution for the following Problem:</p>
<p>I want to create a list where I apply multiple restricions. But instead of using over hundreads of if statements i just want to use a dictionary in one if statement to apply the requirements. So to say I want to use the keys of the dictionary as requirements and its values as factors for the data.</p>
<p>Lets take a look at a small example:</p>
<p>I want to create data for a countourplot where x/y range from [-50,50] in steps of 1 and the z function has requirements based on the if statements:</p>
<p>The following code is what works, but the more requirements I add the longer and more unreadalbe the code gets:</p>
<pre><code>x = np.linspace(-50 , 50, 100)
y = np.linspace(-50 , 50, 100)
z = []
z_0 = 100
for i in x:
   for j in y:
      if i**2 + j**2 &lt;= 10**2:
         z.append(1.9 * z_0)
      elif i**2 + j**2 &lt;= 20**2:
         z.append(1.5 * z_0)
      elif i**2 + j**2 &lt;= 30**2:
         z.append(1.4 * z_0)
      elif i**2 + j**2 &lt;= 40**2:
         z.append(1.05 * z_0)
      else
         z.append(z_0)
</code></pre>
<p>This would create a map with radial decreasing hight as a function of z on different positions. Is it possible to do this in the following way which is way less redundant? My main problem is how to assing the correct value.</p>
<pre><code>x = np.linspace(-50 , 50, 100)
y = np.linspace(-50 , 50, 100)
z = []
requirements_dict = {10:1,9, 20:1.5, 30:1.4, 40:1.05}
z_0 = 100
for i in x:
   for j in y:
      if i**2 + j**2 &lt;= (each key of the requirements_dict) :
         z.append( (corresponding value of the requirements dict)   * z_0)
      else
         z.append(z_0)
</code></pre>
<p>Thanks in advance for the help and sorry again if this question was already asked.</p>
","<python-3.x><dictionary><if-statement><requirements>","2023-01-16 17:09:21","38","0","1","75137627","<p>Is this what you're looking for?</p>
<p>EDIT:</p>
<pre><code>import numpy as np

x = np.linspace(-50 , 50, 100)
y = np.linspace(-50 , 50, 100)
z = []
requirements_dict = {10: 1.9, 20: 1.5, 30: 1.4, 40: 1.05}
z_0 = 100
for i in x:
    for j in y:
        for key, value in requirements_dict.items():
            if i**2 + j**2 &lt;= key:
                z.append(value * z_0)
                break
        else:
            z.append(z_0)
</code></pre>
"
"75111771","How to create a custom excel template for export customized work items for a project in Polarion?","<p>I am trying to create a custom export template for excel export of workitems in my polarion project but every time I upload a template it and when I select that template at the time of exporting it It shows me this error: &quot;Server error: java.lang.NullPointerException&quot;.
I tried to even make export template by using existing templates but it still shows me the same error.</p>
","<java><export-to-excel><requirements><polarion><system-requirements>","2023-01-13 16:13:42","72","-1","1","75113368","<p>To save yourself from trouble, it is easiest to make the template starting from one of the provided templates. Make sure you don't delete the sheet titled &quot;Polarion&quot;. In the &quot;Export Work Items&quot; dialog, use the &quot;Show template&quot; link to download an empty template.</p>
<p>In Excel, in the &quot;Polarion&quot; sheet and &quot;Sheet1&quot; sheet, configure your Work Item type and the fields that you want to export. Make sure all fields that you specify actually exist in your Work Item configuration. You may want to make changes step-by-step: make only a small change and test the template to make sure it still works, until you become more confident about the structure.</p>
<p>If you follow the instructions for your version of Polarion, it should work. See &quot;Customize export templates for Microsoft Excel&quot; in the Polarion help. On my system with 22R1, this is the direct help link: <a href=""http://localhost/polarion/help/topic/com.polarion.xray.doc.user/guide/xid1747724.html?cp=0_3_18_10"" rel=""nofollow noreferrer"">http://localhost/polarion/help/topic/com.polarion.xray.doc.user/guide/xid1747724.html?cp=0_3_18_10</a>. The Polarion help for 19.2 is available online: <a href=""https://docs.plm.automation.siemens.com/content/polarion/19.2/help/en_US/user_and_administration_help/administrators_guide/advanced_administration/customize_export_templates_for_microsoft_excel.html"" rel=""nofollow noreferrer"">https://docs.plm.automation.siemens.com/content/polarion/19.2/help/en_US/user_and_administration_help/administrators_guide/advanced_administration/customize_export_templates_for_microsoft_excel.html</a></p>
<p>If you've followed the instructions exactly and it still doesn't work, it's likely that something is wrong with your installation. You'll have to check the logs in <code>C:\Polarion\data\logs\main\</code> to see what is going wrong.</p>
"
"74837919","Alloy dynamic modelling with predicates","<p>I am trying to model in alloy a system where the users can make comments on forum threads. I want to describe with a predicate a situation where a new comment is added to a forum thread.</p>
<p>This is what I have done:</p>
<pre><code>//other signatures (including User, DateTime, ...)

sig ForumThread {
    title: one String,
    datePosted: one DateTime,
    author: one User,
    content: one String,
    comments: set Comment
}

sig Comment {
    content: one String,
    datePosted: one DateTime,
    author: one User,
}

//other signatures ...

fact allCommentsAreInAThread{
    all c: Comment | one t: ForumThread | c in t.comments
}

//other facts ...

pred addComment[t, t': ForumThread , c: Comment ] {
    t'.comments = t.comments + c
    t'.datePosted = t.datePosted
    t'.author = t.author
    t'.content = t.content
    t'.title = t.title
}
run addComment

//...
</code></pre>
<p>Now, this predicates is consistent (as the analyzer said). However, i think that it can be true only in trivial models, that are the ones where c is already in t.comments and where t is exactly t’. This, because the first fact says that a Comment must always have to be exactly in a ForumThread. Is what i am saying true? If yes, is there a way i can model what i am trying to do without eliminating the fact (since it wouldn't have sense to have comments that are in nothing)?</p>
","<model><logic><alloy><requirements>","2022-12-17 22:32:21","40","0","1","74848619","<blockquote>
<p>However, i think that it can be true only in trivial models, that are the ones where c is already in t.comments and where t is exactly t’.</p>
</blockquote>
<p>Indeed, because of <code>allCommentsAreInAThread</code>, which is a fact (= an axiom) so any model necessarily respects it.</p>
<blockquote>
<p>is there a way i can model what i am trying to do without eliminating the fact (since it wouldn't have sense to have comments that are in nothing)?</p>
</blockquote>
<p>You must remove the fact as, as you realized, it already imposes what you expect. Instead, you must <em>check</em> a property, which says that there's never a comment without a parent thread, in whichever <em>state</em> of your system. Hence, you need (1) a notion of state and (2) to check the property (here: an invariant) on any state.</p>
<p>There are two main ways to design a notion of state:</p>
<ol>
<li>The &quot;global state&quot; approach: you create a <code>State</code> sig (say) that gathers all state variables.</li>
<li>The &quot;local state&quot; approach: signatures contain both constant and time-varying fields.</li>
</ol>
<p>AFAIK, the latter approach is more frequent in Alloy.</p>
<p>Finally, notice Alloy 6 now has features that make it easier to model and specify state-related properties. You can find some information <a href=""https://haslab.github.io/formal-software-design/"" rel=""nofollow noreferrer"">here</a>.</p>
"
"74560990","PyCharm doesn't see installed packages","<p>After reimporting the project form VCS I'm trying to install packages listed in requirements.txt. Pycharm installs all packages (also I tried to do it manually; remove requirements.txt and install packages manually, then generate new requirements.txt; etc.). Installation completes successfully and installed packages not highlighted and present in the interpreter settings.
But every time I'm trying to run tests, e.g. <code>pytest tests/folder/test</code> I'm getting na error</p>
<pre><code>AttributeError: type object 'Test_**' has no attribute 'driver'
</code></pre>
<p>I suppose fixture which creates driver doesn't initiates\</p>
<p>Sometimes, doing exact the same actions I'm able to run tests successfully, but debugger refuses to work, returning the same error.</p>
<p>Struggling with that already a week, have no idea what to do.</p>
","<python-3.x><pycharm><pytest><virtualenv><requirements>","2022-11-24 12:42:48","55","0","1","74616479","<p>I found out that issue was related not to the PyCharm or virtualenv, but to the python 3.11. Revert to the python 3.10 and reinstall of virtualenv solved the problem</p>
"
"73705196","How to show interaction between two statuses on a diagram?","<p>Imagine there are two statuses that an application is operating with, e.g. order status and shipment status.</p>
<p>When the order status is placed, the shipment status is blank.
When the order status is &quot;paid&quot;, the shipment status is &quot;ready to ship&quot;.
Then the shipment status is being changed to &quot;assigned&quot; through &quot;shipped&quot;, &quot;on delivery&quot; and &quot;delivered&quot;.
Should the order status be set to &quot;Cancelled&quot; the &quot;shipped&quot; or &quot;on delivery&quot; shipment status is changed to &quot;being returned&quot; and then &quot;received at the warehouse&quot;.</p>
<p>What is the best way to describe the interaction between the two statuses on a diagram?</p>
<p>I know two types of diagrams that could be utilized here, but both have drawbacks for the task:</p>
<ol>
<li>Activity Diagram - will perfectly describe the use cases, but is hard to read</li>
<li>State Machine Diagram - can only describe one status, so there can be two state diagrams, but it won't be clear how the statuses interact with each other.</li>
</ol>
<p>What would you recommend?</p>
","<uml><analysis><diagram><requirements><system-requirements>","2022-09-13 15:00:26","66","2","1","73731045","<p>Your UML model contains two state machines. A UML model can be visualized by one or more UML diagrams. A UML diagram may visualize any subset of the UML model, or even the whole model (see UML specification version 2.5.1, Annex A). Therefore, it is allowed to show both state machines in one diagram.</p>
<p>The dependencies between two state machines can be modeled in two ways:</p>
<ol>
<li><p>Using 'signal send symbols' in one state machine to send a message to the other state machine. The other state machine uses these messages by means of 'signal receipt symbols'. See figure 14.32 of UML spec 2.5.1.</p>
</li>
<li><p>Using actions in one state machine and corresponding triggers in the other. This is the most convenient technique for your problem, as illustrated by the diagram fragment below. Actions are written behind a slash.</p>
</li>
</ol>
<p><a href=""https://i.stack.imgur.com/CRa11.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/CRa11.png"" alt=""two-machines-in-one-diagram"" /></a></p>
"
"73654054","Modeling UML Use Case Diagram for Library Online Management System","<p>I have a list of functionality that the system should have and I have created a case diagram for it, but I am not sure if it correspond to said functionality and want a second look on my solution. Hopefully it is readable and I appreciate any feedback on my trail of design.</p>
<p>Description of said functions:</p>
<blockquote>
<p>The system shall allow people to register as a student or faculty member. To sign up, users must provide their name, e-mail address, phone number, and a password. In addition, students add the name of their program and their student id; faculty members add the name of their department and their employee id.</p>
<p>A user shall be able to search for books, the library system shall indicate the availability for books. If available for loan, a logged in user shall be able to reserve a book for loan. When reserved, the librarian will move the book to a pick-up shelf. To loan a book, users shall login at the library in person, and checkout the books.</p>
<p>The library has an automated booth where users can leave the books and the system shall process the return, upon return, the system shall send a digital receipt sent to their e-mail address.
When a book is not returned in time, the system shall send a reminder e-mail with a fine for each day it is late.</p>
<p>The system shall allow users to extend the loan period of a loaned book at most two times. The system shall allow users to have at most five books on loan simultaneously. If a book is not available in current library, but is in another one, users can ask the system to transfer and vice versa. Books have a title, author, ISBN, edition, and shelf number denoting their location in the library. The library has varying stock for different books, it has a single copy for most books but up to ten physical copies for some popular books.</p>
<p>Librarians shall be able to add new books to the system and edit the information of existing books.</p>
</blockquote>
<p>The design :</p>
<p><a href=""https://i.stack.imgur.com/vvvE6.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/vvvE6.png"" alt=""enter image description here"" /></a></p>
<p><strong>Update based on feedback</strong>:
<a href=""https://i.stack.imgur.com/W2cku.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/W2cku.png"" alt=""enter image description here"" /></a></p>
","<uml><use-case><requirements><use-case-diagram>","2022-09-08 19:13:46","996","1","2","73654300","<p>I will not make a detailed review of your diagram, since this is very specific to your needs and will not help anybody else.  However,  I'd like to address some general issues that are frequent in these kind of diagrams:</p>
<ul>
<li><p>It appears in the requirements that users may be a student or  faculty member (or both?), whereas your diagram suggest that a user is another independent category of actors.</p>
</li>
<li><p>Having several actors for a use case is ambiguous.  It cannot always be avoided, but here, it's not clear if all the actors are involved at the same time for a search, or if they are involved one after the other, or if only one may be involved at a time.</p>
</li>
<li><p>Your diagram is a functional decomposition of the requirements.  For example, <code>Register</code> and <code>Verify registry</code> are not independent,  but the second belongs to the detailed decomposition of the first, without being an independent user goal (in fact, the verification doesn't make sense without the first). The same applies to all the verifications (&quot;maximum...&quot;) as well.   This is not forbidden but strongly discouraged as it leads to too detailed and complex diagrams.</p>
</li>
<li><p>Sometimes your diagram seems to be a sequence of action:  e.g. <code>Return a book</code> is followed by a <code>confirmation email</code>.  Use-case diagrams shall not show any sequence.  If you want to show the workflow, you need to use an activity diagram and not a use-case diagram.</p>
</li>
<li><p>extend corresponds to an optional use-case. Here, you seem to say that books are returned only for some loans.</p>
</li>
</ul>
<p>In conclusion,  simplify your diagram to show only user goals.  Avoid extend and include dependencies as much as possible, to keep it simple and understandable.  If you want to document details, document them in a narrative, not in the diagram.</p>
"
"73654054","Modeling UML Use Case Diagram for Library Online Management System","<p>I have a list of functionality that the system should have and I have created a case diagram for it, but I am not sure if it correspond to said functionality and want a second look on my solution. Hopefully it is readable and I appreciate any feedback on my trail of design.</p>
<p>Description of said functions:</p>
<blockquote>
<p>The system shall allow people to register as a student or faculty member. To sign up, users must provide their name, e-mail address, phone number, and a password. In addition, students add the name of their program and their student id; faculty members add the name of their department and their employee id.</p>
<p>A user shall be able to search for books, the library system shall indicate the availability for books. If available for loan, a logged in user shall be able to reserve a book for loan. When reserved, the librarian will move the book to a pick-up shelf. To loan a book, users shall login at the library in person, and checkout the books.</p>
<p>The library has an automated booth where users can leave the books and the system shall process the return, upon return, the system shall send a digital receipt sent to their e-mail address.
When a book is not returned in time, the system shall send a reminder e-mail with a fine for each day it is late.</p>
<p>The system shall allow users to extend the loan period of a loaned book at most two times. The system shall allow users to have at most five books on loan simultaneously. If a book is not available in current library, but is in another one, users can ask the system to transfer and vice versa. Books have a title, author, ISBN, edition, and shelf number denoting their location in the library. The library has varying stock for different books, it has a single copy for most books but up to ten physical copies for some popular books.</p>
<p>Librarians shall be able to add new books to the system and edit the information of existing books.</p>
</blockquote>
<p>The design :</p>
<p><a href=""https://i.stack.imgur.com/vvvE6.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/vvvE6.png"" alt=""enter image description here"" /></a></p>
<p><strong>Update based on feedback</strong>:
<a href=""https://i.stack.imgur.com/W2cku.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/W2cku.png"" alt=""enter image description here"" /></a></p>
","<uml><use-case><requirements><use-case-diagram>","2022-09-08 19:13:46","996","1","2","73659181","<p>To boil it down: this is no use case synthesis but functional decomposition. Use cases show added value for actors. Full stop. This is obviously the hardest thing to learn when finding use cases. They are like pearls you have to find. It's not about the how-to.</p>
<p>I recommend reading Bittner/Spence about use cases.</p>
"
"73633585","How can I specify dependency minimum and maximum version in setup.cfg?","<h2>Problem description</h2>
<p>I would want to define the install requirement for my pip package. Let's say FooLibrary's version should be &gt;=2 but &lt;3.2.</p>
<p>Currently, I have</p>
<pre><code>[options]
install_requires =
    FooLibrary &gt;= 2
</code></pre>
<h2>Question</h2>
<p>How can I add a rule for maximum version of the library together with the minimum version rule?</p>
","<python><dependencies><python-packaging><requirements>","2022-09-07 10:03:51","257","1","1","73633691","<p>Separate version requirements with commas.</p>
<p>So for example, in this case, <code>FooLibrary &gt;=2,&lt;3.2</code> works</p>
"
"73568216","How to calculate execution time in DXL","<p>I'm trying to make a program in DXL (IBM DOORS) and I have a doubt. I have several ideas about how to make the script, but I would like to know which one has the least cost in time.</p>
<p>For example (this isn't the real program that I want to do, but a triviality to exemplify what I ask), in the program below how can I know the time it takes me in seconds?</p>
<pre><code>Folder f = current Folder;

void ScanFolder(Folder f) {

    Item itm;

    for itm in f do {

        if (type(itm) == &quot;Folder&quot;) {

            print &quot;FOLDER: &quot; fullName(itm) &quot;\n&quot;;
            ScanFolder(folder(itm));

        }

        else if (type(itm) == &quot;Formal&quot;) {

            print &quot;MODULE: &quot; fullName(itm) &quot;\n&quot;;

        }

        else {

            ;

        }

    }

}
</code></pre>
","<performance><time><execution-time><requirements><ibm-doors>","2022-09-01 10:56:53","78","1","1","73568942","<p>If seconds is detailed enough, you can use <code>intOf (today())</code> as start and end time. In case you need millisecods, there's an undocumented perm <code>int getTickCount_ ()</code></p>
"
