QuestionId,QuestionTitle,QuestionBody,QuestionTags,Date,ViewCount,Score,NumberOfAnswers,AnswerId,AnswerBody
"76049837","Using normalised table schema of RDS directly in Redshift","<p>Is it okay using normalised table schema of RDS directly in Redshift? Some articles says that one should use dimension modelling like star schema, etc in data warehouse?</p>
<p>I have 30-40 tables. My tables data is not in too large to be in billions. At most I think few tables (2-3) would have 1.5 million rows. The rest all relatively small.</p>
<p>Thanks in advance.</p>
","<amazon-web-services><amazon-redshift><data-warehouse>","2023-04-19 00:01:29","23","0","1","76059463","<p>You can use Redshift in any way you want.</p>
<p>It is excellent at <strong>querying</strong>, but rather poor if you want to use it for <strong>OLTP</strong> (eg inserts, deletes, updates).</p>
<p>People typically use a database like Postgres until it hits performance limits, then move to a Data Warehouse like <strong>Amazon Redshift</strong> when they want more performance for querying large quantities of data.</p>
<p>If <strong>Amazon RDS</strong> works for you, then keep using it. If it is causing problems due to data size and performance, then shift to Amazon Redshift. (It's more expensive, but has better performance.)</p>
<p>Another option is to use <strong>Amazon Athena</strong>, which has no 'running costs' -- you just pay per query. If the data is stored in an Amazon S3 bucket in <strong>Snappy-compressed Parquet format</strong> it will run very fast and cost very little. It is similar to &quot;Redshift Spectrum&quot;. Athena can also handle any type of table (wide, star) but doesn't really handle updates/inserts.</p>
"
"76047497","How to flatten array on joined snowflake data","<p>I currently have this query that filters for the latest record by it's <code>updated_at</code> column and looks for rows that have a specific type. I'm attempting to flatten the array so that I can extract that specific object data but I don't think I'm using <code>lateral flatten()</code> correctly.</p>
<p>The row has data that looks like so:</p>
<pre><code>[{ &quot;token&quot;: &quot;1234&quot;, type: &quot;STORE&quot; }, { &quot;token&quot;: &quot;4567&quot;, type: &quot;MERCHANT&quot; }]
</code></pre>
<p>Snowflake Query:</p>
<pre><code>with unique_merchants as (
  select 
    updated_at, 
    aliases, 
    merchant_token, 
    identity_token, 
    row_number() over (
      partition by merchant_token 
      order by 
        updated_at desc
    ) as row_number 
  from 
    table.PUBLIC.business_info
) 
select 
  identity_token, 
  merchant_token,
  aliases
from
  unique_merchants 
  inner join table.PUBLIC.stores on table.PUBLIC.stores.parent_token = merchant_token, 
  lateral flatten(aliases) as obj
where 
  value:type = 'STORE' 
  and row_number = 1;
</code></pre>
<p>Right now this query gives me <em>half</em> of what I need. The output returns all rows that have an object of type <code>STORE</code> in it's <code>ALIAS</code> column. I'd like to be able to also extract the token from objects of type <code>STORE</code> but that's where I'm having trouble. I've tried exploding the row in the CTE that I created and also in the second <code>FROM</code> clause but still no luck.</p>
","<sql><snowflake-cloud-data-platform><data-warehouse>","2023-04-18 17:31:08","28","0","2","76047925","<p>I was able to get what I needed by adding <code>value:token::string</code> in the select outside of the CTE.</p>
"
"76047497","How to flatten array on joined snowflake data","<p>I currently have this query that filters for the latest record by it's <code>updated_at</code> column and looks for rows that have a specific type. I'm attempting to flatten the array so that I can extract that specific object data but I don't think I'm using <code>lateral flatten()</code> correctly.</p>
<p>The row has data that looks like so:</p>
<pre><code>[{ &quot;token&quot;: &quot;1234&quot;, type: &quot;STORE&quot; }, { &quot;token&quot;: &quot;4567&quot;, type: &quot;MERCHANT&quot; }]
</code></pre>
<p>Snowflake Query:</p>
<pre><code>with unique_merchants as (
  select 
    updated_at, 
    aliases, 
    merchant_token, 
    identity_token, 
    row_number() over (
      partition by merchant_token 
      order by 
        updated_at desc
    ) as row_number 
  from 
    table.PUBLIC.business_info
) 
select 
  identity_token, 
  merchant_token,
  aliases
from
  unique_merchants 
  inner join table.PUBLIC.stores on table.PUBLIC.stores.parent_token = merchant_token, 
  lateral flatten(aliases) as obj
where 
  value:type = 'STORE' 
  and row_number = 1;
</code></pre>
<p>Right now this query gives me <em>half</em> of what I need. The output returns all rows that have an object of type <code>STORE</code> in it's <code>ALIAS</code> column. I'd like to be able to also extract the token from objects of type <code>STORE</code> but that's where I'm having trouble. I've tried exploding the row in the CTE that I created and also in the second <code>FROM</code> clause but still no luck.</p>
","<sql><snowflake-cloud-data-platform><data-warehouse>","2023-04-18 17:31:08","28","0","2","76048516","<p>To further simplify the query, it is possible to filter rows based on windowed function inside CTE:</p>
<pre><code>with unique_merchants as (
  select updated_at, 
         aliases, 
         merchant_token, 
         identity_token
  from table.PUBLIC.business_info
  qualify row_number() over (partition by merchant_token order by updated_at desc)=1
)
select 
  identity_token, 
  merchant_token,
  aliases,
  obj.value:token:TEXT
from unique_merchants 
join table.PUBLIC.stores 
  on table.PUBLIC.stores.parent_token = merchant_token 
,lateral flatten(unique_merchants.aliases) as obj
where obj.value:type::TEXT = 'STORE';
</code></pre>
"
"76046106","Replacing a Date Range BETWEEN clause using single Join column","<p>Database: Snowflake</p>
<p>I have a slowly changing Fact (yes, that's correct, fact not Dimension) that uses <code>EFFECTIVE_TS</code> and <code>EXPIRATION_TS</code> for the periodicity.</p>
<p>The Query uses <code>&lt;input_date&gt; BETWEEN EFFECTIVE_TS and EXPIRATION_TS</code> to get a Fact row. This has proved to be slow and before getting into clustering of table, I was wondering if I could have another generated column , call it <code>GENERATED_COL</code>,  generated out of <code>EFFECTIVE_TS</code> and <code>EXPIRATION_TS</code> with some magical logic such that instead of doing <code>&lt;input_date&gt; BETWEEN EFFECTIVE_TS and EXPIRATION_TS</code> I can do <code>Magical conversion(&lt;input_date&gt;) = GENERATED_COL</code>.</p>
<p>In other words, replacing a Date range with a single join column, if you have done this, please share , as we are facing challenges with between clause
(Due to the usecase, volume and slowly changing nature, the Fact has to be a
slowly changing timespan fact instead of a tranasaction or daily snapshot fact)</p>
<p>Thanks
Sunny</p>
","<snowflake-cloud-data-platform><data-modeling><data-warehouse><dimensional-modeling>","2023-04-18 14:55:50","31","0","1","76049955","<p>instead of &quot;replacing the BETWEEN&quot; you should do &quot;both&quot; aka, use the EQUI-JOIN to chunking/block/batch the data, which is faster, and then do the fine grain on the smaller set of results.</p>
<p>here is a <a href=""https://simeonpilgrim.com/blog/2016/08/02/snowflake-data-warehouse-date-range-based-joins-45x-speedup/"" rel=""nofollow noreferrer"">45x speed up article from 2016</a> and a more data driven modern version of it but now offering <a href=""https://select.dev/posts/snowflake-range-join-optimization"" rel=""nofollow noreferrer"">300x speed-up</a>. The speed-up themselves appear to have improved..</p>
"
"76029402","How can I set conditional child task to continue or pause based on status (success/failure/warning) of a parent task in SnowFlake data warehouse?","<p>Currently evaluating Snowflake database for our data warehouse, based on their documentation, Looks like Snowflake do have support for scheduling <a href=""https://docs.snowflake.com/en/user-guide/tasks-intro"" rel=""nofollow noreferrer"">Tasks</a> and create task tree hierarchy.</p>
<p>Snowflake does seem to support conditional child task but I can't figure out setting up a conditional task to continue or pause child task based on parent task success/warning or failure.</p>
<pre><code>## Sample Task tree creation in Snowflake

// Create a child task
CREATE OR REPLACE TASK DATA_IMPORT
WAREHOUSE = COMPUTE_WH
SCHEDULE = ‘60 MINUTE’

AS
INSERT INTO CUSTOMERS2 SELECT * FROM CUSTOMERS;

// Create a child task
CREATE OR REPLACE TASK DATA_IMPORT
WAREHOUSE = COMPUTE_WH
WHEN 1=2  // SAMPLE CONDITION
AFTER DATA_IMPORT
AS
CALL POST_PROCESS_STORED_PROCEDURE( );
</code></pre>
<p>Would appreciate any pointers if you have more knowledge on Snowflake Task structure.
Thank you</p>
","<snowflake-cloud-data-platform>","2023-04-16 17:46:47","37","1","1","76029783","<p><a href=""https://docs.snowflake.com/en/sql-reference/sql/create-task"" rel=""nofollow noreferrer"">CREATE TASK</a>:</p>
<blockquote>
<p>AFTER string [ , string , ... ]</p>
<p>Specifies one or more predecessor tasks for the current task. Use this option to create a DAG of tasks or add this task to an existing DAG. A DAG is a series of tasks that starts with a scheduled root task and is linked together by dependencies.</p>
<p><strong>A task runs after all of its predecessor tasks have finished their own runs successfully (after a brief lag).</strong></p>
<hr />
<p><a href=""https://docs.snowflake.com/en/sql-reference/sql/create-task#examples"" rel=""nofollow noreferrer"">CREATE TASK - Examples </a></p>
<p>...</p>
<p><strong>The child task runs only after all specified predecessor tasks have successfully completed their own runs.</strong></p>
</blockquote>
"
"75916632","Attaching tags to columns in data catalog using python","<p>I have a table in BQ and I am trying to attach tags to columns depending on the prefix. For ex., all the columns which start with ABC_ have to be tagged with the Private Info tag.</p>
<p>I have written below code -</p>
<pre><code>dataset_id = 'my_dataset'
for table in bigquery_client.list_tables(dataset_id):
    # Get the schema of the table
    table_ref = f'{project_id}.{dataset_id}.{table.table_id}'
    table = bigquery_client.get_table(table_ref)
    schema = table.schema
    table_id = table.table_id

    # Loop through the schema fields, and create tags for columns that match the criteria
    for field in schema:
        if field.name.startswith('RUR_'):
            tag = datacatalog.Tag()
            tag.template = f'projects/{project_id}/locations/us-central1/tagTemplates/{tag_template_id}'
            tag.fields['owner'].string_value = 'John Doe'
            tag = datacatalog_client.create_tag(parent=f'projects/{project_id}/locations/us-central1/entryGroups/{entry_group_id}/entries/{table_id}/fields/{field.name}', tag=tag)
            print(f'Tag created for column {field.name} in table {table_id}')
</code></pre>
<p>But I am getting the error Resource Name Invalid, saying that a column cannot be a resource.</p>
<p>Can someone suggest how this can be done in GCP.</p>
<p>Thanks in advance:)</p>
","<python><google-cloud-platform><google-data-catalog>","2023-04-03 06:41:54","44","0","1","75917225","<p>You have to rely on the API description <a href=""https://cloud.google.com/data-catalog/docs/reference/rest/v1/projects.locations.entryGroups.entries.tags/create"" rel=""nofollow noreferrer"">here</a>. As you can see, the parent parameter ends after the <code>entries/{table_id}</code>. You have to put the <code>column</code> in the <a href=""https://cloud.google.com/data-catalog/docs/reference/rest/v1/projects.locations.entryGroups.entries.tags#Tag"" rel=""nofollow noreferrer"">body of the request</a>, i.e. in the TAG object.</p>
<p><a href=""https://i.stack.imgur.com/a1gek.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/a1gek.png"" alt=""enter image description here"" /></a></p>
"
"75916054","Insufficient CPU quota when running data quality task in GCP dataplex","<p>I try to follow the below guide from GCP to create a data quality task. <a href=""https://cloud.google.com/dataplex/docs/check-data-quality?&amp;_ga=2.139058355.-143783534.1669209779#before_you_begin"" rel=""nofollow noreferrer"">https://cloud.google.com/dataplex/docs/check-data-quality?&amp;_ga=2.139058355.-143783534.1669209779#before_you_begin</a> when I try to run the task I get the error</p>
<p><a href=""https://i.stack.imgur.com/OquEI.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/OquEI.png"" alt=""Error"" /></a></p>
<ul>
<li>As per my understanding Dataplex is calling dataproc internally for running the spark jobs due to which we get the error message. But we dont have the option to adjust the number of CPUs that can be used.</li>
<li>I tried to increase the CPU quota but GCP does not allow me( My account is enabled for billing for a long time)
Any suggestion to correct this error will be appreciated.</li>
</ul>
","<google-cloud-platform><google-cloud-dataproc><google-dataplex>","2023-04-03 04:33:41","76","1","2","75919323","<p>It won't help you, but even if you have activated the billing, as personal user you have a very limited number of allowed CPU (here my CPU quotas for all region; and I'm a GDE! Check it in your project.)
<a href=""https://i.stack.imgur.com/gxtVe.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/gxtVe.png"" alt=""enter image description here"" /></a></p>
<p>And here the quotas with my corporate sandbox project
<a href=""https://i.stack.imgur.com/rj5O0.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/rj5O0.png"" alt=""enter image description here"" /></a></p>
<p>If you have the opportunity to test it in a corporate account, or if you have a Google Cloud contact, you could ask for a quota increase.</p>
"
"75916054","Insufficient CPU quota when running data quality task in GCP dataplex","<p>I try to follow the below guide from GCP to create a data quality task. <a href=""https://cloud.google.com/dataplex/docs/check-data-quality?&amp;_ga=2.139058355.-143783534.1669209779#before_you_begin"" rel=""nofollow noreferrer"">https://cloud.google.com/dataplex/docs/check-data-quality?&amp;_ga=2.139058355.-143783534.1669209779#before_you_begin</a> when I try to run the task I get the error</p>
<p><a href=""https://i.stack.imgur.com/OquEI.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/OquEI.png"" alt=""Error"" /></a></p>
<ul>
<li>As per my understanding Dataplex is calling dataproc internally for running the spark jobs due to which we get the error message. But we dont have the option to adjust the number of CPUs that can be used.</li>
<li>I tried to increase the CPU quota but GCP does not allow me( My account is enabled for billing for a long time)
Any suggestion to correct this error will be appreciated.</li>
</ul>
","<google-cloud-platform><google-cloud-dataproc><google-dataplex>","2023-04-03 04:33:41","76","1","2","75920854","<p>As mentioned by @guillaume, there is set a limit on the number of CPUs you can use for a region (and all regions) in GCP. It is different for individuals and organizations. You can <a href=""https://cloud.google.com/docs/quota#api_specific_quota"" rel=""nofollow noreferrer"">check</a> this under IAM -&gt; Quotas-&gt; Compute Engine API CPU quota.</p>
<p>Solutions to your error:</p>
<ul>
<li><p>You can request a <a href=""https://cloud.google.com/docs/quota#requesting_higher_quota"" rel=""nofollow noreferrer"">quota
increase</a>
on the number of CPUs for a region/all regions for your project.</p>
</li>
<li><p>Try changing the configuration of your Dataproc Cluster by decreasing
the number of secondary workers. <a href=""https://cloud.google.com/dataproc/docs/concepts/compute/secondary-vms#using_secondary_workers"" rel=""nofollow noreferrer"">Reference</a></p>
</li>
</ul>
"
"75873537","Comparison between using DBT + (Athena vs Redshift or Snowflake) as a data warehouse - which path should I take?","<p>I'm currently using DBT and Athena as a data warehouse, and it's able to do transformations and write data back to S3. We don't do any inserts/updates/deletes.</p>
<p>I should say that the amount of data I currently have is quite small, but I imagine Athena can scale well considering it was developed for Facebook.</p>
<p>My question then, is what are the reasons for using Redshift or Snowflake considering how much more expensive they are? What am I missing?</p>
<p>If I had more data, in terabytes perhaps, would this affect the choice of warehouse?</p>
<p>I have not tried Snowflake or Redshift, so perhaps I am missing some context. Happy to learn from you folks!</p>
","<amazon-web-services><snowflake-cloud-data-platform><amazon-redshift><amazon-athena><data-warehouse>","2023-03-29 05:45:33","84","0","1","75873814","<p>Reporting systems need a means of <strong>running SQL against data</strong>.</p>
<p>Traditionally, this meant that a Database was required, and all databases (at the time) consisted of both <strong>Storage and Compute</strong>. There was no capability to separate these two components because the database stored its data in a proprietary format and the Compute component was required access that data.</p>
<p>As data volumes increased, traditional databases struggled to provide fast performance. This led to a new class of <strong>Data Warehouse systems</strong> that specialise in querying tables with billions of rows and Terabytes of data. These systems typically use parallel infrastructure and columnar storage split across multiple storage nodes to provide fast performance. Examples are: Amazon Redshift, Snowflake.</p>
<p>The next evolution came from <strong>Presto</strong> (and can be traced back to Hadoop), which was the idea of completely separating the Compute and Storage components of databases. <strong>Optimized for querying</strong>, Presto could query data stored in cloud services (eg Amazon S3) without having to load the data into the database (known as a 'query engine'). This was not only a mind-blowing concept, but depending upon the data format (eg Snappy-compressed Parquet) could actually rival the speed of Data Warehouses. Plus, the fact that they are cloud-native, it was easy to scale Compute as needed for short periods of time.</p>
<p>The main thing to understand about Query Engines is that data is not 'loaded' into them. Rather, when a query runs, they go to the storage service, <strong>look at data stored in whatever format</strong> and then calculate the answer to the query. Data can be added by simply adding another file in the storage location.</p>
<p>Examples of Query Engines are: Presto, Amazon Athena, Amazon Redshift Spectrum</p>
<p>The downside of using Query Engines is that they are not good at inserting/updating data. This has been addressed by the <a href=""https://delta.io/"" rel=""nofollow noreferrer"">Delta Lake file format</a> that uses a combination of Parquet files and logs files to allow data to be inserted, updated and deleted. This is the main focus of Databricks.</p>
<p>Of course, if your data needs are small, it is quite acceptable to use a traditional database (eg PostgreSQL) as a Data Warehouse.</p>
<p>The best approach is to <strong>start with something small</strong> until it no longer meets your needs. Then, move to something more powerful. If Amazon Athena is meeting your needs, then there is no need to move to anything else.</p>
<p>(My apologies for not including Google and other services as examples. My knowledge is mostly limited to AWS services.)</p>
"
"75873443","Does a data warehouse have one data model or many?","<p>How do you design a data warehouse? Assuming you have raw data in S3, you copy all the data into a data warehouse, and then start modelling the data (So ELT right?). Do you have a single data model that shows all the relationships, or do you create a data model per pipeline?</p>
<p>Eg. If I were to model all data related to customer purchases for an e-commerce store, would that be one data model, and then separately another data model for all the suppliers and related information?</p>
<p>I've been scouring the internet and have not found a clear answer. I'd really appreciate the help!</p>
<p>So far I have tried only a single data model - but I'm not sure how that lines up with ELT allowing for data being modelled as needed?</p>
","<data-modeling><data-warehouse>","2023-03-29 05:29:10","16","0","1","75873511","<p>Designing a data warehouse generally involves the following steps:</p>
<ol>
<li>Identify business requirements:</li>
</ol>
<p>identifying the data that is needed to support the business processes, the data sources, and the data quality requirements</p>
<ol start=""2"">
<li>Plan the architecture:</li>
</ol>
<p>decide on the architecture of the data warehouse(star or snowflake schema) + the hardware/software required + data integration strategy</p>
<ol start=""3"">
<li>Data modeling:</li>
</ol>
<p>defining the structure of the data warehouse(dimensions, facts + relationships between them)</p>
<ol start=""4"">
<li>Data integration:</li>
</ol>
<p>extracting data from the various data sources and loading it into the data warehouse(using ETL or ELT tool)</p>
<ol start=""5"">
<li>Testing and validation:</li>
</ol>
<p>ensure that the data is accurate, consistent, and reliable.</p>
<ol start=""6"">
<li>Deployment and maintenance:</li>
</ol>
<p>deploy and maintain(monitoring the performance of the data warehouse + making any necessary changes to the data model or data integration processes)</p>
<p>Regarding the part about data modeling:</p>
<ul>
<li><p>it is generally recommended to create a separate data model for each subject area or pipeline(allows for better organization of the data and easier maintenance of the data model)( exp: you could create a data model for customer purchases and another data model for supplier information)</p>
</li>
<li><p>it is important to ensure that the data models are consistent and can be integrated as needed</p>
</li>
<li><p>ELT allows for greater flexibility in data modeling, as the data can be transformed and modeled as needed in the data warehouse -- it is still important to have a clear understanding of the business requirements and a well-designed data model to ensure that the data warehouse meets the needs of the organization.</p>
</li>
</ul>
"
