QuestionId,QuestionTitle,QuestionBody,QuestionTags,Date,ViewCount,Score,NumberOfAnswers,AnswerId,AnswerBody
"76024216","How to track data flow inside a pipelined processor?","<p>Let's say we have a canonical in-order 5 stage processor, thus there will be 4 groups of pipeline registers, which are IF/ID, ID/EX, EX/ME, ME/WB. And I want to create a template as below:</p>
<ol>
<li>instruction (type)</li>
<li>stage i</li>
<li>observation i in stage i (potencially the value in the pipeline register)</li>
<li>stage j (j &gt; i)</li>
<li>observation j in stage j (potencially the value in the pipeline register)</li>
<li>(more if necessary)</li>
</ol>
<p>I want to confirm that for a specific instruction (type), observation i in stage i is always same as observation j in stage j, therefore, we can say there is always data leak between these two registers.</p>
<p>Of course there will be countless instances of such a templace, but also a multitude of them will not satisfy our condition. The problem is what method can we use to eliminate all those unsatisfying ones but keep the satisfying ones, such that we will have a set of &quot;invariants&quot; of data leaks inside such a pipelined processor? I am thining hashing, if it works?</p>
<p>Thank you very much for your help in advance.</p>
<p>Above is a definition I want to establish.</p>
","<hash><hardware><cpu-registers><riscv><processor>","2023-04-15 18:59:30","25","0","1","76024371","<p>I might use careful naming and analysis of the pipeline register fields.</p>
<p>Let's divide the pipeline register field names into two parts: a prefix that identifies the pipeline stage, and a suffix that refers to the meaning and value of the field in that pipeline stage.  It could be your system uses an access description like <code>stageName.fieldName</code> or just a naming convention like <code>stageName_fieldName</code> — where <code>stageName</code> is the prefix and <code>fieldName</code> is the suffix.</p>
<p>The rule then is to use the same name suffix for a naming a field in a later stage, as in an earlier stage where that value of the field will be the same value in both stages.</p>
<p>While also avoiding use of the same name suffix (requiring a new suffix) for a field in a later stage where the name suffix is already in use in an earlier stage though not guaranteed to have the same value in both stages.</p>
<p>Using this approach all unique value can be identified by the suffix name alone, and commonalty between stages by count of stages having any given name suffix.</p>
<p>To apply automation, we would need formulas for identifying the name of a field, such as instruction field n:m, or &quot;if this condition then that formula otherwise other formula&quot;,</p>
<p>The idea of <a href=""https://en.wikipedia.org/wiki/Value_numbering"" rel=""nofollow noreferrer"">value numbering</a>, which is like your hashing idea, might do the job for that.  The idea of value numbering goes to compiler technology for identifying (so as to later eliminate) common subexpressions.</p>
"
"76023141","How data flows to executor in spark job processing","<p>I am running spark on top of hadoop cluster .Hadoop has data blocks on which we need to run spark job. My query is what if the partition is in node2 and executor is in node3. How executor in node3 will process data block of node2. Do the data in the partition in node2 is transferred to node3 .
How internally the spark makes sure executor has partition in the same machine to process?</p>
","<apache-spark>","2023-04-15 15:17:54","17","0","1","76024623","<p>Any HDFS Client can read remote data blocks. They don't need to be &quot;node local&quot; lookups; that's just an optimization that YARN tries to accomplish.</p>
<p>In the Spark UI, you should be able to see what tasks from the execution timeline are local or remote</p>
"
"75984270","parameterize the count of input file rows in azure data flow","<ol>
<li><p>I have input file as csv now i want to generate valid and invalid records as csv with same input file name as output file in azure data flow,</p>
</li>
<li><p>Now i want to get the count of valid and invalid records as parameter value by using azure data factory data flow.</p>
</li>
</ol>
<p>Please suggest the way for both requirements.</p>
","<azure><azure-data-factory>","2023-04-11 09:19:58","42","0","1","75995504","<p>I have csv file in my blob storage named &quot;dbo.Customer.csv&quot;</p>
<p><img src=""https://i.imgur.com/4yaNIyB.png"" alt=""enter image description here"" /></p>
<p>Created dataset with above data in data flow and added that as source in dataflow, added derived column activity to the source and created two new columns named &quot;Validation&quot; with value <code>iif(Id % 2 == 0, 'InValid', 'Valid')</code> and filename with &quot;dbo.Customer.csv&quot;</p>
<p><img src=""https://i.imgur.com/PKDnnNS.png"" alt=""enter image description here"" /></p>
<p>Added window activity to count the validation count and selected <code>Validation</code> column in <code>over</code> tab and created windows column named <code>validation_count</code> with value <code>count(Valdation)</code></p>
<p><img src=""https://i.imgur.com/BOI0pfa.png"" alt=""enter image description here"" /></p>
<p>Added sink to the windows activity selected same dataset which selected to the source and selected file Name option as &quot;Name file as column data&quot; and selected &quot;filename&quot; column:</p>
<p><img src=""https://i.imgur.com/RBJVZ3G.png"" alt=""enter image description here"" /></p>
<p>Created pipeline and performed dataflow activity by selecting created data flow and debug it</p>
<p><img src=""https://i.imgur.com/ON6eLys.png"" alt=""enter image description here"" /></p>
<p>My output after debugging dataflow saved in the blob storage account with file name as inut file name</p>
<p><img src=""https://i.imgur.com/8juPDFv.png"" alt=""enter image description here"" /></p>
"
"75976877","Handling Unstructured Data from Excel in SSIS","<p>I need help with Handling Unstructured Data from Excel. The merged cell data needs to be splitted and set to the respective columns in this case. I have attached the source and target.
The Merged Data need to be unmerged and the data need to be populated to those unmerged columns.
In SSIS when i imported this excel it unmerges and places the data in the first column then leaves the other cell as NULL.</p>
<p>Source: tbl_e1 - <img src=""https://i.stack.imgur.com/DGbtJ.jpg"" alt=""Source"" /><br />
Target: tbl_e2 <img src=""https://i.stack.imgur.com/jQxQz.jpg"" alt=""Target"" /><br />
target to be loaded in SSMS.</p>
<p>Detailed Explanation of Requirement:</p>
<p>My Excel Source which has vertically merged cells on Dept1,Dept2 and horizontally merged cells on row2 and row3 on dept2 column as you can see which has the value Banking. similarly row2 and row3 on value column as you can see which has the value 20000. Note that when i imported this source in ssis I can see that this is how it arranges things,</p>
<div class=""s-table-container"">
<table class=""s-table"">
<thead>
<tr>
<th>ID</th>
<th>Name</th>
<th>Dept1</th>
<th>Dept2</th>
<th>Value</th>
</tr>
</thead>
<tbody>
<tr>
<td>1</td>
<td>Harish</td>
<td>HR</td>
<td>NULL</td>
<td>10000</td>
</tr>
<tr>
<td>2</td>
<td>Kano</td>
<td>Finance</td>
<td>Banking</td>
<td>20000</td>
</tr>
<tr>
<td>3</td>
<td>Tangiro</td>
<td>HR</td>
<td>NULL</td>
<td>NULL</td>
</tr>
</tbody>
</table>
</div>
<p>I want to populate the unmerged cells with the data which was inside those cells when it was in merged state (ie. Source).</p>
<p>I want the horizontally merged cells Dept1 and Dept2 of ID 1 to have HR as value in Dept1 and Dept2.</p>
<p>For the Vertically merged cells on Dept2 column for ID 2 and ID 3 I want them to have Banking in Dept2 for Both Id2 and Id 3. Similarly for Column Value which has Vertically Merged cells on ID 2 and ID 3 I want them to have 20000 in Value for Both Id2 and Id 3.</p>
<p>I thought of trying this using the window functions which is not working and other logical things with script task.</p>
","<sql-server><tsql><ssis><data-integration>","2023-04-10 11:54:56","49","-3","1","75980576","<p>You need to clean the file before attempting to do anything with it in SSIS, it's much simpler to fix it first.</p>
<p>The following Excel VBA sub will find and replace all merged cells by unmerging them and then replacing them with the same value as the source cell.</p>
<pre><code>Sub UnmergeCellsAndDuplicateValues()
    
    Dim ws As Worksheet
    Dim r As Range
    Dim RangeAddress As String
    Dim CellValue

    For Each ws In Worksheets
        ws.Activate
        For Each r In ws.UsedRange
            If r.MergeCells Then
               RangeAddress = r.MergeArea.Address
               CellValue = r
               r.MergeCells = False
               Range(RangeAddress) = CellValue
            End If
        Next
    Next ws
    
End Sub
</code></pre>
<p>You could probably build a small executable that takes a filename as a parameter, opens the workbook and runs this VBA over it but I've not done that as I rarely use it. However, that would mean you could use this in your SSIS workflow , I suppose it depends on how often this will need to be run and/or will you need to run batches of files etc...</p>
"
"75971638","How to change the column data types of a data flow in Azure Data Factory","<p>I'm running a dataflow activity in ADF which uses a REST API response as its source. The response has integer values for some key values like the following example.</p>
<p><code>&quot;ValuatedBy&quot;: 0,</code></p>
<p>These values are interpreted as Booleans by ADF and displays as follows in the inspect tab for the source.</p>
<ol>
<li>How to change these values to have the correct data type?</li>
<li>Why does this happen?</li>
</ol>
<p><a href=""https://i.stack.imgur.com/OX2eQ.png"" rel=""nofollow noreferrer"">Wrong interpretation of the data types</a></p>
<p>I tried Casting but casting activity won't help as Boolean casted to String displayed as &quot;true&quot; or &quot;false&quot;.</p>
","<azure-data-factory>","2023-04-09 16:24:36","65","0","1","75974150","<ul>
<li>You can change the type of the column manually in source transformation.</li>
<li>Click the <strong>Projection</strong> tab in the source transformation of data flow.</li>
<li>In the column name which contains <strong>ValuatedBy</strong> field, select <em>Define Complex Type</em>.</li>
</ul>
<p><img src=""https://i.imgur.com/0A0tIbr.png"" alt=""img1"" /></p>
<ul>
<li>In dataflow expression builder, change the type of <code>ValuatedBy</code> field from <code>boolean</code> to <code>Integer</code> or any other required type. Then click Save and Finish.</li>
</ul>
<p><img src=""https://user-images.githubusercontent.com/113445679/230813084-7ecbd55c-8562-424e-ac7a-2758e3711301.gif"" alt=""gif1"" /></p>
<ul>
<li>Once changed, ValuatedBy is reflected as Integer type in <em>Inspect</em> tab.
<img src=""https://i.imgur.com/opOVziS.png"" alt=""img2"" /></li>
</ul>
<blockquote>
<ol start=""2"">
<li>Why does this happen?</li>
</ol>
</blockquote>
<p>This happens because ADF automatically infers the data types of the columns in the source based on the first few rows of data. If the first few rows of data contain only 0s and 1s, ADF may infer that the column as a Boolean column.</p>
"
"75961897","How to sync in realtime a legacy system with a new one?","<p>I have a legacy grails based system with a MySQL database. I rewrite incrementally the system in a modern Spring Boot 3 and MongoDB Atlas database. I can't just shutdown the legacy system and replace it and I want to rewrite only the write operations (create, update and delete) in the legacy system. So, I write a synchronization mechanism between the legacy system and the new system. To do this, I write a sync project and I use MongoDB Atlas triggers + functions.</p>
<p>For now, the process is as follow:</p>
<ol>
<li>I call the modern Spring project from the legacy project controller with a REST API call for all write operation (create, update and delete).</li>
<li>I save the new entity in the new project database based on MongoDB Atlas.</li>
<li>A trigger is executed on the entity write and execute a MongoDB Atlas function. This function sends the write event to a sync project.</li>
<li>The sync project receives the write event, transform the new entity into MySQL insert, update or delete executed directly in the legacy database to update it. The sync project keeps also a Link between the legacy entity and the new entity for further calls.</li>
</ol>
<p>With this mechanism I don't need to update any read operations in the legacy system because the legacy database is updated by the sync project. All the system works as expected but I must do a Thread.sleep in the legacy controller in order to wait the MongoDB Atlas trigger + function execution and the legacy database update.</p>
<p>This waiting is not really acceptable but I don't see what I can do to resolve the problem.</p>
<p>Do you have any idea?</p>
","<mongodb><spring-boot><data-synchronization>","2023-04-07 20:58:30","19","0","1","75994127","<p>I have resolved my problem with AOP instead of MongoDB Atlas function.</p>
"
"75954131","Unable to delete a data flow in Azure Data factory in git mode","<p>I have an azure data factory data flow that I have to delete. I have to because in order to publish my latest data factory changes, I need to clear the validations on this data flow. However, I can't delete it nor can I update it to another name or fix the validations. When I save any of those changes, it says it failed to save, or gives the below error:</p>
<pre><code>Failed to save All resources.
Error: {&quot;$id&quot;:&quot;1&quot;,&quot;innerException&quot;:null,&quot;message&quot;:&quot;The path '//dataflow/currentplan.json' does not exist at commit 'b04d8869c860afc6ac801503d7a76cd438a8f91f'\r\nParameter name:
</code></pre>
<p>Yet when I refresh, I see that data flow there and I can click into it and see the flow objects.</p>
<p>Any tips on how I can get around this? I'd try an earlier commit but I can't find a way to check out an earlier one like you would with normal git. I also would just copy my good data flows to another data factory and start there, but I have no idea how to do that. Has anyone encountered this issue with data factory?</p>
<p>Thank you!</p>
<p>Tried deleting as normal, tried editing the json file for the data flow.</p>
","<azure><azure-data-factory><etl>","2023-04-06 22:08:01","26","0","1","75961780","<p>Go the git branch---&gt; dataflow ---&gt; yourfile.json ( delete directly from there )</p>
<p>Now if you refresh datafactory ,you wont see the dataflow anymore and if you continue to work on same branch ,adf_publish also gets updated if you are in collab branch .</p>
"
"75918967","Execute google data flow pipeline on cloud via dataFlowRunner but not use GOOGLE_APPLICATION_CREDENTIALS for security","<p>I have a google data flow pipeline which I run from my local using the dataFlowRunner. However I have the GOOGLE_APPLICATION_CREDENTIALS stored in a file and I export it. I want to avoid storing the credentials for security reasons. Also I have saved the service-account with appropriate IAM roles in my properties file as well. Is there any way we can use Google security Manager? I have a use case to ensure code is credentials free.</p>
","<google-oauth><google-cloud-dataflow><google-secret-manager>","2023-04-03 11:27:52","39","0","1","75919937","<p>If you launch your <code>Dataflow</code> job from your local machine, your have to export the  <code>GOOGLE_APPLICATION_CREDENTIALS</code> env var, unfortunately there is no choice in this case.</p>
<p>However if you launch your job via a DAG orchestrator like <code>Airflow</code> and Cloud Composer no need to pass a SA key file. The authentication is handled with <code>Airflow</code> and the SA used by <code>Cloud Composer</code>.</p>
<p>You can also explore other solutions with <code>Cloud Shell</code> or <code>Cloud Build</code> to launch your job, but I think it's better for the CI CD part to deploy the job and delegate the responsability of job execution to a pipeline orchestration tool like <code>Airflow</code>.</p>
<p>In production environment, you can also use <code>Dataflow Flex Template</code> to standardize the deployment of your <code>Dataflow</code> jobs based on a <code>bucket</code> and a <code>Docker</code> image.</p>
<p>In this case, if you use a tool like <code>Cloud Build</code>, no need to pass a Service Account key file.</p>
<p>You can check this <a href=""https://medium.com/google-cloud/ci-cd-for-dataflow-java-with-flex-templates-and-cloud-build-e3c584b8e564"" rel=""nofollow noreferrer"">article</a> I written, that shows a complete example of CI CD pipeline with <code>Dataflow Flex Template</code>.</p>
"
"75889868","Azure Data Factory data flow not reading JSON object due to null value","<p>I'm working on an Azure Data Factory (ADF) data flow that reads JSON data from a file. However, I'm encountering an issue where the data flow is failing to read JSON objects due to a null value.</p>
<p>Here's a sample JSON data with the null value:</p>
<pre><code>[
    null,
    {
        &quot;Column2&quot;: &quot;KM120&quot;,
        &quot;Mon&quot;: 8,
        &quot;Tue&quot;: 8,
        &quot;Wed&quot;: 8,
        &quot;Thu&quot;: 8,
        &quot;Fri&quot;: 8
    },
    {
        &quot;Column2&quot;: &quot;KM121&quot;,
        &quot;Mon&quot;: 8,
        &quot;Tue&quot;: 8,
        &quot;Wed&quot;: 8,
        &quot;Thu&quot;: 8,
        &quot;Fri&quot;: 8
    }
]
</code></pre>
<p>The error message I'm getting is:</p>
<pre><code>Error occurred when deserializing source JSON file. Check if the data is in valid JSON object format. Error reading JObject from JsonReader. Current JsonReader item is not an object: Null. Path '[0]', line 2, position 5.
</code></pre>
<p>I have checked the JSON file and it is in the correct format. I suspect the issue is with the null value in the first element of the array.</p>
<p>Can anyone suggest how to resolve this issue and make the data flow read the JSON objects even with null values?</p>
<p>Thanks in advance.</p>
<p>I removed the null value from the JSON file and tested the data flow, which resolved the issue. However, I'm looking for a way to automate this process since manually editing each file is time-consuming. I'm exploring the option of using a custom JSON schema in the data flow that can handle null values, but I haven't been able to get it to work so far. I'm still investigating this solution and open to other suggestions.</p>
","<azure-data-lake-gen2><azure-data-factory>","2023-03-30 15:01:54","85","0","1","75896127","<blockquote>
<p>Can anyone suggest how to resolve this issue and make the data flow read the JSON objects even with null values?</p>
</blockquote>
<p>If your Json file is in <code>Azure Blob Storage</code> or <code>ADLS gen 2</code> you can access that file using the rest API ang read the Json object with Null values.</p>
<p>To achieve this follow below procedure:</p>
<ul>
<li>First Go to your storage account and <code>change access level</code> of container to <strong>container</strong> then copy the file path of your Json file.
<img src=""https://user-images.githubusercontent.com/98518545/229049786-1a49c68d-4a1b-43bc-b18b-0176a004d7e4.gif"" alt=""31-1 1"" /></li>
<li>Then create a linked service as rest api and access this file from there <strong>paste the copied url from blob storage as base url and select authentication as Anonymous.</strong><img src=""https://i.imgur.com/WwAwSjS.png"" alt=""enter image description here"" /></li>
<li>Then create data flow and select rest api linked service as source and import the schema.
<img src=""https://user-images.githubusercontent.com/98518545/229053666-de92d7e9-d7af-4d18-9197-a06b9b830d85.gif"" alt=""31-1 2"" /></li>
<li>take select transformation and do mapping ass below:
<img src=""https://i.imgur.com/sHRYKY7.png"" alt=""enter image description here"" /></li>
</ul>
<p><em><strong>Output:</strong></em></p>
<p><img src=""https://i.imgur.com/HoM6Tv7.png"" alt=""enter image description here"" /></p>
<blockquote>
<p><strong>Note: It is possible only if your file is in <code>Azure Blob Storage</code> or <code>ADLS gen 2</code></strong></p>
</blockquote>
"
"75845853","Using parameters and dynamic content in pre-SQL script for Azure Data Factory data flow sink transformation","<p>I have a pipeline parameter called query_sink (type string) it comes from a database and the posible values for the parameter could be</p>
<p><a href=""https://i.stack.imgur.com/0zQoG.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/0zQoG.png"" alt=""possible values"" /></a></p>
<p>The second record is something like <code>IF EXISTS(...) DELETE FROM table1 WHERE country = 1</code></p>
<p>So, I want to use a dataflow where in the sink transformation use the parameter query_sink.
<a href=""https://i.stack.imgur.com/bSfSB.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/bSfSB.png"" alt="""" /></a></p>
<p>Then use it in the pre SQL script in the sink transformation, For now I just pass the parameter without changes like this</p>
<p><a href=""https://i.stack.imgur.com/NyKpK.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/NyKpK.png"" alt="""" /></a></p>
<p>but I have problems when the value in the database is <strong>null</strong></p>
<blockquote>
<p>'sink1': There are no batches in the input script.&quot;</p>
</blockquote>
<p>I'm not sure if the parameter in that case is null or is it as if the parameter didn't receive anything.
What I need is in the case the parameter value is a query(second record of the first image) execut it, but in the other case(first record of the first image) do nothing.</p>
<p>Edit:
the input for the pipeline parameter receive this value</p>
","<azure-data-factory>","2023-03-26 04:25:08","90","0","1","75863532","<blockquote>
<p>What I need is in the case the parameter value is a query(second record of the first image) execut it, but in the other case(first record of the first image) do nothing.</p>
</blockquote>
<p>You can pass the below dynamic content to the dataflow parameter where <code>query</code> is a pipeline parameter.</p>
<pre><code>@if(greater(length(pipeline().parameters.query),4), concat('''',pipeline().parameters.query,''''),concat('''','DECLARE @id AS INT;',''''))
</code></pre>
<p>Give this to a string variable and pass the string to the dataflow parameter like below.</p>
<p><img src=""https://i.imgur.com/LJcwZZN.png"" alt=""enter image description here"" /></p>
<p><strong>This is my source table:</strong></p>
<p><img src=""https://i.imgur.com/S6JX4q1.png"" alt=""enter image description here"" /></p>
<p><strong>target table <code>final_target2</code> before deleting:</strong></p>
<p><img src=""https://i.imgur.com/f7hpZh6.png"" alt=""enter image description here"" /></p>
<p>Target table when query parameter value is <code>delete from final_target2 where country=1;</code>.</p>
<p><img src=""https://i.imgur.com/5PrJCAn.png"" alt=""enter image description here"" /></p>
<p>You can see the records with <code>country=1</code> were deleted and new records from <code>final_source1</code> were inserted above.</p>
<p>Target table when query parameter value is <code>NULL</code>. Here in this case I am Executing a sample query <code>DECLARE @id AS INT;</code> which does nothing to target table.</p>
<p><img src=""https://i.imgur.com/ZnRuu0F.png"" alt=""enter image description here"" /></p>
<p><strong>My pipeline JSON:</strong></p>
<pre><code>{
    &quot;name&quot;: &quot;pipeline1&quot;,
    &quot;properties&quot;: {
        &quot;activities&quot;: [
            {
                &quot;name&quot;: &quot;Set variable1&quot;,
                &quot;type&quot;: &quot;SetVariable&quot;,
                &quot;dependsOn&quot;: [],
                &quot;userProperties&quot;: [],
                &quot;typeProperties&quot;: {
                    &quot;variableName&quot;: &quot;var&quot;,
                    &quot;value&quot;: {
                        &quot;value&quot;: &quot;@if(greater(length(pipeline().parameters.query),4), concat('''',pipeline().parameters.query,''''),concat('''','DECLARE @id AS INT;',''''))&quot;,
                        &quot;type&quot;: &quot;Expression&quot;
                    }
                }
            },
            {
                &quot;name&quot;: &quot;Data flow1&quot;,
                &quot;type&quot;: &quot;ExecuteDataFlow&quot;,
                &quot;dependsOn&quot;: [
                    {
                        &quot;activity&quot;: &quot;Set variable1&quot;,
                        &quot;dependencyConditions&quot;: [
                            &quot;Succeeded&quot;
                        ]
                    }
                ],
                &quot;policy&quot;: {
                    &quot;timeout&quot;: &quot;0.12:00:00&quot;,
                    &quot;retry&quot;: 0,
                    &quot;retryIntervalInSeconds&quot;: 30,
                    &quot;secureOutput&quot;: false,
                    &quot;secureInput&quot;: false
                },
                &quot;userProperties&quot;: [],
                &quot;typeProperties&quot;: {
                    &quot;dataflow&quot;: {
                        &quot;referenceName&quot;: &quot;dataflow1&quot;,
                        &quot;type&quot;: &quot;DataFlowReference&quot;,
                        &quot;parameters&quot;: {
                            &quot;query_sink&quot;: {
                                &quot;value&quot;: &quot;@variables('var')&quot;,
                                &quot;type&quot;: &quot;Expression&quot;
                            }
                        }
                    },
                    &quot;compute&quot;: {
                        &quot;coreCount&quot;: 8,
                        &quot;computeType&quot;: &quot;General&quot;
                    },
                    &quot;traceLevel&quot;: &quot;Fine&quot;
                }
            }
        ],
        &quot;parameters&quot;: {
            &quot;query&quot;: {
                &quot;type&quot;: &quot;string&quot;,
                &quot;defaultValue&quot;: &quot;NULL&quot;
            }
        },
        &quot;variables&quot;: {
            &quot;var&quot;: {
                &quot;type&quot;: &quot;String&quot;
            }
        },
        &quot;annotations&quot;: [],
        &quot;lastPublishTime&quot;: &quot;2023-03-27T15:35:50Z&quot;
    },
    &quot;type&quot;: &quot;Microsoft.DataFactory/factories/pipelines&quot;
}
</code></pre>
<p><strong>My dataflow JSON:</strong></p>
<pre><code>{
    &quot;name&quot;: &quot;dataflow1&quot;,
    &quot;properties&quot;: {
        &quot;type&quot;: &quot;MappingDataFlow&quot;,
        &quot;typeProperties&quot;: {
            &quot;sources&quot;: [
                {
                    &quot;dataset&quot;: {
                        &quot;referenceName&quot;: &quot;source2_table&quot;,
                        &quot;type&quot;: &quot;DatasetReference&quot;
                    },
                    &quot;name&quot;: &quot;source1&quot;
                }
            ],
            &quot;sinks&quot;: [
                {
                    &quot;dataset&quot;: {
                        &quot;referenceName&quot;: &quot;final_target&quot;,
                        &quot;type&quot;: &quot;DatasetReference&quot;
                    },
                    &quot;name&quot;: &quot;sink1&quot;
                }
            ],
            &quot;transformations&quot;: [],
            &quot;scriptLines&quot;: [
                &quot;parameters{&quot;,
                &quot;     query_sink as string&quot;,
                &quot;}&quot;,
                &quot;source(output(&quot;,
                &quot;          id as integer,&quot;,
                &quot;          country as integer&quot;,
                &quot;     ),&quot;,
                &quot;     allowSchemaDrift: true,&quot;,
                &quot;     validateSchema: false,&quot;,
                &quot;     isolationLevel: 'READ_UNCOMMITTED',&quot;,
                &quot;     format: 'table') ~&gt; source1&quot;,
                &quot;source1 sink(allowSchemaDrift: true,&quot;,
                &quot;     validateSchema: false,&quot;,
                &quot;     input(&quot;,
                &quot;          name as string&quot;,
                &quot;     ),&quot;,
                &quot;     deletable:false,&quot;,
                &quot;     insertable:true,&quot;,
                &quot;     updateable:false,&quot;,
                &quot;     upsertable:false,&quot;,
                &quot;     format: 'table',&quot;,
                &quot;     preSQLs:[($query_sink)],&quot;,
                &quot;     skipDuplicateMapInputs: true,&quot;,
                &quot;     skipDuplicateMapOutputs: true,&quot;,
                &quot;     errorHandlingOption: 'stopOnFirstError') ~&gt; sink1&quot;
            ]
        }
    }
}
</code></pre>
"
