QuestionId,QuestionTitle,QuestionBody,QuestionTags,Date,ViewCount,Score,NumberOfAnswers,AnswerId,AnswerBody
"1203679","Requirements and technical design as a single effort?","<p>I've been working on a large, multi-year project as a web architect.</p>

<p>So far, my responsibility has been to take requirements documentation provided by the customer's analyst and translate them into technical design documentation.</p>

<p>The 'powers that be' suggest that I take over the requirements documentation and combine them with my efforts on technical design.</p>

<p>Is there a specific problem you see with combining requirements and technical design into one step?</p>

<p>Note that we are already well into development, so a lot of the technical choices (os, app framework, database, servers, etc) have already been set in stone.</p>
","<architecture><project-management><requirements>","2009-07-29 23:41:06","953","0","7","1203762","<p><strong>""Is there a specific problem you see with combining requirements and technical design into one step?""</strong></p>

<p>Yes.</p>

<p>Requirements have almost nothing to do with technical design.</p>

<p>Requirements define ""what"" must happen.  Design explains ""how"" it will be built to make that happen.</p>

<p>For instance, I want a beer -- that's my requirement.</p>

<p>Technical design could be </p>

<ol>
<li><p>Get off my chair and walk downstairs.  Low cost.  There's a risk here.  There may be no beer.</p></li>
<li><p>Get off my chair and walk to the pub.  Higher cost. There's little risk here.  Except Sundays when it's closed.</p></li>
<li><p>Ask my wife.  Huge risk here. Possible unintended consequences.  However, I've delegated the problem and she now has to either find beer in the house, run to the store, or tell me to get my own.  If she's going out anyway, we're back to low cost and no risk. </p></li>
</ol>

<p>One requirement.  Multiple designs for solutions.  <strong>You can't work on both things in one step.</strong></p>

<p>You must document requirements (actors, use cases, conceptual data model, conceptual processing model)</p>

<p>You must then design a solution.  The solution may -- or may not -- involve creating new software.  </p>

<p>When studying requirements you often find situations where the users need to change the way they work.  Requirements can be met a number of ways.  </p>

<p>One person can both document the requirements and do the design.  But you must do them separately.  You must document the requirements in a way that they users understand and agree to the nature of the problem and what's required to declare the problem solved.  </p>

<p>Then -- separately -- you decide how best to optimize cost, risk, time-to-deliver, skills, available technology to offer some solutions to the problem.</p>
"
"1203679","Requirements and technical design as a single effort?","<p>I've been working on a large, multi-year project as a web architect.</p>

<p>So far, my responsibility has been to take requirements documentation provided by the customer's analyst and translate them into technical design documentation.</p>

<p>The 'powers that be' suggest that I take over the requirements documentation and combine them with my efforts on technical design.</p>

<p>Is there a specific problem you see with combining requirements and technical design into one step?</p>

<p>Note that we are already well into development, so a lot of the technical choices (os, app framework, database, servers, etc) have already been set in stone.</p>
","<architecture><project-management><requirements>","2009-07-29 23:41:06","953","0","7","1204157","<p>I do not have the opportunity to work in an agile team or scrum team, nor have I have the chance to apply them. I do a lot of one-off development work for customers for 1~3 months. But one thing that I have learnt when in this kind of environment is:</p>

<p><strong>Sign off with the customer every stage of the project.</strong></p>

<p>Which will answer your question as:
<strong>Never mix requirements with design document.</strong></p>

<p>Actually, it goes beyond that.</p>

<ol>
<li>First off, sign off the Scope of Work (SoW).</li>
<li>Then, sign off the Requirements.</li>
</ol>

<p>We have, in many times, seen unreasonable customers, who have ever changing requirements. However, they do not expect to pay for these changes. If not managed properly, project cost will greatly outweigh and exceed the project income.</p>

<p>Having a signed-off SoW protects you from out-of-scope requirements, eg. ""the vendor will install app xxx"", and all of a sudden, ""the client wants an entire PKI infrastructure installed to protect communication to app xxx"".</p>

<p>Having a signed-off requirements protects you from sudden and unreasonable requirements, following a similar case from above, ""there is no need to protect and encrypt communication to app xxx"".</p>

<p>Note that these are legal protection. It is still up to you to decide if a new requirement from the client should be done. It is still good however to stress that they are not in the requirements and are purely done out of good will.</p>

<p>Merging the design document into the main requirements document prevent you from signing off the requirements document. The customer will be extremely happy about this, but I think your development team will hate the possible crunch time.</p>

<p>I did see an alternative approach people have (but not on merging design with requirements).</p>

<p>Split up the requirements document into a main file with seperate appendix files. Keep important and concrete things in the requirements document. This allows you to sign off the requirements document, while allowing changes to the appendix be done at a later stage. We mostly use this approach for support documents as the appendix. It might work with design doc as an appendix, but I have not seen a design doc as an appendix.</p>

<p>Besides, in some projects, you might even want to sign off design doc before development starts. Or these design/requirements/SoW are delivery or milestone payment. </p>

<p>Really, try to avoid merging them.</p>
"
"1203679","Requirements and technical design as a single effort?","<p>I've been working on a large, multi-year project as a web architect.</p>

<p>So far, my responsibility has been to take requirements documentation provided by the customer's analyst and translate them into technical design documentation.</p>

<p>The 'powers that be' suggest that I take over the requirements documentation and combine them with my efforts on technical design.</p>

<p>Is there a specific problem you see with combining requirements and technical design into one step?</p>

<p>Note that we are already well into development, so a lot of the technical choices (os, app framework, database, servers, etc) have already been set in stone.</p>
","<architecture><project-management><requirements>","2009-07-29 23:41:06","953","0","7","1206598","<p>Requirements refer to <strong>what</strong> needs to be done.
Technical design refers to <strong>how</strong> the requirements can be fulfilled.</p>

<p>Disadvantages:</p>

<ul>
<li>One disadvantage of combining them is
that, if you're a technical guy,
you'll try to influence the
requirements to make the technical
task easier, focusing on <strong>how</strong>. In
the end, <strong>you might develop a system
that doesn't actually address (all)
the problems of the user(s) of that
system</strong>.</li>
<li>Another disadvantage is that, while
clarifying the requirements, the
technical solution will need to be
adapted to fulfill the new
features/details that were clarified
or discovered during requirements
elicitation. That means
<strong>modifying/rethinking the technical solution several times during
requirements clarification</strong>.</li>
</ul>

<p>Possible advantage:</p>

<ul>
<li>Having an overview of the technical solution while discussing the requirements, you might ""bend"" or negotiate the requirements in order to <strong>avoid later discovery of technical issues</strong> (e.g. performance problems, unfeasible or costly features with added value not proportional with the cost of implementing them). But you have to be careful not to invest too much on the technical design before the requirements are really clarified.</li>
</ul>
"
"1203679","Requirements and technical design as a single effort?","<p>I've been working on a large, multi-year project as a web architect.</p>

<p>So far, my responsibility has been to take requirements documentation provided by the customer's analyst and translate them into technical design documentation.</p>

<p>The 'powers that be' suggest that I take over the requirements documentation and combine them with my efforts on technical design.</p>

<p>Is there a specific problem you see with combining requirements and technical design into one step?</p>

<p>Note that we are already well into development, so a lot of the technical choices (os, app framework, database, servers, etc) have already been set in stone.</p>
","<architecture><project-management><requirements>","2009-07-29 23:41:06","953","0","7","1206633","<p>Yes. Combining requirements and technical design clouds your thinking -- it prevents you from later coming up with new ideas about how to improve the system by doing a different technical approach/optimization.</p>

<p>Especially in new technology areas, you may very well start off with the wrong approach. Combining the technical design and requirements induces you to think of your technnical approach as a requirement, when it could very well be scrapped and done differently.</p>

<p>Also, when it comes time to test (actually that time should be before design) then you may be testing your technical approach rather than what the porgram actually needs to do.</p>
"
"1203679","Requirements and technical design as a single effort?","<p>I've been working on a large, multi-year project as a web architect.</p>

<p>So far, my responsibility has been to take requirements documentation provided by the customer's analyst and translate them into technical design documentation.</p>

<p>The 'powers that be' suggest that I take over the requirements documentation and combine them with my efforts on technical design.</p>

<p>Is there a specific problem you see with combining requirements and technical design into one step?</p>

<p>Note that we are already well into development, so a lot of the technical choices (os, app framework, database, servers, etc) have already been set in stone.</p>
","<architecture><project-management><requirements>","2009-07-29 23:41:06","953","0","7","1209298","<p>Another difference in the two is that requirements development requires extensive contact with the client (external or internal client) and many good technical people simply don't have the people skills to manage client relationships well or to talk to actaul users without insulting them. Only you can say if you do. You will find it is much harder and more complicated than you think if you haven't been doing it. Plus you may find yourself asking the wrong questions because you are failing to see the viewpoint of the user since your expertise is in the viewpoint of the developer and designer.</p>

<p>Personally I also find that having multiple people involved in the design process (gather requirements and translate them into a design) is helpful in terms of idea generating and in terms of thinking of things the other person may have missed. Moving from two people doing this to one may not a good idea from the standpoint of team synergy. When the same person does both, it is easy to do things in only the way you are used to and there is no one else involved to challenge your assumptions until you are much farther along the path where it becomes more difficult to change.</p>
"
"1125446","How do you verify that users' requirements are addressed in the code you're working on?","<p>Code can be perfect, and also perfectly useless at the same time. Getting requirements right is as important as making sure that requirements are implemented correctly. </p>

<p>How do you verify that users' requirements are addressed in the code you're working on?</p>
","<requirements>","2009-07-14 13:38:02","433","1","11","1125453","<p>You show it to the users as early and as often as possible.</p>

<p>Chances are that what they've asked for isn't <em>actually</em> what they want - and the best way of discovering that is to show them what you've got, even before it's finished.</p>

<p>EDIT: And yes, this is also an approach to answering questions on StackOverflow :)</p>
"
"1125446","How do you verify that users' requirements are addressed in the code you're working on?","<p>Code can be perfect, and also perfectly useless at the same time. Getting requirements right is as important as making sure that requirements are implemented correctly. </p>

<p>How do you verify that users' requirements are addressed in the code you're working on?</p>
","<requirements>","2009-07-14 13:38:02","433","1","11","1125460","<p>You write tests that assert that the behavior the user requires exists. And, as was mentioned in another answer, you get feedback from the users early and often.</p>
"
"1125446","How do you verify that users' requirements are addressed in the code you're working on?","<p>Code can be perfect, and also perfectly useless at the same time. Getting requirements right is as important as making sure that requirements are implemented correctly. </p>

<p>How do you verify that users' requirements are addressed in the code you're working on?</p>
","<requirements>","2009-07-14 13:38:02","433","1","11","1125473","<p>even if you talk with the user, and get everything right, the user might have gotten it wrong.  They won't know until they use the software that they didn't want what they asked for. the surest way is to do some sore of prototype that allows the user to ""try it out"" before you write the code. you could try something like <a href=""http://en.wikipedia.org/wiki/Paper_prototyping"" rel=""nofollow noreferrer"">paper prototyping</a></p>
"
"1125446","How do you verify that users' requirements are addressed in the code you're working on?","<p>Code can be perfect, and also perfectly useless at the same time. Getting requirements right is as important as making sure that requirements are implemented correctly. </p>

<p>How do you verify that users' requirements are addressed in the code you're working on?</p>
","<requirements>","2009-07-14 13:38:02","433","1","11","1125475","<blockquote>
  <p>How do you verify that users' requirements are addressed in the code you're working on?</p>
</blockquote>

<p>For a question put in this form the answer is ""You can't"".</p>

<p>The best way is to work with users from the very first days, show them prototypes and incorporate their feedback continuously.</p>

<p>Even so, at the end of the road, there will likely be nothing resembling what was originally discussed and agreed on.</p>
"
"1125446","How do you verify that users' requirements are addressed in the code you're working on?","<p>Code can be perfect, and also perfectly useless at the same time. Getting requirements right is as important as making sure that requirements are implemented correctly. </p>

<p>How do you verify that users' requirements are addressed in the code you're working on?</p>
","<requirements>","2009-07-14 13:38:02","433","1","11","1125487","<ol>
<li>Ask them what they want you to build before you build it.</li>
<li>Write that down and show them the list of requirements you have written down.</li>
<li>Get them to sign off on the functional design.</li>
<li>Build a mock up and confirm that it does what they want it to.</li>
<li>Show them the features as it is being implemented to confirm that they are correct.</li>
<li>Show them the application when it's finished and allow them to go through acceptance testing.</li>
</ol>

<p>They still wont be happy but you will have done everything you can.</p>

<p>Any features that are not in the document they signed off can be considdered change requests which you can charge them extra. Get them to sign off everything you show them, to limit your liability</p>
"
