QuestionId,QuestionTitle,QuestionBody,QuestionTags,Date,ViewCount,Score,NumberOfAnswers,AnswerId,AnswerBody
"3227766","What tools can I use to determine the hardware requirements of my application?","<p><sub>For regular readers: The saga™ continues...</sub></p>

<p>My app runs fine on my development machine - which was purchased (5 years ago) as a fairly good gaming rig. As such, it's 64bit, has a 2.2GHz clock-speed and has 2GB of memory.</p>

<p>The machines at work however, are standard Dell issue office computers and really struggle to even start my app, let alone run it.</p>

<p>(<em>Explanation... I can imagine people screaming at me: ""What on earth are you doing to require a spec like that?"" Well, I'm doing a lot of real time image analysis and audio generation. So there.</em>)</p>

<p>Our team has the budget to buy a dedicated laptop (needs to be portable) to run it on. So now I've been tasked with generating a minimum required spec.</p>

<p>What tools can I use to determine the lowest spec capable of comfortably running my app?</p>

<p><strong>Update:</strong> The answers so far, whilst useful, focus more on alternatives to profiling. So I've put up a bounty to see if there is any software that'll do this sort of thing.</p>
","<windows><performance><hardware><profiling><requirements>","2010-07-12 10:45:37","10502","13","5","3288170","<p>Forgive me for stating the b*****g obvious but:</p>

<p><strong>Use YOUR software to check the hardware requirements for YOUR software.</strong></p>

<p>I don't quite understand why the spec of your development machine isn't simply the required spec for the laptop you propose to buy.  But if that's not good enough for some reason, run your software on some hardware with other specifications.  You could, for example take 1GB RAM out of your development machine to see how things go with less memory available.</p>

<p>There is a huge amount of benchmarking software available for all sorts of tasks.  For example LINPACK is much used for benchmarking supercomputers.  The flaw in all of these off-the-shelf benchmarks, and in the approach in general, is that they only give you good information about how a computer runs the benchmark. Transforming benchmark results into predictions of performance of hardware with your software is more an art than a science.  In the supercomputer world organisations benchmark their own key applications on new platforms before purchasing.</p>
"
"3207011","Explanations on software requirements terms needed","<p>Have several questions. Don't flame me - I'm newbie, but eager to know more. So:</p>

<ol>
<li>What is the difference between Software requirement specification (SRS) and Functional requirement specification (FRS)? Maybe, anybody can provide with links of both so that I could see the difference?</li>
<li>What is system interactive architecture map (IA map)? Can anybody provide with a link so I could see a real sample?</li>
<li>Also, what is modular breakup?</li>
</ol>

<p>Thank you very much.
Donny</p>
","<analysis>","2010-07-08 19:03:20","199","1","2","3207045","<p>The <em>requirements</em> indicate what a piece of software is supposed to do. </p>

<p><em>Functional requirements</em> say what the software should do. E.g. when you click this button, this dialog should appear. </p>

<p><em>Non-functional requirements</em> have to do with the quality of the software. It should feel snappy, it should display the window within 0.1 sec, it should be possible to deploy it to multiple servers, etc.</p>
"
"3207011","Explanations on software requirements terms needed","<p>Have several questions. Don't flame me - I'm newbie, but eager to know more. So:</p>

<ol>
<li>What is the difference between Software requirement specification (SRS) and Functional requirement specification (FRS)? Maybe, anybody can provide with links of both so that I could see the difference?</li>
<li>What is system interactive architecture map (IA map)? Can anybody provide with a link so I could see a real sample?</li>
<li>Also, what is modular breakup?</li>
</ol>

<p>Thank you very much.
Donny</p>
","<analysis>","2010-07-08 19:03:20","199","1","2","3207187","<p>I have seen documentation split between ""Functional Requirements"" and ""Technical Requirements"". In that situation, the <strong>functional requirements document is written in non-technical language</strong> that non-technical readers on the user side can understand. It avoids terminology that only an IT person would use.</p>

<p>""Requirements"" often include not only what the software is supposed to do, but other topics such as performance criteria (response time, number of concurrent users), security, programming language, browser or O/S to be supported, and the database to be used. <strong>One of the key parts of the requirements document is the definition of what is and is not in scope.</strong> And who the stakeholders and decision-makers are.</p>
"
"3061531","How to modify CSS when requirements change?","<p>Suppose I'm given the requirement to generate a few pages that have tables on them. The original requirement is for all tables to be 500px.</p>

<p>I'd write my CSS as follows:</p>

<pre><code>table
{
    width: 500px;
}
</code></pre>

<p>That will apply across the board for all tables. Now, what if they change the requirement so that some tables are 600px. What's the best way to modify the CSS? Should I give the tables classes so</p>

<pre><code>table.SizeOne
{
    width: 500px;
}

table.SizeTwo
{
    width: 600px;
}
</code></pre>

<p>Or is there a better way for me to deal with changes like this?</p>
","<css><requirements>","2010-06-17 12:20:09","296","7","8","3061546","<p>I would give them classes with meaningful names instead of SizeOne and SizeTwo, but yes that is the best approach.</p>
"
"3061531","How to modify CSS when requirements change?","<p>Suppose I'm given the requirement to generate a few pages that have tables on them. The original requirement is for all tables to be 500px.</p>

<p>I'd write my CSS as follows:</p>

<pre><code>table
{
    width: 500px;
}
</code></pre>

<p>That will apply across the board for all tables. Now, what if they change the requirement so that some tables are 600px. What's the best way to modify the CSS? Should I give the tables classes so</p>

<pre><code>table.SizeOne
{
    width: 500px;
}

table.SizeTwo
{
    width: 600px;
}
</code></pre>

<p>Or is there a better way for me to deal with changes like this?</p>
","<css><requirements>","2010-06-17 12:20:09","296","7","8","3061556","<p>Personally I like to use classes named after what I am working with such as navigation or content. If you are using class names to specify size it feels like a round about way of doing inline styles. A person coming in and looking at the css wouldn't know really what they were working with.</p>
"
"3061531","How to modify CSS when requirements change?","<p>Suppose I'm given the requirement to generate a few pages that have tables on them. The original requirement is for all tables to be 500px.</p>

<p>I'd write my CSS as follows:</p>

<pre><code>table
{
    width: 500px;
}
</code></pre>

<p>That will apply across the board for all tables. Now, what if they change the requirement so that some tables are 600px. What's the best way to modify the CSS? Should I give the tables classes so</p>

<pre><code>table.SizeOne
{
    width: 500px;
}

table.SizeTwo
{
    width: 600px;
}
</code></pre>

<p>Or is there a better way for me to deal with changes like this?</p>
","<css><requirements>","2010-06-17 12:20:09","296","7","8","3061586","<p>I would write it:</p>

<pre><code>table
{
    width: 500px;
}
</code></pre>

<p>and use version control something like SVN. What your suggesting makes things incredibly complicated. Or without version control:</p>

<pre><code> table
    {
        /*width: 500px;*/
         width: 600px;

    }
</code></pre>

<p>Adding lots of classes defeats the object of CSS in my opinion.</p>
"
"3061531","How to modify CSS when requirements change?","<p>Suppose I'm given the requirement to generate a few pages that have tables on them. The original requirement is for all tables to be 500px.</p>

<p>I'd write my CSS as follows:</p>

<pre><code>table
{
    width: 500px;
}
</code></pre>

<p>That will apply across the board for all tables. Now, what if they change the requirement so that some tables are 600px. What's the best way to modify the CSS? Should I give the tables classes so</p>

<pre><code>table.SizeOne
{
    width: 500px;
}

table.SizeTwo
{
    width: 600px;
}
</code></pre>

<p>Or is there a better way for me to deal with changes like this?</p>
","<css><requirements>","2010-06-17 12:20:09","296","7","8","3061597","<p>you can define classes further which override basic settings using a body class (a class given for the body tag ) or so.
for example if your table general width is set to 100 and in a particular page (with bodyclass 'page2') ,you need to have width as 50px, you can do it like</p>

<pre><code>table{
 width: 100px;
}

.page2 table {
 width :50px;
}
</code></pre>

<p>so the second class will over ride the former for the only page which is having bodyclass =""page2"" and every where else width will be 100.</p>

<p>It is a good practice to set a class name for the body based on section.</p>
"
"3061531","How to modify CSS when requirements change?","<p>Suppose I'm given the requirement to generate a few pages that have tables on them. The original requirement is for all tables to be 500px.</p>

<p>I'd write my CSS as follows:</p>

<pre><code>table
{
    width: 500px;
}
</code></pre>

<p>That will apply across the board for all tables. Now, what if they change the requirement so that some tables are 600px. What's the best way to modify the CSS? Should I give the tables classes so</p>

<pre><code>table.SizeOne
{
    width: 500px;
}

table.SizeTwo
{
    width: 600px;
}
</code></pre>

<p>Or is there a better way for me to deal with changes like this?</p>
","<css><requirements>","2010-06-17 12:20:09","296","7","8","3061613","<p>Your suggestion does require you to add a class to all your tables, existing ones as well as the new, wide ones; although you say ""a few pages"" and thus one would assume that there are only a few tables.</p>

<p>If you can consider the 500px tables as standard and 600px as the exceptions, then continuing to set a default would probably be more useful:</p>

<pre><code>table
{ 
    width: 500px; 
} 

table.Wide /* or a more semantic class name */
{ 
    width: 600px; 
} 
</code></pre>
"
"3061531","How to modify CSS when requirements change?","<p>Suppose I'm given the requirement to generate a few pages that have tables on them. The original requirement is for all tables to be 500px.</p>

<p>I'd write my CSS as follows:</p>

<pre><code>table
{
    width: 500px;
}
</code></pre>

<p>That will apply across the board for all tables. Now, what if they change the requirement so that some tables are 600px. What's the best way to modify the CSS? Should I give the tables classes so</p>

<pre><code>table.SizeOne
{
    width: 500px;
}

table.SizeTwo
{
    width: 600px;
}
</code></pre>

<p>Or is there a better way for me to deal with changes like this?</p>
","<css><requirements>","2010-06-17 12:20:09","296","7","8","3061635","<p>If you have several different page-wide layouts, you might benefit from creating some layout classes and attaching them to your body (or other containing tag):</p>

<pre><code>&lt;body class=""wide""&gt;
    &lt;!-- stuff --&gt;
    &lt;table&gt;...&lt;/table&gt;
&lt;/body&gt;
</code></pre>

<p>Then in your CSS:</p>

<pre><code>table {width:500px} /* defaults for all tables regardless of class */
body.wide table {width:600px} /* overrides for specific layouts */
body.slim table {width:300px}
</code></pre>

<p>It looks like a waste of time and it would be for <em>just</em> a table but if you're also styling images, divs, etc differently, you can save a lot of HTML markup.</p>

<pre><code>#wrapper {width:500px;padding:20px 10px}
body.wide #wrapper {width:600px}
body.slim #wrapper {width:300px;padding:10px 5px}

table {width:500px} /* defaults for all tables regardless of class */
body.wide table {width:600px} /* overrides for specific layouts */
body.slim table {width:300px}

img {width:500px}
body.wide img {width:600px}
body.slim img {width:300px}
</code></pre>

<p>Your 99% of your HTML stays the same (very useful if you're pulling this from a database and don't want to adapt it every time you use it), you just change the body class.</p>
"
"3061531","How to modify CSS when requirements change?","<p>Suppose I'm given the requirement to generate a few pages that have tables on them. The original requirement is for all tables to be 500px.</p>

<p>I'd write my CSS as follows:</p>

<pre><code>table
{
    width: 500px;
}
</code></pre>

<p>That will apply across the board for all tables. Now, what if they change the requirement so that some tables are 600px. What's the best way to modify the CSS? Should I give the tables classes so</p>

<pre><code>table.SizeOne
{
    width: 500px;
}

table.SizeTwo
{
    width: 600px;
}
</code></pre>

<p>Or is there a better way for me to deal with changes like this?</p>
","<css><requirements>","2010-06-17 12:20:09","296","7","8","3061637","<p>The BEST method would be to modify tables based who their parents are. For example, certain pages should have different IDs, e.g.:</p>

<pre><code>&lt;body id=""contacts""&gt;
  &lt;table&gt;
    &lt;tr&gt;
      &lt;td&gt;Content&lt;/td&gt;
    &lt;/tr&gt;
  &lt;/table&gt;
&lt;/body&gt;
</code></pre>

<p>So in your CSS would be:</p>

<pre><code>table {
  width: 500px;
}

#contacts table {
  width: 600px;
}
</code></pre>

<p>The advantage to this approach is that you're working entirely in CSS, without the need to add anything to your HTML files. Adding classes for something like this is just going to make your code more unmanageable in the future.</p>

<p>If your HTML wasn't written with proper cascading in mind, you're much better off adding proper IDs to elements than to add the classes to just the tables. The payoff is much greater for the work you're going to have to put in.</p>
"
