QuestionId,QuestionTitle,QuestionBody,QuestionTags,Date,ViewCount,Score,NumberOfAnswers,AnswerId,AnswerBody
"479739","How do you manage customers with regards to changing requirements?","<p><a href=""http://steve-yegge.blogspot.com/2008/08/business-requirements-are-bullshit.html"" rel=""nofollow noreferrer"">Steve Yegge's wisdom</a> notwithstanding, most developers are faced with requirements which were gathered from non-technical customers.  Sometimes there are project managers who deal with the customers and translate their requirements, other times not.  In any event, the fact that the requirements will change is an inevitability.</p>

<p>Most of what consititues ""good programming practice"" has to do with <a href=""https://stackoverflow.com/questions/466081/adapting-to-meet-changing-business-requirements"">developing systems which are adaptable</a> so that they can withstand changing requirements.  Principles like YAGNI, DRY, loose coupling, etc. contribute to this.  Iterative development processes such as Agile also attempt to address the concern of trying to hit a moving target, and of course having a system under test makes it infinitely more feasible to make changes.</p>

<p>Nonetheless, it seems that for many of us changing requirements can not only <a href=""https://stackoverflow.com/questions/162367/what-hurts-the-quality-of-your-code-most"">hurt the quality of our software</a>, but can also <a href=""https://stackoverflow.com/questions/71199/what-makes-you-lose-motivation"">drain our motivation</a> and make us want to stab someone.</p>

<p>This question is about how to <strong>manage the customer</strong> to make it possible for them to change their requirements in the ways that they need, while discouraging arbitrary or frivolous changes.  How do you do it?</p>

<ul>
<li>Do you have project managers to insulate the devs from the customer?</li>
<li>Do you have a formal change management process?  Change managers?</li>
<li>How difficult is it for the customer to get a change when they really need it?</li>
<li>Conversely, how easy is it for a customer to get a change when it's ""frivolous""?</li>
<li>How much detail do you give the customer when explaining the cost of a change?</li>
<li>How quickly are you able to give the customer this information after receiving a request for change?</li>
<li>What factors can torpedo the process (e.g. <a href=""https://stackoverflow.com/questions/463512/telling-a-project-manager-no"">PM's who can't say no to the customer?</a>)</li>
<li><strong>What works for you?</strong></li>
</ul>
","<project-management><requirements><change-management>","2009-01-26 13:10:40","5646","8","7","479808","<p>If you are looking for the ideal world where the customer never changes his mind or you get the ideal spec - <strong>you are in the wrong business</strong>.  That being said, the most effective mechanism I have found for managing customer expectations and change requests is to institute an accurate system of measurement.</p>

<p>This is how I run my team:</p>

<p>1) We start with user stories.  The customer is involved in writing them and the development team estimates how long each user story will take in a relative manner.</p>

<p>2) Using prior experience I take these relative estimates (story points) and create a rough schedule for when major milestones of the project will be complete.</p>

<p>3) Within these milestones we run 2-week iterations.   The customer is involved in setting the approval criteria and whether or not the story has been approved.  A simple burn down chart shows the customer how close we are to meeting the launch goal.</p>

<p>4) Often time during the approval sessions the customer will request a change because the feature did not turn out how he expected it (even though it met his original approval criteria).  At this time you generate a new story with a new estimate.  You can also adjust your milestone dates appropriately.  This then puts the ball back into the customers court:</p>

<ul>
<li>Often times they realize their change request isn't worth it (they'd have to get approval from their boss) and we'll kill the new feature</li>
<li>Sometimes it is important so we'll delay the due date to get the feature in</li>
<li>And finally, there's always the option to kill another not so important feature that will take an equivalent amount of time.  </li>
</ul>

<p>The key is not to run away from change requests, but to establish that every change request has consequences on the product.  There's no such thing as a <em>free lunch.</em></p>
"
"479739","How do you manage customers with regards to changing requirements?","<p><a href=""http://steve-yegge.blogspot.com/2008/08/business-requirements-are-bullshit.html"" rel=""nofollow noreferrer"">Steve Yegge's wisdom</a> notwithstanding, most developers are faced with requirements which were gathered from non-technical customers.  Sometimes there are project managers who deal with the customers and translate their requirements, other times not.  In any event, the fact that the requirements will change is an inevitability.</p>

<p>Most of what consititues ""good programming practice"" has to do with <a href=""https://stackoverflow.com/questions/466081/adapting-to-meet-changing-business-requirements"">developing systems which are adaptable</a> so that they can withstand changing requirements.  Principles like YAGNI, DRY, loose coupling, etc. contribute to this.  Iterative development processes such as Agile also attempt to address the concern of trying to hit a moving target, and of course having a system under test makes it infinitely more feasible to make changes.</p>

<p>Nonetheless, it seems that for many of us changing requirements can not only <a href=""https://stackoverflow.com/questions/162367/what-hurts-the-quality-of-your-code-most"">hurt the quality of our software</a>, but can also <a href=""https://stackoverflow.com/questions/71199/what-makes-you-lose-motivation"">drain our motivation</a> and make us want to stab someone.</p>

<p>This question is about how to <strong>manage the customer</strong> to make it possible for them to change their requirements in the ways that they need, while discouraging arbitrary or frivolous changes.  How do you do it?</p>

<ul>
<li>Do you have project managers to insulate the devs from the customer?</li>
<li>Do you have a formal change management process?  Change managers?</li>
<li>How difficult is it for the customer to get a change when they really need it?</li>
<li>Conversely, how easy is it for a customer to get a change when it's ""frivolous""?</li>
<li>How much detail do you give the customer when explaining the cost of a change?</li>
<li>How quickly are you able to give the customer this information after receiving a request for change?</li>
<li>What factors can torpedo the process (e.g. <a href=""https://stackoverflow.com/questions/463512/telling-a-project-manager-no"">PM's who can't say no to the customer?</a>)</li>
<li><strong>What works for you?</strong></li>
</ul>
","<project-management><requirements><change-management>","2009-01-26 13:10:40","5646","8","7","479936","<p>You can’t expect customers to know what they want at the start, so you must be adaptable. But also you need to stop change for changes sake. </p>

<p><strong>This is for ‘internal’ customers.</strong></p>

<p>I have found that bargaining with the customer is an effective way to go. They can have whatever feature they want if they wait for it, or if they sacrifice some other (yet to be implemented) features. This forces them to think about the value of the change they are asking for in relation to the system as a whole. </p>

<p>Sometimes this works well and a good compromise is reached. Other times the customer throws their toys out of the pram and goes however high they have to get the feature implemented and quality is reduced. </p>

<p>If the customer is paying, it is a different ball game.  They need to be made aware that change costs, and that the cost increases as the product nears completion. This means that you have to do a lot of up front analysis about what you will deliver and make sure the spec is agreed upon. So then you can measure what has changed. This may not be the most effective solution for either party but it does keep things cut and dry. So they are not dissatisfied and you don’t end up doing loads of work for free.</p>
"
"479739","How do you manage customers with regards to changing requirements?","<p><a href=""http://steve-yegge.blogspot.com/2008/08/business-requirements-are-bullshit.html"" rel=""nofollow noreferrer"">Steve Yegge's wisdom</a> notwithstanding, most developers are faced with requirements which were gathered from non-technical customers.  Sometimes there are project managers who deal with the customers and translate their requirements, other times not.  In any event, the fact that the requirements will change is an inevitability.</p>

<p>Most of what consititues ""good programming practice"" has to do with <a href=""https://stackoverflow.com/questions/466081/adapting-to-meet-changing-business-requirements"">developing systems which are adaptable</a> so that they can withstand changing requirements.  Principles like YAGNI, DRY, loose coupling, etc. contribute to this.  Iterative development processes such as Agile also attempt to address the concern of trying to hit a moving target, and of course having a system under test makes it infinitely more feasible to make changes.</p>

<p>Nonetheless, it seems that for many of us changing requirements can not only <a href=""https://stackoverflow.com/questions/162367/what-hurts-the-quality-of-your-code-most"">hurt the quality of our software</a>, but can also <a href=""https://stackoverflow.com/questions/71199/what-makes-you-lose-motivation"">drain our motivation</a> and make us want to stab someone.</p>

<p>This question is about how to <strong>manage the customer</strong> to make it possible for them to change their requirements in the ways that they need, while discouraging arbitrary or frivolous changes.  How do you do it?</p>

<ul>
<li>Do you have project managers to insulate the devs from the customer?</li>
<li>Do you have a formal change management process?  Change managers?</li>
<li>How difficult is it for the customer to get a change when they really need it?</li>
<li>Conversely, how easy is it for a customer to get a change when it's ""frivolous""?</li>
<li>How much detail do you give the customer when explaining the cost of a change?</li>
<li>How quickly are you able to give the customer this information after receiving a request for change?</li>
<li>What factors can torpedo the process (e.g. <a href=""https://stackoverflow.com/questions/463512/telling-a-project-manager-no"">PM's who can't say no to the customer?</a>)</li>
<li><strong>What works for you?</strong></li>
</ul>
","<project-management><requirements><change-management>","2009-01-26 13:10:40","5646","8","7","479969","<p>In software engineering, change is just a fact.  It will happen.  For us, everything comes at a price.  We'll make just about any change the clients wants, but there is always a time estimate and a cost associated with it.  Do we ever tell the client no -- not normally, but sometimes the changes request comes in at a very high cost.  We do draw the line at potential security threats etc. in which case we calmly explain to them that we can't accommodate the request.  </p>

<p>How much do we explain to the customer, we explain where the money is going to be allocated, this much for development, this much for analysis etc.  We don't explicitly tell them why something costs the way it does.  Now I will admit, this does vary a little with some of our clients.  Some of them get very detailed billing as to exactly how many hours are spent where.  To get the contract we had to agree to it, although this is very rare for us.</p>

<p>We have sales people who can't say no at times, and that can cause problems.  We have spent a lot of time working on that, but unfortunately it still crops up.  We combat it by explaining how much money they cost us by quoting something without researching what it will take.  Transparency is key at all levels.  Everyone has to know how their decisions affect the bottom line.  </p>

<p>Do we do frivolous changes? Yep.  What you have to remember is that when you bill hourly most of the time a 5 minute change is billed at a full hour, so that is quite lucrative.  We explain all of this before like we do with any change request so they are aware of it, but it tends to help discourage such behavior unless it is really important.  The fact is that we treat all changes the same.  We don't assume we know what is considered frivolous to them no matter how absurd we think it might be.  We have a formal change process where the customer asks for something we write it down and get them to sign off that is what we evaluate it and present a Cost of Work Estimate.  They either agree in which case they formally sign a document letting us know it is ok to start, or they rescind the request.  We try to be diligent, but we let them know that it will take a few days for us to get a response to their request.</p>

<p>A coworker of mine gave me the best advice I have ever heard about managing customer relations ships.  It's a give and take.  To make the customer happy, you have to be willing to help them when they need something, but at the same time, you have to be able to say no.  When dealing with people they want you to help them, but they also want you to have a spine and stand up for yourself.  It becomes a win-win situation that way.</p>
"
"479739","How do you manage customers with regards to changing requirements?","<p><a href=""http://steve-yegge.blogspot.com/2008/08/business-requirements-are-bullshit.html"" rel=""nofollow noreferrer"">Steve Yegge's wisdom</a> notwithstanding, most developers are faced with requirements which were gathered from non-technical customers.  Sometimes there are project managers who deal with the customers and translate their requirements, other times not.  In any event, the fact that the requirements will change is an inevitability.</p>

<p>Most of what consititues ""good programming practice"" has to do with <a href=""https://stackoverflow.com/questions/466081/adapting-to-meet-changing-business-requirements"">developing systems which are adaptable</a> so that they can withstand changing requirements.  Principles like YAGNI, DRY, loose coupling, etc. contribute to this.  Iterative development processes such as Agile also attempt to address the concern of trying to hit a moving target, and of course having a system under test makes it infinitely more feasible to make changes.</p>

<p>Nonetheless, it seems that for many of us changing requirements can not only <a href=""https://stackoverflow.com/questions/162367/what-hurts-the-quality-of-your-code-most"">hurt the quality of our software</a>, but can also <a href=""https://stackoverflow.com/questions/71199/what-makes-you-lose-motivation"">drain our motivation</a> and make us want to stab someone.</p>

<p>This question is about how to <strong>manage the customer</strong> to make it possible for them to change their requirements in the ways that they need, while discouraging arbitrary or frivolous changes.  How do you do it?</p>

<ul>
<li>Do you have project managers to insulate the devs from the customer?</li>
<li>Do you have a formal change management process?  Change managers?</li>
<li>How difficult is it for the customer to get a change when they really need it?</li>
<li>Conversely, how easy is it for a customer to get a change when it's ""frivolous""?</li>
<li>How much detail do you give the customer when explaining the cost of a change?</li>
<li>How quickly are you able to give the customer this information after receiving a request for change?</li>
<li>What factors can torpedo the process (e.g. <a href=""https://stackoverflow.com/questions/463512/telling-a-project-manager-no"">PM's who can't say no to the customer?</a>)</li>
<li><strong>What works for you?</strong></li>
</ul>
","<project-management><requirements><change-management>","2009-01-26 13:10:40","5646","8","7","480006","<p>Managing the customer is hard, and it is something that very easily can go wrong.</p>

<p>I find that as early as possible you need to <strong>gain the trust</strong> of the customer. For me I think you can do this by:</p>

<ul>
<li>Ask the customer to appoint a <strong>product manager</strong> - who is clear thinking enough to communicate the requirements he/she wants, and look to build a strong working relationship with him/her.</li>
<li><strong>Really try to understand their business</strong> - you don't need to be a domain expert, but you need to know where the customer is coming from.</li>
<li>Ask pertinent questions about what they want - <strong>don't assume what they ask for (at first) is what they really want</strong>.</li>
<li>At first <strong>welcome all changes</strong>. This is not the customer being annoying and fickle, it as an opportunity to better understand what the customer really wants. If this costs you time/money, then you may need to accept it as <strong>a loss leader</strong>.</li>
<li><strong>Deliver a prototype early</strong>, and incorporate as much customer feedback as practicable.</li>
<li>Give the customer <strong>a kick arse product</strong>.</li>
</ul>

<p>Once you have done this, and the customer trusts you, then you will be in a position to start knocking back unreasonable changes, or ask for extra payments/time for things that were previously considered out of scope.</p>

<p>Of course, you won't be able to build this sort of relationship with every customer, some <em>are</em> idiots (in this case see if you can have a different product manager appointed) but you should always do as much as <em>you</em> can to build an effective working relationship.</p>
"
"479739","How do you manage customers with regards to changing requirements?","<p><a href=""http://steve-yegge.blogspot.com/2008/08/business-requirements-are-bullshit.html"" rel=""nofollow noreferrer"">Steve Yegge's wisdom</a> notwithstanding, most developers are faced with requirements which were gathered from non-technical customers.  Sometimes there are project managers who deal with the customers and translate their requirements, other times not.  In any event, the fact that the requirements will change is an inevitability.</p>

<p>Most of what consititues ""good programming practice"" has to do with <a href=""https://stackoverflow.com/questions/466081/adapting-to-meet-changing-business-requirements"">developing systems which are adaptable</a> so that they can withstand changing requirements.  Principles like YAGNI, DRY, loose coupling, etc. contribute to this.  Iterative development processes such as Agile also attempt to address the concern of trying to hit a moving target, and of course having a system under test makes it infinitely more feasible to make changes.</p>

<p>Nonetheless, it seems that for many of us changing requirements can not only <a href=""https://stackoverflow.com/questions/162367/what-hurts-the-quality-of-your-code-most"">hurt the quality of our software</a>, but can also <a href=""https://stackoverflow.com/questions/71199/what-makes-you-lose-motivation"">drain our motivation</a> and make us want to stab someone.</p>

<p>This question is about how to <strong>manage the customer</strong> to make it possible for them to change their requirements in the ways that they need, while discouraging arbitrary or frivolous changes.  How do you do it?</p>

<ul>
<li>Do you have project managers to insulate the devs from the customer?</li>
<li>Do you have a formal change management process?  Change managers?</li>
<li>How difficult is it for the customer to get a change when they really need it?</li>
<li>Conversely, how easy is it for a customer to get a change when it's ""frivolous""?</li>
<li>How much detail do you give the customer when explaining the cost of a change?</li>
<li>How quickly are you able to give the customer this information after receiving a request for change?</li>
<li>What factors can torpedo the process (e.g. <a href=""https://stackoverflow.com/questions/463512/telling-a-project-manager-no"">PM's who can't say no to the customer?</a>)</li>
<li><strong>What works for you?</strong></li>
</ul>
","<project-management><requirements><change-management>","2009-01-26 13:10:40","5646","8","7","484028","<p>I’d prefer a term of evolving requirements to “changing requirements”. Professor M.M.Lehman (<a href=""http://www.doc.ic.ac.uk/~mml/"" rel=""nofollow noreferrer"">http://www.doc.ic.ac.uk/~mml/</a> and <a href=""http://en.wikipedia.org/wiki/Meir_Manny_Lehman"" rel=""nofollow noreferrer"">http://en.wikipedia.org/wiki/Meir_Manny_Lehman</a>) has done a considerable contribution into research on software evolution; his works also suggest that not all types of requirements evolve. One might consider themselves lucky if they happen to work on one of these systems, where requirements stay the same (i.e. math libraries etc).</p>

<p>To the rest of us experience suggests that developers prefer as much information about requirements up front as possible, whereas customers or end-users value an ability to specify or adjust requirements as late as possible into the development process. The former need the detailed information to help planning and designing the solution, the latter can gain a strategic advantage through changing a requirement late, because it gives customer some room for manoeuvre to respond to the changing environment or information gained on as a result of the earlier stages / iterations of the project. A trade-off between the ability to have a detailed plan and change things largely determines the development process itself (waterfall, agile, spiral etc).</p>

<p>Some practical advice managing the evolution of requirements:</p>

<ul>
<li><p>Build in some room into the initial plan to account for evolving requirements, multiple check points or iterations.</p></li>
<li><p>Either put volatile requirements into the beginning of the project so that some kind of prototyping or feasibility study is likely to clarify them or plan for the change late into the project. </p></li>
<li><p>Monitor that the requirements are still relevant.</p></li>
<li><p>Have an up to date, prioritised list of current requirements handy. Nothing else helps to keep evolution in control as a good visibility to all stakeholders of current “must haves” including their relative priority and cost.</p></li>
<li><p>Keep managing customer expectations on how long things are going to take; this also helps to keep focus.</p></li>
<li><p>Introduce a formal process for changing or adding requirements if you need. The process description needs to specify roles of these involved, frequency of reviews etc. It could serve as a good safeguard against some political and most opportunistic but not essential requirements. </p></li>
<li><p>Build in some time for refactoring even for the first version. You’re very likely to throw all or part of the solution as a result of additional knowledge gain during the development.</p></li>
</ul>
"
"479739","How do you manage customers with regards to changing requirements?","<p><a href=""http://steve-yegge.blogspot.com/2008/08/business-requirements-are-bullshit.html"" rel=""nofollow noreferrer"">Steve Yegge's wisdom</a> notwithstanding, most developers are faced with requirements which were gathered from non-technical customers.  Sometimes there are project managers who deal with the customers and translate their requirements, other times not.  In any event, the fact that the requirements will change is an inevitability.</p>

<p>Most of what consititues ""good programming practice"" has to do with <a href=""https://stackoverflow.com/questions/466081/adapting-to-meet-changing-business-requirements"">developing systems which are adaptable</a> so that they can withstand changing requirements.  Principles like YAGNI, DRY, loose coupling, etc. contribute to this.  Iterative development processes such as Agile also attempt to address the concern of trying to hit a moving target, and of course having a system under test makes it infinitely more feasible to make changes.</p>

<p>Nonetheless, it seems that for many of us changing requirements can not only <a href=""https://stackoverflow.com/questions/162367/what-hurts-the-quality-of-your-code-most"">hurt the quality of our software</a>, but can also <a href=""https://stackoverflow.com/questions/71199/what-makes-you-lose-motivation"">drain our motivation</a> and make us want to stab someone.</p>

<p>This question is about how to <strong>manage the customer</strong> to make it possible for them to change their requirements in the ways that they need, while discouraging arbitrary or frivolous changes.  How do you do it?</p>

<ul>
<li>Do you have project managers to insulate the devs from the customer?</li>
<li>Do you have a formal change management process?  Change managers?</li>
<li>How difficult is it for the customer to get a change when they really need it?</li>
<li>Conversely, how easy is it for a customer to get a change when it's ""frivolous""?</li>
<li>How much detail do you give the customer when explaining the cost of a change?</li>
<li>How quickly are you able to give the customer this information after receiving a request for change?</li>
<li>What factors can torpedo the process (e.g. <a href=""https://stackoverflow.com/questions/463512/telling-a-project-manager-no"">PM's who can't say no to the customer?</a>)</li>
<li><strong>What works for you?</strong></li>
</ul>
","<project-management><requirements><change-management>","2009-01-26 13:10:40","5646","8","7","484904","<p>The customer comes to you to do something because they either don't have the time to do it or they don't know what to do <strong>(and want to pay you to do it for them)</strong>. If you have changing requirements, it's because of the latter. In other words, they are paying you to figure out the details! And they know what they like and don't like but they won't know how it works.</p>

<p>Recognize this and whatever the solution needs to be falls in to place.</p>
"
"463512","How to tell a project manager ""NO"" to scope creep","<p>While project managers may each have their own personality and management style, it seems that many of them have a <strong>pernicious love of sneaking in ""scope creep""</strong> when they can (whether anyone is watching or not).  While they usually mean well (bless their hearts), <strong>what's the best way that you've found to say ""NO"" to project managers?</strong></p>
","<project-management><scope><requirements><scope-creep>","2009-01-20 23:16:45","1798","13","10","463523","<p>By having good costing and feature design for what is in scope, taking it back to them and asking if they want to move the date out, or cut other features.  If the latter, what features are no longer important that haven't been started yet?</p>
"
"463512","How to tell a project manager ""NO"" to scope creep","<p>While project managers may each have their own personality and management style, it seems that many of them have a <strong>pernicious love of sneaking in ""scope creep""</strong> when they can (whether anyone is watching or not).  While they usually mean well (bless their hearts), <strong>what's the best way that you've found to say ""NO"" to project managers?</strong></p>
","<project-management><scope><requirements><scope-creep>","2009-01-20 23:16:45","1798","13","10","463529","<p>The easiest way to do it is be firm and tell them that it <strong>will</strong> affect the release date if you include the additional feature(s). Ultimately their job is to ship a product on time, so the bottom line for them is ""can we fit this in without breaking the schedule"". If the answer is no, then any project manager worth their salary should fall firmly on the side of development in agreeing it's unacceptable scope creep.</p>
"
"463512","How to tell a project manager ""NO"" to scope creep","<p>While project managers may each have their own personality and management style, it seems that many of them have a <strong>pernicious love of sneaking in ""scope creep""</strong> when they can (whether anyone is watching or not).  While they usually mean well (bless their hearts), <strong>what's the best way that you've found to say ""NO"" to project managers?</strong></p>
","<project-management><scope><requirements><scope-creep>","2009-01-20 23:16:45","1798","13","10","463530","<p>Let me start by saying that if a PM is ""sneaking in scope creep"" he is a very bad project manager. </p>

<p>Having said that...it's not your job to say no to a project manager. It's your job to ensure that he knows and understands the costs and risks of the change he is making. If the PM insists on changing the scope and adjusting nothing else in the project, get another job (because the project and/or company is doomed).</p>
"
"463512","How to tell a project manager ""NO"" to scope creep","<p>While project managers may each have their own personality and management style, it seems that many of them have a <strong>pernicious love of sneaking in ""scope creep""</strong> when they can (whether anyone is watching or not).  While they usually mean well (bless their hearts), <strong>what's the best way that you've found to say ""NO"" to project managers?</strong></p>
","<project-management><scope><requirements><scope-creep>","2009-01-20 23:16:45","1798","13","10","463541","<p>Chances are, while you suppose that your project manager has a 'pernicious love of sneaking in ""scope creep"" when they can', his perspective is probably different. It is probably more productive to make sure you understand his point of view.</p>

<p>This is of course in addition to communicating your own point of view, namely the consequences of the scope creep. You probably need to explicitly identify the additional work in your development plan, estimate how long the additional work will take, and explain that this means a delay or dropping some other feature.</p>

<p>This only works if your estimates are any good. This does not work if you do the additional work off the books, so that the additional time spent is not visible. Otherwise, you might meet the deadline for other reasons, such as harder work or efficiency gains, and your project manager will just remember that scope creep did not affect the delivery date 'last time'.</p>
"
