QuestionId,QuestionTitle,QuestionBody,QuestionTags,Date,ViewCount,Score,NumberOfAnswers,AnswerId,AnswerBody
"67427250","How can I replicate an existing data warehouse on Azure?","<p>I am new to Azure and have no prior experience or knowledge regarding working with Azure data warehouse systems (now Azure Synapse Analytics Framework)</p>
<p>I have access to a &quot;read only&quot; data warehouse (not in Azure) that looks like this:</p>
<p><a href=""https://i.stack.imgur.com/jKdh9.jpg"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/jKdh9.jpg"" alt=""enter image description here"" /></a></p>
<p>I want to replicate this data warehouse as it is on Azure cloud. Can anyone point me to the right direction (video tutorials or documentation) and the number of steps involved in this process? There are around 40 databases in this warehouse. And what if I wanted to replicated only specific ones?</p>
","<sql-server><azure><data-warehouse>","2021-05-06 23:38:10","300","-1","1","67428524","<p>We can't do that you only have the read only permisson. No matter which data warehouse, we all need the server admin or database owner permission to do the database replicate.</p>
<p>You can easily get this from the all documents relate to the database backup/migrate/replicate, for example: <a href=""https://learn.microsoft.com/en-us/sql/t-sql/statements/backup-transact-sql?view=sql-server-ver15#permissions"" rel=""nofollow noreferrer"">https://learn.microsoft.com/en-us/sql/t-sql/statements/backup-transact-sql?view=sql-server-ver15#permissions</a>,</p>
<p>If you have enough permission then you can to that. But for Azure SQL datawarehouse, now we called SQL pool (formerly SQL DW), we can't replicate other from on-premise datawarehouse to Azure directly.</p>
<p>The official document provide a way import the data into to Azure SQL pool((formerly SQL DW)):</p>
<ul>
<li>Once your dedicated SQL pool is created, you can import big data with
simple <a href=""https://learn.microsoft.com/en-us/sql/relational-databases/polybase/polybase-guide?toc=/azure/synapse-analytics/sql-data-warehouse/toc.json&amp;bc=/azure/synapse-analytics/sql-data-warehouse/breadcrumb/toc.json&amp;view=azure-sqldw-latest&amp;preserve-view=true"" rel=""nofollow noreferrer"">PolyBase T-SQL queries</a>, and then use the power of the
distributed query engine to run high-performance analytics.</li>
</ul>
<p>You also could use other ETL tool to achieve the data migration from on-premise datawarehouse to Azure. For example using <a href=""https://learn.microsoft.com/en-us/azure/data-factory/introduction"" rel=""nofollow noreferrer"">Data Factory</a>, combine these two tutorials:</p>
<ol>
<li><a href=""https://learn.microsoft.com/en-us/azure/data-factory/connector-sql-server"" rel=""nofollow noreferrer"">Copy data to and from SQL Server by using Azure Data Factory</a></li>
<li><a href=""https://learn.microsoft.com/en-us/azure/data-factory/connector-azure-sql-data-warehouse"" rel=""nofollow noreferrer"">Copy and transform data in Azure Synapse Analytics by using Azure
Data Factory</a></li>
</ol>
"
"67384676","How to prevent locks in redshift. ( Shared lock stopping a write job)","<p>I have a data warehouse which are used by multiple downstream users. They read the data from the redshift table. When they read the data, there is a shared lock enforced on the table. At that time, my daily job which is supposed to write on the table does not write as it cannot put an exclusive lock until the shared lock is clear.</p>
<p>Ideally my write job should take priority over any other read job. Can I enforce this is some way?</p>
","<sql><locking><amazon-redshift><data-warehouse><database-locking>","2021-05-04 12:22:43","668","0","1","67387264","<p>Usually this is done by your update process not requiring an exclusive lock or managing the need for locks so that the update process isn't blocked.</p>
<p>Can you describe your update process and which steps are requiring the exclusive locks?</p>
<p>Look at the locks and statements causing them when things are making forward progress. Reworking these parts should allow you to keep you updates moving while these read sessions are acting on the versions of data they started with.</p>
<p>It is also important to not have user transactions that hang around for days on end.  This can happen when interactive sessions are just left open mid transaction.  The also prevents errors due to some sessions seeing very old versions of data.</p>
"
"67313466","Combining count tables with different row numbers to matrix - file names are column names","<p>I often have to import multiple text files in R and combine them to a matrix for further analysis. Usually I deal with count data from microbiological studies with items in the first column and counts in the second column. The number of rows in the samples is not the same usually.</p>
<p>I would like to combine those single files to one matrix, where the rownames are the items of column 1 and columns display the counts of column 2. The column names of the final table should be the file names of the original single files.</p>
<p>Here is a minimal example:
File 1: Sample1.csv</p>
<pre><code>    [1] [2]
[1]  A , 3
[2]  B , 5
[3]  C , 7
[4]  D , 2
[5]. E , 1
</code></pre>
<p>File2: Sample2.csv</p>
<pre><code>    [1] [2]
[1]  B , 1
[2]  C , 3
[3]  F , 4
[4]  G , 7
</code></pre>
<p>Final wanted output</p>
<pre><code>  [Sample1] [Sample2]
[A]  3       NA
[B]  5       1
[C]  7       3
[D]  2       NA
[E]  1       NA
[F]  NA      4
[G]  NA      7
</code></pre>
<p>I understood that in this case you would have to start loading your files in R as a list</p>
<pre><code>all_paths &lt;-list.files(path = &quot;/path/to/directory/with/.csv&quot;, pattern = &quot;*.csv&quot;,full.names = TRUE)

all_content &lt;-
  all_paths %&gt;%
  lapply(read.table,
         header = FALSE, row.names =1,
         sep = &quot;,&quot;,
         encoding = &quot;UTF-8&quot;)
</code></pre>
<p>which gives me a list of dataframes with the items as row names and counts in the first column</p>
<p>I struggle now to combine this list to the above shown pattern. I tried rbind.fill (dpylr) and other functions from different posts but never succeeded.</p>
<p>Any help is highly appreciated!</p>
","<r><data-manipulation><data-management>","2021-04-29 08:12:17","255","0","1","67313547","<p>Don't put the items as rownames, read them as first column. Put the data in a list and do a full join with <code>Reduce</code>.</p>
<pre><code>all_paths &lt;-list.files(path = &quot;/path/to/directory/with/.csv&quot;, pattern = &quot;*.csv&quot;,full.names = TRUE)
all_content &lt;-lapply(all_paths, read.table,sep = &quot;,&quot;, encoding = &quot;UTF-8&quot;)
result &lt;- Reduce(function(x, y) merge(x, y, by = 'V1', all = TRUE), all_content)
</code></pre>
"
"67309612","where is OLAP in powerBI","<p>I am new to Business Inteligence and powerBI
I understand the need of warehouses and dimension modeling</p>
<p>My question is once the datawarehouse is created (in my case using oracle) i can connect it to powerBI and start creating reports with the datasets imported from my warehouse</p>
<p>In this case what is the difference between the data imported in powerBI and the OLAP cubes , is it the same thing ? (does powerBI creates the cubes implicitly before beeing able to create reports for example)</p>
<p>For instance, I can have my datawarehouse created with usual sql and sgbd oracle (no multidimensional database , MDX or any other concept/technology) so I need to understand the utility of OLAP in this case</p>
<p>In case it is useful to use OLAP and or MDX , should we redesign the warehouse from scratch with other technologies or it is just a layer to add on top of oracle database?</p>
<p>Thank you</p>
","<powerbi><data-warehouse><business-intelligence><olap><olap-cube>","2021-04-29 00:40:31","3652","0","1","67312364","<p>Ques: The difference between the data imported in powerBI and the OLAP
cubes , is it the same thing ?
answer: <strong>NO.</strong></p>
<ol>
<li><p>What's the need for OLAP cube when we have datawarehouse?</p>
<p>The main purpose of a <code>cube</code> is to do the precalculations and store it in analysis (in general ssas) database. Instead of running the calculations in the rdbms or data warehouse we create a OLAP (or say a SSAS) cube.
So to rephrase it output of the calculated formula get stored in cube. So <code>center of the cube is a fact table and dimensions are faces of the cube.</code>
Now there are numerous advantages of creating a OLAP cube but on a high level it can be the understood as with cube we can avoid contention of resources while doing analysis with source system and that we can have data from different data sources for analytic processing (OLAP).</p>
</li>
<li><p>What's the need for OLAP cube when we can directly import data in PowerBI from datawarehouse?</p>
<p>As OLAP cube hold the precalculated data for each query in PowerBI there is a minimum latency.So <code>OLAP offloads Relationships, Aggregations, Drill downs and business Logic from PowerBI and do them at cube level</code>.</p>
</li>
</ol>
"
"67276882","Data Warehouse: Who initiate extract data from multiple source to staging area, is it the source or the data warehouse?","<p>I have a question regarding ETL (especially the extract one) in the data warehouse.</p>
<p>From this <a href=""https://data-warehouses.net/architecture/staging.html"" rel=""nofollow noreferrer"">article</a>, a staging area is mainly for timing reasons and some don't even need a staging area.</p>
<p>Let say I have 3 microservice servers, each one has its own database, 2 operational servers, and 1 data warehouse server.</p>
<ol>
<li>Server 1: data is scheduled to be extracted daily</li>
<li>Server 2: data is needed to be real-time available at the data warehouse</li>
</ol>
<p>Who will initiate extract data? my thought is</p>
<ol>
<li>Server 1: data extracting is initiated by the data warehouse server, extract directly from Server 1's database, scheduled daily</li>
<li>Server 2: the timing is cannot be scheduled, so the data warehouse server provides API for use by Server 2, and Server 2 initiates data extraction or rather sent data to the data warehouse server through provided API every time data is available.</li>
</ol>
<p>But I'm not sure about it, should I provides API to all operational servers and let them decide when to send data to the warehouse? Or is it all the data warehouse server job to extract data directly from the operational database? If so, how to extract the real-time one?</p>
","<database><microservices><etl><data-warehouse>","2021-04-27 04:10:50","71","0","1","67289114","<p>Your proposed approach (you ping server 1 daily but receive data from server 2 in near real time) is what I've seen in the past. A few things you might want to consider, though, are:</p>
<ul>
<li>Sometimes Server 2 can't be configured to automatically ping an API, frequently because its database won't support triggers. If this is the case, then you might need to ping server 2 periodically from the DW, like every five minutes.</li>
<li>Typically, you would query server 1 every night. That said, I could see how it might actually be better for server 1 to just tell you when it's ready to be read. In that second case your DW doesn't have to worry about synchronizing with server 1's schedule; if server 1 has processing delays or its batch window runs long, your DW will still pick up its data when that data is ready.</li>
</ul>
"
"67257232","SQL - load data warehouse dimension table without business IDs?","<p>just wanted to see if any others have dealt with this issue and how.</p>
<p>I am building a star schema DW and currently in the process of structuring my dimension tables. Most of them are fine as the descriptions have IDs, for example I have an “action type description” and an “action type ID” which I can use to build my dimActionType dimension.</p>
<p>My issue is some of the description fields don’t have a corresponding business key - so for example I have a “group role” description but no business ID. What would be the best practice in putting this into a DimGroup table? I can select distinct group role into a table with auto increment but how would I then join my fact table to this?</p>
<p>Appreciate any thoughts/ideas</p>
","<sql><data-warehouse><star-schema-datawarehouse><kimball>","2021-04-25 19:05:36","268","0","1","67257751","<p>If the &quot;group role description&quot; uniquely identifies a group role then it is the business key - so just treat it as you would any other business key.</p>
"
"67237836","Star Schema from multiple source tables","<p>I am struggling in figuring out how to create a star schema from multiple source tables.  I work at a trading firm so the data is related to user trading activity.  The issue I am having is that our datasets do not have primary ids for every field that could be a dimension. Instead, we usually relate our data together using the combination of date and account number.  Here is an example of 3 source tables...</p>
<p><a href=""https://i.stack.imgur.com/Df7JX.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/Df7JX.png"" alt=""enter image description here"" /></a></p>
<p>I would like to turn this into a star schema, something that looks like ...</p>
<p><a href=""https://i.stack.imgur.com/JEdLA.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/JEdLA.png"" alt=""enter image description here"" /></a></p>
<p>Is my only option to denormalize my source tables into one wide table (joining trades to position on account number and date, and joining the users table on account number), create keys for each dimension, then re normalizing it into the star schema? Are star schema's ever built from multiple source tables?</p>
","<data-modeling><data-warehouse><denormalization><star-schema><fact-table>","2021-04-23 23:18:47","1123","0","2","67242628","<p>Star schemas are almost always created from multiple source tables.</p>
<p>The normal process is:</p>
<ol>
<li>Populate your dimension tables</li>
<li>Create a temporary/virtual fact record using your source data</li>
<li>Using this fact record, look up the relevant dimension keys</li>
<li>Write the actual fact record to your target fact table</li>
</ol>
"
"67237836","Star Schema from multiple source tables","<p>I am struggling in figuring out how to create a star schema from multiple source tables.  I work at a trading firm so the data is related to user trading activity.  The issue I am having is that our datasets do not have primary ids for every field that could be a dimension. Instead, we usually relate our data together using the combination of date and account number.  Here is an example of 3 source tables...</p>
<p><a href=""https://i.stack.imgur.com/Df7JX.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/Df7JX.png"" alt=""enter image description here"" /></a></p>
<p>I would like to turn this into a star schema, something that looks like ...</p>
<p><a href=""https://i.stack.imgur.com/JEdLA.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/JEdLA.png"" alt=""enter image description here"" /></a></p>
<p>Is my only option to denormalize my source tables into one wide table (joining trades to position on account number and date, and joining the users table on account number), create keys for each dimension, then re normalizing it into the star schema? Are star schema's ever built from multiple source tables?</p>
","<data-modeling><data-warehouse><denormalization><star-schema><fact-table>","2021-04-23 23:18:47","1123","0","2","67288570","<p>Data-warehousing is about query speed.  The data-warehouse should not be concerned with data integrity.  IT SHOULD NOT CLEAN OR CORRECT BAD DATA.  It only needs to gather all the data together into a single record to present to the model for analysis.  Denormalizing the data is how this is done.</p>
<p>In a star schema, dimensions do not know about each other and have no relationships with other dimensions.  In a snowflake, dimensions are related to other dimensions.  That is the primary difference between star and snowflake.</p>
<p>All the metadata options for events are rolled up into dimensions and used for slicing/filtering.  All the measurable/calculation data for an event are in the event fact, along with a reference to the dimension(s) containing the relevant metadata.  The Metadata/Dimension is reused across multiple fact records.</p>
<p>Based on the limited example you've provided, I'd suggest you research degenerate dimensions and junk dimensions.  Your Trade and Position data may need to be turned into a fact and a dimension (degenerate), and some of your flag attributes may be best placed into a junk dimension.</p>
<p>You should also make sure your dimension keys are clear.  You should not have multiple paths to a dimension (accountnumber: trade -&gt; position -&gt; user &amp; trade -&gt; user ) as that will cause inconsistent results when querying depending on which relationship you traverse.</p>
"
"67236246","How to standardize city names inserted by user","<p>I need to write a small ETL pipeline because I need to move some data from a source database to a target database (a datawarehouse) to perform some analysis on data.</p>
<p>Among those data, I need to clean and conform the name of cities. Cities are inserted manually by international users, conseguently for a single city I can have multiple names (for example London or Londra).
In my source database I do not have only big cities but I have also small villages.</p>
<p>Well, if I do not standardize city names, our analysis could be nonsensical.</p>
<p>Which is the best practices to standardize cities in my target database? Have any idea or suggestion I can undertake?</p>
<p>Thank you</p>
","<geolocation><etl><data-warehouse><standardization>","2021-04-23 20:05:09","140","0","1","67242725","<p>The only reliable way to do this is to use commercial address validation software - preferably in your source system when the data is being created but it could be integrated into your data pipeline processes.</p>
<p>Assuming you can't afford/justify the use of commercial software, the only other solution is to create your own translation table i.e. a table that holds the values that are entered and what value you want them to be translated to.</p>
<p>While you can build this table based on historic data, there will always be new values that are not in the table, so you would need a process to identify these, add the new record to your translation data and then fix the affected records. You would also need to accept that there would be un-cleansed data in your warehouse for a period of time after each data load</p>
"
"67178469","How to get segmentation data from Snowflake Table in API efficiently and cost-effectively?","<p>I have a segmentation project I am working on for my company and we have to create a pipeline to gather data from our app users and when they fit a segment then the app will receive that information and do something with it (not in my scope). So currently, the client connects and authenticates to an endpoint that allows their client to send JSON data to an Elasticsearch cluster (app started, level completed, etc). I'm then using an Azure Function to grab the live data every 5 minutes and store it in an Azure Blob Storage which then creates a queue that Snowflake reads and ingests the JSON files. We'd then use Snowflake to run a task per segment (that will be decided by the analysts or executives) and the data will be outputted to a table like the one below:</p>
<div class=""s-table-container"">
<table class=""s-table"">
<thead>
<tr>
<th>AccountID</th>
<th>Game</th>
<th>SegmentID</th>
<th>CreatedAt</th>
<th>DeletedAt</th>
</tr>
</thead>
<tbody>
<tr>
<td>123456789</td>
<td>Game 1</td>
<td>1</td>
<td>2021-04-20</td>
<td>2021-04-21</td>
</tr>
<tr>
<td>123456789</td>
<td>Game 1</td>
<td>2</td>
<td>2021-04-20</td>
<td></td>
</tr>
<tr>
<td>123456789</td>
<td>Game 1</td>
<td>3</td>
<td>2021-04-20</td>
<td></td>
</tr>
</tbody>
</table>
</div>
<p>Where <strong>SegmentID</strong> can represent something like</p>
<div class=""s-table-container"">
<table class=""s-table"">
<thead>
<tr>
<th>SegmentID</th>
<th>SegmentType</th>
<th>SegmentDescription</th>
</tr>
</thead>
<tbody>
<tr>
<td>1</td>
<td>5 Day Streak</td>
<td>User played for 5 consecutive days</td>
</tr>
<tr>
<td>2</td>
<td>10 Day Streak</td>
<td>User played for 10 consecutive days</td>
</tr>
<tr>
<td>3</td>
<td>15 Day Streak</td>
<td>User played for 15 consecutive days</td>
</tr>
</tbody>
</table>
</div>
<p>In the next step of the pipeline, the same API the user authenticated with should post a request when the game boots up to grab all the segments that the user matches. The dev team will then decide where, when in the session and how to use the information to personalize content. Something like:</p>
<pre><code>select
  SegmentID
from
  SegmentTable
where
  AccountID='{AccountID the App authenticated with}' and
  Game='{Game the App authenticated with}' and
  DeletedAt is null
</code></pre>
<p>Response:</p>
<div class=""s-table-container"">
<table class=""s-table"">
<thead>
<tr>
<th>SegmentID</th>
</tr>
</thead>
<tbody>
<tr>
<td>2</td>
</tr>
<tr>
<td>3</td>
</tr>
</tbody>
</table>
</div>
<p>Serialised:</p>
<pre><code>{&quot;SegmentID&quot;: [2,3]}
</code></pre>
<p>We expect to have about 300K-500K users per day. My question would be, what would be the most efficient and cost-effective way to get this information from Snowflake back to the client so that this amount of users wouldn't have issues when querying the same endpoint and it won't be costly.</p>
","<sql><api><rest><snowflake-cloud-data-platform><data-warehouse>","2021-04-20 11:56:45","129","0","1","68197622","<p>OK, so a bit of a workaround, but I created an external function on Snowflake (using Azure Functions) that upserts data in a local MongoDB cluster. So the API connects to the MongoDB instance which can handle the large volume of concurrent connections and since it is on a local server it is quite cheap. The only cost is the data transfer from Snowflake to MongoDB and the running of the App Service Plan on Azure Functions (could not use consumption-based as to send data to our internal server I needed to create a VNET, NAT Gateway and a Static Outbound IP Address in Azure) and the API Management Service I had to create in Azure.</p>
<p>So how it works? For each stored procedure in Snowflake, at the end I am collecting the segments which have changed (New row or DELETED_AT not null) and triggering the external function which upserts the data in MongoDB using the pymongo client.</p>
"
