QuestionId,QuestionTitle,QuestionBody,QuestionTags,Date,ViewCount,Score,NumberOfAnswers,AnswerId,AnswerBody
"76138907","Filter to copy specific sets of data using Azure Data Factory","<p>I am starting to learn about Azure Data Factory. I was wondering if I can create a pipeline to copy only specific records from the origin data source to the destination.</p>
<p>Imagine it is only on-premise SQL database to Azure SQL Database, but instead of copying all the rows in a given dataset, I would like to pass a parameter to the pipeline and use it in a sort of where clause to decide which records I want to copy to the destination.</p>
<p>Is that something I can do with ADF, parameters and triggers or do I need something else?</p>
<p>Thank you in advance for your time</p>
","<azure><azure-data-factory><replication><database-replication>","2023-04-29 23:24:38","12","0","1","76139010","<p>You can definitely use <code>Copy Data</code> tool to specify the query for the source. Generally ADF is powerful enough to let you manipulate data in many ways.</p>
<p><a href=""https://learn.microsoft.com/en-us/azure/data-factory/quickstart-hello-world-copy-data-tool"" rel=""nofollow noreferrer"">https://learn.microsoft.com/en-us/azure/data-factory/quickstart-hello-world-copy-data-tool</a></p>
"
"76133214","Automatically navigated to the specific branch of Azure Data Factory","<p>I have already setup Git repository and it contains more than  one branch.</p>
<p>I want to directly open specific branch of  ADF instance.</p>
<p>Is this possible ?  if so, Can  you please let me know the solution.</p>
<p> </p>
<p>For example  <a href=""https://adf.azure.com/en/home?factory=subscriptions/%7B%7Bsubscription_Id%7D%7D/resourceGroups/%7B%7BResourceGroup_Name%7D%7D/providers/Microsoft.DataFactory/factories/%7B%7BFactory_Name%7D%7D/Branch=%7B%7BBranch_Name%7D%7D"" rel=""nofollow noreferrer"">https://adf.azure.com/en/home?factory=subscriptions/{{subscription_Id}}/resourceGroups/{{ResourceGroup_Name}}/providers/Microsoft.DataFactory/factories/{{Factory_Name}}/Branch={{Branch_Name}}</a></p>
<p>I tried the below url path it is landing home page  instead of specific branch.
<a href=""https://adf.azure.com/en/home?factory=subscriptions/%7B%7Bsubscription_Id%7D%7D/resourceGroups/%7B%7BResourceGroup_Name%7D%7D/providers/Microsoft.DataFactory/factories/%7B%7BFactory_Name%7D%7D"" rel=""nofollow noreferrer"">https://adf.azure.com/en/home?factory=subscriptions/{{subscription_Id}}/resourceGroups/{{ResourceGroup_Name}}/providers/Microsoft.DataFactory/factories/{{Factory_Name}}</a></p>
","<azure><azure-data-factory>","2023-04-28 20:53:01","18","0","1","76133652","<p>You don't think you can reach to a specific branch directly.</p>
"
"76129215","What compression type should we choose to unzip .gz files using Copy activity on ADF?","<p>I'm trying to use ADF Copy Activity to unzip .gz files I have on my ADLS Gen2, which compression type should we choose from the drop-down list below? All of them failed to work for me.</p>
<p><a href=""https://i.stack.imgur.com/V6gbJ.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/V6gbJ.png"" alt=""enter image description here"" /></a></p>
","<azure-data-factory>","2023-04-28 11:40:54","41","0","1","76135578","<p>I agree with @<strong>Joel Cochran</strong>'s comment.</p>
<p>To Unzip the file of <code>.gz</code> type, give <code>gzip</code> for the <strong>Compression type</strong> in the source dataset of the copy activity.</p>
<p><img src=""https://i.imgur.com/VibabH0.png"" alt=""enter image description here"" /></p>
<p>And in sink dataset, give the target location and Compression type as <strong>None</strong>.</p>
<p><img src=""https://i.imgur.com/bZPrkC0.png"" alt=""enter image description here"" /></p>
<p><strong>My Unzipped files in target location after copy activity execution:</strong></p>
<p><img src=""https://i.imgur.com/BSoXCmH.png"" alt=""enter image description here"" /></p>
"
"76125536","How to change the type, to an array, of an item I'm passing to identify key column(s) in Data Factory?","<p>I have a lookup where I'm gathering tables from a couple of schemas. In that same lookup, I've got a column that identifies key columns needed for the Upsert operation on the Sink. I'm then doing a &quot;For Each&quot; and a copy activity inside.</p>
<p>Here's how I've set up things in there for my sink:
<a href=""https://i.stack.imgur.com/sfnbe.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/sfnbe.png"" alt=""enter image description here"" /></a></p>
<p>I tried running this, however, key columns needs to be in type Array. How would I accomplish changing the type here?</p>
<p>Sample output from lookup:</p>
<pre><code>+--------------+------------+-------------+
| table_schema | table_name | key_columns |
+--------------+------------+-------------+
| schema1      | table1     | key1        |
+--------------+------------+-------------+
| schema2      | table2     | key2, key3  |
+--------------+------------+-------------+
</code></pre>
","<azure-data-factory>","2023-04-28 00:48:05","33","0","1","76127232","<p>When you are upserting data in SQL and passing key columns, it should be array format and from you sample data it is in the comma separate column names to pass them as an array you need to use dynamic expression as <code>@split(item().key_columns,',' )</code> .</p>
<p>It will take string value of <code>key_columns</code> value and split it where it found a <strong>comma</strong> and create array of that values.</p>
<p><strong>See below images for reference:</strong></p>
<p><strong>My lookup Output:</strong></p>
<p><img src=""https://i.imgur.com/C3hhCG5.png"" alt=""enter image description here"" /></p>
<p><strong>Copy activity sink settings and output:</strong></p>
<p><img src=""https://i.imgur.com/vllOTPy.png"" alt=""enter image description here"" /></p>
<p><img src=""https://i.imgur.com/KPtQYoP.png"" alt=""enter image description here"" /></p>
"
"76124948","Whats the Easiest Way to Extract All Columns From a Complex Type Using ADF Mapping Data Flow","<p>I have a json file I am transforming with an ADF Data Flow.   The file has has some complex type properties which have a 1 to 1 relationship with the main row, it is not an array.  I know I can extract columns from the complex type using a derived column such as MyDerivedColumn1 = ComplexType.Column1, MyDerivedColumn2 = ComplexType.Column2, etc..; however there are a lot of columns in the complex type and the creation of a derived column for each is a bit tedious.  I was hoping someone could enlighten me to some magical button or function which could do all that work for me similar to when transforming a complex type in Power BI.  In PBI all I have to do is click a button at the column header of the complex type and it adds a Table.ExpandRecordColumn function to the M code and all the complex type columns are promoted to the top level record.</p>
<p>A simplified version of the json would look like this...</p>
<pre><code>{
    &quot;Col1&quot;: &quot;Col1Value&quot;,
    &quot;Col2&quot;: &quot;Col2Value&quot;,
    &quot;Col3&quot;: &quot;Col3Value&quot;,
    &quot;ComplexType&quot;: {
        &quot;ComplexCol1&quot;: &quot;ComplexType1Value&quot;,
        &quot;ComplexCol2&quot;: &quot;ComplexType2Value&quot;,
        &quot;ComplexCol3&quot;: &quot;ComplexType3Value&quot;
    }
}
</code></pre>
","<azure-data-factory>","2023-04-27 22:00:18","39","0","1","76129310","<p>You can use <strong>select</strong> transformation to extract these dynamically.</p>
<p>This is sample data from the above JSON:</p>
<p><img src=""https://i.imgur.com/ynszxjN.png"" alt=""enter image description here"" /></p>
<p>In select transformation, Go to <strong>Add mapping -&gt; Rule-based mapping</strong> and give it like below. Delete the original mapping for the <code>ComplexType</code> object so that you won't get that JSON in your output.</p>
<p><img src=""https://i.imgur.com/jaEP1xL.png"" alt=""enter image description here"" /></p>
<p><strong>Result:</strong></p>
<p><img src=""https://i.imgur.com/oG9ONQy.png"" alt=""enter image description here"" /></p>
"
"76123903","Azure data factory Error : InvalidTemplate, ErrorMessage=The template function 'linkedService' is not defined or not valid","<p>I need to use different Keyvaults for different environments (Dev/Test/UAT/Prod).</p>
<p>So, the name of the keyvault to be used is stored the Global Parameters, and is propagated from pipelines to other resources by means of parametrizing those resources.
It works for cases like
<strong>Pipeline-&gt;Linked Service</strong>, <strong>Pipeline-&gt;Dataset-&gt;Linked service</strong>,</p>
<p>But, I can't get it to work, when I have to access the Key vault from Linked service.  That is, for example, when a REST type of linked service needs to read the API Key form KeyVault secret.</p>
<p>I have defined the Linked service to the keyvault
<a href=""https://i.stack.imgur.com/eLyVD.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/eLyVD.png"" alt=""Linked service to azure Keyvaukt"" /></a></p>
<p>This way, the user will be able to obtain a secret from the Keyvault by making a web request
to <strong><a href=""https://kevaultName.vault.azure.net/"" rel=""nofollow noreferrer"">https://kevaultName.vault.azure.net/</a></strong>..</p>
<p>They 'kevaultName' name will be in the Global parameters and pipeline needing it would pass it as an argument for parameter.</p>
<p>But, what if I need a Linked Service to a database that needs to read the database password from the Key vault ?  I define a Linked service in the following manner and it also works as expected.  The Keyvault name will be provided as a parameter to this SQL DB linked service, propagated from the Pipeline. Where it is taken from Global parameter sections.</p>
<p><a href=""https://i.stack.imgur.com/06SZe.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/06SZe.png"" alt=""Linked Service to Azure SQL Database"" /></a></p>
<p>But, here is where I am stuck.
I need a linked service to a REST api, where API Key would be taken from the Key vault secret.
So, when defining Linked Service, I provide that 'Authorization' header to be read from Key Vault accessed by linked service defined in the first picture above (The one that works correct in case of Pipeline linking to it by web activity).<br />
Here is the definition of the Linked Service:
<a href=""https://i.stack.imgur.com/7Jj54.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/7Jj54.png"" alt=""REST Linked service"" /></a></p>
<p>In order for it to work, I need to HARDCODE the key vault name in the &quot;KeyVaultLink&quot; linked service - like this
<a href=""https://i.stack.imgur.com/JkXHl.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/JkXHl.png"" alt=""enter image description here"" /></a>
But, I have no control over the name of a Keyvault in other environments.  So, I wanted to do pass a Linked Service Parameter to itlike this:</p>
<pre><code>@linkedService().AZKeyVaultName
</code></pre>
<p><a href=""https://i.stack.imgur.com/BatnX.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/BatnX.png"" alt=""enter image description here"" /></a></p>
<p>However, doing so - I get the the error message</p>
<pre><code>The parameters and expression cannot be resolved for schema operations. Error Message: {
&quot;message&quot;: &quot;ErrorCode=InvalidTemplate, ErrorMessage=The template function 'linkedService' is not defined or not valid.&quot;
}
</code></pre>
","<azure><azure-data-factory><azure-keyvault><linked-service>","2023-04-27 19:13:34","24","0","1","76136286","<blockquote>
<p>Azure data factory Error : InvalidTemplate, ErrorMessage=The template function 'linkedService' is not defined or not valid.</p>
</blockquote>
<p>The issue in might be causing because of incorrect referencing and add the vale within the curl braces <code>{ }</code>  so it will take it as string interpretation.</p>
<p>Rest API lined service:</p>
<p><img src=""https://i.imgur.com/hyHOaSu.png"" alt=""enter image description here"" /></p>
<p>key vault linked service:</p>
<p><img src=""https://i.imgur.com/JenLK2K.png"" alt=""enter image description here"" /></p>
<p>If you are still facing the same issue please raise a <a href=""https://learn.microsoft.com/en-us/azure/azure-portal/supportability/how-to-create-azure-support-request"" rel=""nofollow noreferrer"">support ticket</a> for the deeper investigation.</p>
"
"76122397","How to add a new column with non default delimiter using Azure Data Flows","<p>I have a text file with this format</p>
<p>A~B</p>
<p>E~F~G~H</p>
<p>K~L~P</p>
<p>How can I add a new string to every row like this</p>
<p>A~B~XXX</p>
<p>E~F~G~H~XXX</p>
<p>K~L~P~XXX</p>
<p>I am doing this so I will have XXX as the new column when I read the file later</p>
<p>I tried to add a new column using Derived Column, and the file looks like this</p>
<p>A~B,XXX</p>
<p>E~F~G~H,XXX</p>
<p>K~L~P,XXX</p>
<p>but later I can't read the file with two different delimiter (~ and , )</p>
","<azure><azure-functions><azure-data-factory>","2023-04-27 15:53:45","57","0","1","76129821","<blockquote>
<p>I want the above result in a csv file 1 column only.</p>
</blockquote>
<p>Use the derived column for the same input column.</p>
<p>This is source data from text file.</p>
<p><img src=""https://i.imgur.com/UAbO0Dg.png"" alt=""enter image description here"" /></p>
<p>Here, if we didn't provided any header, by default it will give the header as <code>Column_1</code>.
Use the same column in the derived column like below rather than creating new column.
To add the string use <code>concat(Column_1, '~XXX')</code> in it.</p>
<p><img src=""https://i.imgur.com/OWKeABp.png"" alt=""enter image description here"" /></p>
<p>Result in csv file after dataflow execution using pipeline.</p>
<p><img src=""https://i.imgur.com/cSynC0u.png"" alt=""enter image description here"" /></p>
"
"76119766","How to Replicate the mentioned Logic in Azure Data flow using Window function","<p><strong>I have input table like</strong><a href=""https://i.stack.imgur.com/UjNtF.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/UjNtF.png"" alt=""enter image description here"" /></a></p>
<p><strong>My requirement is to fetch the behind One row value from current row if the current row value is null .Iam doing this by mentioning</strong> <a href=""https://i.stack.imgur.com/1xv5E.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/1xv5E.png"" alt=""enter image description here"" /></a></p>
<p>In Sort ,am giving a surrogate key from 1 . This is giving me like the following :<a href=""https://i.stack.imgur.com/vMSVH.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/vMSVH.png"" alt=""enter image description here"" /></a></p>
<p><strong>BUT I need The Above output</strong>
:<a href=""https://i.stack.imgur.com/FEI7D.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/FEI7D.png"" alt=""enter image description here"" /></a></p>
<p><strong>So the window function should look my behind row in real time not from the existing Column like</strong> <a href=""https://i.stack.imgur.com/lIshY.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/lIshY.png"" alt=""enter image description here"" /></a></p>
<p><a href=""https://i.stack.imgur.com/1vfGE.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/1vfGE.png"" alt=""enter image description here"" /></a></p>
<p><a href=""https://i.stack.imgur.com/ALOll.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/ALOll.png"" alt=""enter image description here"" /></a></p>
<p><strong><strong>I can achieve this by using</strong>  <strong>windows column: year = coalesce(year, last(year, true()))</strong> But ,this is not feasible if I want to look behind &gt;=2 Rows OR look Following &gt;=2 rows .Can anyone suggest how to achieve this .</strong></p>
","<azure><azure-data-factory><azure-databricks><azure-data-lake-gen2>","2023-04-27 11:20:03","29","0","1","76128506","<p>You can use a combination of conditional split transformation, window functions and join to get the desired result. Lets stay I have the starting data as shown below:</p>
<pre><code>year,month,product,sales,dummy,sk
2012,1,p1,100,1,1
2012,2,p2,200,1,2
,3,p3,300,1,3
,4,p4,400,1,4
,5,p5,500,1,5
,6,p6,600,1,6
,7,p7,700,1,7
,8,p8,800,1,8
,9,p9,900,1,9
,10,p10,1000,1,10
,11,p11,1100,1,11
,12,p12,1200,1,12
2013,1,q1,100,1,13
2013,2,q2,200,1,14
,3,q3,300,1,15
,4,q4,400,1,16
,5,q5,500,1,17
,6,q6,600,1,18
,7,q7,700,1,19
,8,q8,800,1,20
,9,q9,900,1,21
,10,q10,1000,1,22
,11,q11,1100,1,23
,12,q12,1200,1,24
</code></pre>
<p><img src=""https://i.imgur.com/QNVVuSD.png"" alt=""enter image description here"" /></p>
<ul>
<li>Now, I have applied transformations as shown in the below dataflow JSON to get the desired results:</li>
</ul>
<pre><code>{
    &quot;name&quot;: &quot;dataflow2&quot;,
    &quot;properties&quot;: {
        &quot;type&quot;: &quot;MappingDataFlow&quot;,
        &quot;typeProperties&quot;: {
            &quot;sources&quot;: [
                {
                    &quot;dataset&quot;: {
                        &quot;referenceName&quot;: &quot;csv1&quot;,
                        &quot;type&quot;: &quot;DatasetReference&quot;
                    },
                    &quot;name&quot;: &quot;source1&quot;
                },
                {
                    &quot;dataset&quot;: {
                        &quot;referenceName&quot;: &quot;csv1&quot;,
                        &quot;type&quot;: &quot;DatasetReference&quot;
                    },
                    &quot;name&quot;: &quot;source2&quot;
                }
            ],
            &quot;sinks&quot;: [
                {
                    &quot;name&quot;: &quot;sink1&quot;
                }
            ],
            &quot;transformations&quot;: [
                {
                    &quot;name&quot;: &quot;split1&quot;
                },
                {
                    &quot;name&quot;: &quot;window1&quot;
                },
                {
                    &quot;name&quot;: &quot;join1&quot;
                },
                {
                    &quot;name&quot;: &quot;select1&quot;
                }
            ],
            &quot;scriptLines&quot;: [
                &quot;source(output(&quot;,
                &quot;          year as short,&quot;,
                &quot;          month as short,&quot;,
                &quot;          product as string,&quot;,
                &quot;          sales as short,&quot;,
                &quot;          dummy as boolean,&quot;,
                &quot;          sk as short&quot;,
                &quot;     ),&quot;,
                &quot;     allowSchemaDrift: true,&quot;,
                &quot;     validateSchema: false,&quot;,
                &quot;     ignoreNoFilesFound: false) ~&gt; source1&quot;,
                &quot;source(output(&quot;,
                &quot;          year as short,&quot;,
                &quot;          month as short,&quot;,
                &quot;          product as string,&quot;,
                &quot;          sales as short,&quot;,
                &quot;          dummy as boolean,&quot;,
                &quot;          sk as short&quot;,
                &quot;     ),&quot;,
                &quot;     allowSchemaDrift: true,&quot;,
                &quot;     validateSchema: false,&quot;,
                &quot;     ignoreNoFilesFound: false) ~&gt; source2&quot;,
                &quot;source1 split(not(isNull(year)),&quot;,
                &quot;     disjoint: false) ~&gt; split1@(notNulls, nulls)&quot;,
                &quot;split1@notNulls window(over(dummy),&quot;,
                &quot;     asc(sk, true),&quot;,
                &quot;     new_rn = lead(sk,1,9999)) ~&gt; window1&quot;,
                &quot;source2, window1 join(source2@sk &gt;= split1@notNulls@sk&quot;,
                &quot;     &amp;&amp; source2@sk &lt;= minus(new_rn,1),&quot;,
                &quot;     joinType:'inner',&quot;,
                &quot;     matchType:'exact',&quot;,
                &quot;     ignoreSpaces: false,&quot;,
                &quot;     broadcast: 'left')~&gt; join1&quot;,
                &quot;join1 select(mapColumn(&quot;,
                &quot;          month = source2@month,&quot;,
                &quot;          product = source2@product,&quot;,
                &quot;          sales = source2@sales,&quot;,
                &quot;          year = split1@notNulls@year&quot;,
                &quot;     ),&quot;,
                &quot;     skipDuplicateMapInputs: true,&quot;,
                &quot;     skipDuplicateMapOutputs: true) ~&gt; select1&quot;,
                &quot;select1 sink(validateSchema: false,&quot;,
                &quot;     partitionFileNames:['output.csv'],&quot;,
                &quot;     skipDuplicateMapInputs: true,&quot;,
                &quot;     skipDuplicateMapOutputs: true,&quot;,
                &quot;     store: 'cache',&quot;,
                &quot;     format: 'inline',&quot;,
                &quot;     output: true,&quot;,
                &quot;     saveOrder: 1,&quot;,
                &quot;     partitionBy('hash', 1)) ~&gt; sink1&quot;
            ]
        }
    }
}
</code></pre>
<ul>
<li>Here, both source1 and source2 use the same dataset i.e., the file data given above. The final output after applying these transformations is as shown below:</li>
</ul>
<pre><code>&quot;month&quot;,&quot;product&quot;,&quot;sales&quot;,&quot;year&quot;
&quot;1&quot;,&quot;p1&quot;,&quot;100&quot;,&quot;2012&quot;
&quot;2&quot;,&quot;p2&quot;,&quot;200&quot;,&quot;2012&quot;
&quot;3&quot;,&quot;p3&quot;,&quot;300&quot;,&quot;2012&quot;
&quot;4&quot;,&quot;p4&quot;,&quot;400&quot;,&quot;2012&quot;
&quot;5&quot;,&quot;p5&quot;,&quot;500&quot;,&quot;2012&quot;
&quot;6&quot;,&quot;p6&quot;,&quot;600&quot;,&quot;2012&quot;
&quot;7&quot;,&quot;p7&quot;,&quot;700&quot;,&quot;2012&quot;
&quot;8&quot;,&quot;p8&quot;,&quot;800&quot;,&quot;2012&quot;
&quot;9&quot;,&quot;p9&quot;,&quot;900&quot;,&quot;2012&quot;
&quot;10&quot;,&quot;p10&quot;,&quot;1000&quot;,&quot;2012&quot;
&quot;11&quot;,&quot;p11&quot;,&quot;1100&quot;,&quot;2012&quot;
&quot;12&quot;,&quot;p12&quot;,&quot;1200&quot;,&quot;2012&quot;
&quot;1&quot;,&quot;q1&quot;,&quot;100&quot;,&quot;2013&quot;
&quot;2&quot;,&quot;q2&quot;,&quot;200&quot;,&quot;2013&quot;
&quot;3&quot;,&quot;q3&quot;,&quot;300&quot;,&quot;2013&quot;
&quot;4&quot;,&quot;q4&quot;,&quot;400&quot;,&quot;2013&quot;
&quot;5&quot;,&quot;q5&quot;,&quot;500&quot;,&quot;2013&quot;
&quot;6&quot;,&quot;q6&quot;,&quot;600&quot;,&quot;2013&quot;
&quot;7&quot;,&quot;q7&quot;,&quot;700&quot;,&quot;2013&quot;
&quot;8&quot;,&quot;q8&quot;,&quot;800&quot;,&quot;2013&quot;
&quot;9&quot;,&quot;q9&quot;,&quot;900&quot;,&quot;2013&quot;
&quot;10&quot;,&quot;q10&quot;,&quot;1000&quot;,&quot;2013&quot;
&quot;11&quot;,&quot;q11&quot;,&quot;1100&quot;,&quot;2013&quot;
&quot;12&quot;,&quot;q12&quot;,&quot;1200&quot;,&quot;2013&quot;
</code></pre>
<p><img src=""https://i.imgur.com/a7CGv1i.png"" alt=""enter image description here"" /></p>
"
"76119175","ADF Pipeline to delete certain folders/subfolders based on regex","<p>I have several folders in azure storage explorer under this form.</p>
<pre><code>batch-input/bab/20203042_000000/**files
batch-input/bab/20202314_000000/**files
batch-input/bab/20211212_000000/**files
batch_input/aba/20203212_000000/**files
...
</code></pre>
<p>I am trying to create a pipeline in azure data factory to delete certain folders and everything inside them based on several user parameters. Currently I have a Delete activity linked to the corresponding dataset, with the container name: batch-input.</p>
<p>So far so good, but the part I'm having trouble with is the FolderAndSubFolderName value. I tried this:</p>
<pre><code>@concat(pipeline().parameters.ParamDomain, '/', pipeline().parameters.ParamDate, '*')
</code></pre>
<p>The <code>ParamDomain</code> in this case would be <code>bab</code> for example and <code>ParamDate</code> would be <code>2020</code>.</p>
<p>In theory this would be able to delete the 2 folders and all the files within from the exaple I posted above. In practive what happens is that when I check the execution I see this as my parameter value instead:</p>
<p><code>&quot;folderPath&quot;: &quot;batch-input/bab/2020^*&quot;</code></p>
<p>I'm not sure where the '^' comes from and tried multiple ways to remove it but without success.</p>
","<azure-data-factory>","2023-04-27 10:04:50","23","0","1","76119835","<p>Instead of putting the <code>*</code> in the absolute file path, better to go with one additional parameter declared in the dataset for the wild card i.e. <code>*</code>, and use it separately in <strong>file_name</strong> section instead of concatenating it.</p>
<p><a href=""https://i.stack.imgur.com/TlQSR.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/TlQSR.png"" alt=""enter image description here"" /></a></p>
"
"76118470","Create dynamic folders and sub folders inside blob via Azure dynamic expression","<p>I wanted to create folders and subfolders inside my container per this way inside the copyActivity. Everytime i run this i wanted the pipeline to create new folders per the date in the landing container.</p>
<p><code>size/oracle/finance/ddmmyyyy/ddmmyyyyhhmmss/file.csv</code></p>
<p>Here are the dataset variables that i declared.</p>
<p>landing conatiner = size</p>
<p>directory = /oracle/finance/</p>
<p>filename = <code>@concat('/oracle/finance/', formatDateTime(utcnow(), 'ddmmyyyy'), '/', formatDateTime(utcnow(), 'yyyyMMdd-HHmmss'), '/hey_', formatDateTime(utcnow(), 'ddmmyyyyhhmmss'), '.csv')</code></p>
<p>The adf dynamic expression is not producing the right results. I wanted the expression to create datestamp folder and a subfolder inside it with date time stamp and a csv file inside it.</p>
<p>what i tried</p>
<p><code>@concat('/oracle/finance/', formatDateTime(utcnow(), 'yyyyMMdd'), '/', formatDateTime(utcnow(), 'yyyyMMdd-HHmmss'), '/hey_', formatDateTime(utcnow(), 'yyyyMMdd-HHmmss'), '.csv')</code></p>
<p>what i was expecting</p>
<p>size/oracle/finance/ddmmyyyy/ddmmyyyyhhmmss/finance.csv
size/oracle/account/ddmmyyyy/ddmmyyyyhhmmss/account.csv</p>
<p>Every time the activity runs, it should create separate folders and sub folders based on time inside.</p>
","<azure><kotlin><azure-data-factory>","2023-04-27 08:47:04","29","0","1","76119855","<p>If you want <strong>to create datestamp folder and a subfolder inside it with date time stamp and a csv file inside it.</strong> you need to pass the values like</p>
<pre><code>landing container = size
directory = oracle/finance/
filename = @concat(formatDateTime(utcnow(), 'ddMMyyyy'), '/', formatDateTime(utcnow(), 'yyyyMMddHHmmss'), '/hey_', formatDateTime(utcnow(), 'ddMMyyyyhhmmss'), '.csv')
</code></pre>
<p><strong>There is no need to again include directory in file name</strong> see below reference:</p>
<p><img src=""https://i.imgur.com/6jP1hUT.png"" alt=""enter image description here"" /></p>
<p><strong>Output:</strong></p>
<p><img src=""https://i.imgur.com/0cMzsCA.png"" alt=""enter image description here"" /></p>
"
