QuestionId,QuestionTitle,QuestionBody,QuestionTags,Date,ViewCount,Score,NumberOfAnswers,AnswerId,AnswerBody
"49145184","Not Able to Publish ADF Incremental Package","<p>As Earlier Posted a thread for syncing Data from Premises Mysql  to Azure SQL over <a href=""https://stackoverflow.com/questions/49132994/does-incremental-sync-with-azure-data-factory-v2-support-only-sql-server-to-azur/49142686#49142686"">here</a> referring this <a href=""https://learn.microsoft.com/en-us/azure/data-factory/tutorial-incremental-copy-multiple-tables-portal#overview"" rel=""nofollow noreferrer"">article</a>, and found that lookup component for watermark detection is only available for SQL Server Only.</p>

<p>So tried a work Around, that while using ""Copy"" Data Flow task ,will pick data greater than last watermark stored from Mysql.</p>

<p><strong>Issue</strong>:
Able to validate package successfully but not able to publish same.</p>

<p><strong>Question</strong> :
In Copy Data Flow Task i'm using below query to get data from MySql greater than watermark available.</p>

<p>Can't we use Query like  below on other relational sources  like Mysql</p>

<pre><code>select * from @{item().TABLE_NAME} where @{item().WaterMark_Column} &gt; '@{activity('LookupOldWaterMark').output.firstRow.WatermarkValue}'
</code></pre>

<p>CopyTask SQL Query Preview
<a href=""https://i.stack.imgur.com/UA9qj.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/UA9qj.png"" alt=""enter image description here""></a></p>

<p>Validate Successfully
<a href=""https://i.stack.imgur.com/b8ytC.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/b8ytC.png"" alt=""enter image description here""></a></p>

<p>Error With no  Details
<a href=""https://i.stack.imgur.com/ROk9G.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/ROk9G.png"" alt=""enter image description here""></a></p>

<p>Debug Successfully
<a href=""https://i.stack.imgur.com/x5uMC.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/x5uMC.png"" alt=""enter image description here""></a></p>

<p>Error After following steps mentioned by Franky
Azure SQL Linked Service Error (Resolved by re configuring connection /edit credentials in connection tab)
<a href=""https://i.stack.imgur.com/faMFM.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/faMFM.png"" alt=""enter image description here""></a></p>

<p>Source Query got blank (resolved by re-selection source type and rewriting query)
<a href=""https://i.stack.imgur.com/rIgJJ.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/rIgJJ.png"" alt=""enter image description here""></a></p>
","<azure-data-factory>","2018-03-07 06:05:20","732","0","2","49163901","<p>Did any of the objects publish into your Data Factory?</p>
"
"49145184","Not Able to Publish ADF Incremental Package","<p>As Earlier Posted a thread for syncing Data from Premises Mysql  to Azure SQL over <a href=""https://stackoverflow.com/questions/49132994/does-incremental-sync-with-azure-data-factory-v2-support-only-sql-server-to-azur/49142686#49142686"">here</a> referring this <a href=""https://learn.microsoft.com/en-us/azure/data-factory/tutorial-incremental-copy-multiple-tables-portal#overview"" rel=""nofollow noreferrer"">article</a>, and found that lookup component for watermark detection is only available for SQL Server Only.</p>

<p>So tried a work Around, that while using ""Copy"" Data Flow task ,will pick data greater than last watermark stored from Mysql.</p>

<p><strong>Issue</strong>:
Able to validate package successfully but not able to publish same.</p>

<p><strong>Question</strong> :
In Copy Data Flow Task i'm using below query to get data from MySql greater than watermark available.</p>

<p>Can't we use Query like  below on other relational sources  like Mysql</p>

<pre><code>select * from @{item().TABLE_NAME} where @{item().WaterMark_Column} &gt; '@{activity('LookupOldWaterMark').output.firstRow.WatermarkValue}'
</code></pre>

<p>CopyTask SQL Query Preview
<a href=""https://i.stack.imgur.com/UA9qj.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/UA9qj.png"" alt=""enter image description here""></a></p>

<p>Validate Successfully
<a href=""https://i.stack.imgur.com/b8ytC.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/b8ytC.png"" alt=""enter image description here""></a></p>

<p>Error With no  Details
<a href=""https://i.stack.imgur.com/ROk9G.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/ROk9G.png"" alt=""enter image description here""></a></p>

<p>Debug Successfully
<a href=""https://i.stack.imgur.com/x5uMC.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/x5uMC.png"" alt=""enter image description here""></a></p>

<p>Error After following steps mentioned by Franky
Azure SQL Linked Service Error (Resolved by re configuring connection /edit credentials in connection tab)
<a href=""https://i.stack.imgur.com/faMFM.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/faMFM.png"" alt=""enter image description here""></a></p>

<p>Source Query got blank (resolved by re-selection source type and rewriting query)
<a href=""https://i.stack.imgur.com/rIgJJ.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/rIgJJ.png"" alt=""enter image description here""></a></p>
","<azure-data-factory>","2018-03-07 06:05:20","732","0","2","49179811","<p>Could you verify if you have access to create a template deployment in the azure portal?</p>

<p>1) Export the ARM Template: int he top-right of the ADFv2 portal, click on ARM Template -> Export ARM Template, extract the zip file and copy the content of the ""arm_template.json"" file.</p>

<p>2) Create ARM Template deployment: Go to <a href=""https://portal.azure.com/#create/Microsoft.Template"" rel=""nofollow noreferrer"">https://portal.azure.com/#create/Microsoft.Template</a> and log in with the same credentials you use in the ADFv2 portal (you can also get to this page going in the Azure portal, click on ""Create a resource""  and search for ""Template deployment""). Now click on ""Build your own template in editor"" and paste the ARM template from the previous step in the editor and Save. </p>

<p>3) Deploy template: Click on existing resource group and select the same resource group as the one where your Data Factory is. Fill out the parameters that are missing (for this testing it doesn't really matter if the values are valid); Factory name should already be there. Agree the terms and click purchase.</p>

<p>4) Verify the deployment succeeded. If not let me know the error, it might be an access issue which would explain why your publish fails. (ADF team is working on giving a better error for this issue).</p>
"
"49138273","pass multiple dynamic parameters to U-SQL script via data factory","<p>currently I can pass one parameter to u-sql script in data factory workflow.
and with that parameter i can apply some pattern to generate files paths.
is there any way to pass collection of datetimes parameters to u-sql and 
apply pattern to generate file paths?</p>
","<azure-data-factory><azure-data-lake><u-sql>","2018-03-06 19:09:07","372","1","2","49150246","<p>Pass a Json parameter. Then handle it with u-sql.</p>
"
"49138273","pass multiple dynamic parameters to U-SQL script via data factory","<p>currently I can pass one parameter to u-sql script in data factory workflow.
and with that parameter i can apply some pattern to generate files paths.
is there any way to pass collection of datetimes parameters to u-sql and 
apply pattern to generate file paths?</p>
","<azure-data-factory><azure-data-lake><u-sql>","2018-03-06 19:09:07","372","1","2","49158831","<p>You can pass multiple parameters. U-SQL also allows parameters of type <code>SqlArray&lt;&gt;</code>. I am not sure though if ADF supports passing in such typed values. I think the PowerShell APIs do allow it.</p>

<p>I assume that passing the values as a file will not work, since you will not get compile time partition elimination with it.</p>
"
"49132994","Does Incremental Sync with Azure Data Factory V2 support only Sql Server to Azure SQL","<p>I was trying incremental sync to  design incremental sync data between MySQL and Azure Sql referring <a href=""https://learn.microsoft.com/en-in/azure/data-factory/tutorial-incremental-copy-multiple-tables-portal#overview"" rel=""nofollow noreferrer"">article</a> and while designing pipeline for <a href=""https://learn.microsoft.com/en-in/azure/data-factory/tutorial-incremental-copy-multiple-tables-portal#create-a-pipeline"" rel=""nofollow noreferrer"">new watermark</a> found that lookup component only support SQL SERVER.</p>

<p><strong>Question</strong> </p>

<p>Is there a way to sync incrementally on cloud from hosted Mysql to Azure SQl  using ADF v1/v2?</p>

<p>What other component we can use to select data from Mysql i tried Store Procedure but it support Sql server only.</p>
","<azure-data-factory>","2018-03-06 14:18:55","367","0","2","49139235","<p>Currently, the ADF Control Flow activity ""Lookup"" does not support MySQL, so the watermark table must exist in an entity that Lookup can communicate with, ao you can create the watermark table and associated sprocs in Azure SQL DB, while pulling the source data from MySQL tables.</p>
"
"49132994","Does Incremental Sync with Azure Data Factory V2 support only Sql Server to Azure SQL","<p>I was trying incremental sync to  design incremental sync data between MySQL and Azure Sql referring <a href=""https://learn.microsoft.com/en-in/azure/data-factory/tutorial-incremental-copy-multiple-tables-portal#overview"" rel=""nofollow noreferrer"">article</a> and while designing pipeline for <a href=""https://learn.microsoft.com/en-in/azure/data-factory/tutorial-incremental-copy-multiple-tables-portal#create-a-pipeline"" rel=""nofollow noreferrer"">new watermark</a> found that lookup component only support SQL SERVER.</p>

<p><strong>Question</strong> </p>

<p>Is there a way to sync incrementally on cloud from hosted Mysql to Azure SQl  using ADF v1/v2?</p>

<p>What other component we can use to select data from Mysql i tried Store Procedure but it support Sql server only.</p>
","<azure-data-factory>","2018-03-06 14:18:55","367","0","2","49142686","<p>We (ADF team) are actively working on expanding Lookup activity to support more data stores including MySQL.  We will announce when it's ready.  Please stay tuned!</p>
"
"49113153","process multiple files on azure data lake","<p>let's assume there are two file sets A and B on azure data lake store.</p>

<pre><code>/A/Year/
/A/Month/Day/Month/
/A/Year/Month/Day/A_Year_Month_Day_Hour

/B/Year/
/B/Month/Day/Month/
/B/Year/Month/Day/B_Year_Month_Day_Hour
</code></pre>

<p>I want to get some values (let's say DateCreated of A entity) and use these values generate file paths for B set.</p>

<p>how can I achieve that?</p>

<p>some thoughts,but i'm not sure about this.
1.select values from A 
2.store on some storage ( azure data lake or azure sql database).
3. build one comma separated string pStr
4. pass pStr via Data Factory to stored procedure which generates file paths with pattern.</p>

<p><strong>EDIT</strong></p>

<p>according to @mabasile_MSFT answer</p>

<p>Here is what i have right now.
First USQL script that generates json file, which looks following way.</p>

<pre><code>{
FileSet:[""/Data/SomeEntity/2018/3/5/SomeEntity_2018_3_5__12"",
""/Data/SomeEntity/2018/3/5/SomeEntity_2018_3_5__13"",
""/Data/SomeEntity/2018/3/5/SomeEntity_2018_3_5__14"",
""/Data/SomeEntity/2018/3/5/SomeEntity_2018_3_5__15""]
}
</code></pre>

<p>ADF pipeline which contains Lookup and second USQL script.
Lookup reads this json file FileSet property and as i understood i need to somehow pass this json array to second script right?
But usql compiler generates string variable like </p>

<p>DECLARE @fileSet string =  ""[""/Data/SomeEntity/2018/3/5/SomeEntity_2018_3_5__12"",
        ""/Data/SomeEntity/2018/3/5/SomeEntity_2018_3_5__13"",
        ""/Data/SomeEntity/2018/3/5/SomeEntity_2018_3_5__14"",
        ""/Data/SomeEntity/2018/3/5/SomeEntity_2018_3_5__15""]""</p>

<p>and the script even didn't get compile after it.</p>
","<azure-data-factory><azure-data-lake><u-sql>","2018-03-05 14:52:51","1250","0","2","49149990","<p>Try this root link, that can help you start with all about u-sql: 
<a href=""http://usql.io"" rel=""nofollow noreferrer"">http://usql.io</a></p>

<p>Usefull link for your question:
<a href=""https://saveenr.gitbooks.io/usql-tutorial/content/filesets/filesets-with-dates.html"" rel=""nofollow noreferrer"">https://saveenr.gitbooks.io/usql-tutorial/content/filesets/filesets-with-dates.html</a></p>
"
"49113153","process multiple files on azure data lake","<p>let's assume there are two file sets A and B on azure data lake store.</p>

<pre><code>/A/Year/
/A/Month/Day/Month/
/A/Year/Month/Day/A_Year_Month_Day_Hour

/B/Year/
/B/Month/Day/Month/
/B/Year/Month/Day/B_Year_Month_Day_Hour
</code></pre>

<p>I want to get some values (let's say DateCreated of A entity) and use these values generate file paths for B set.</p>

<p>how can I achieve that?</p>

<p>some thoughts,but i'm not sure about this.
1.select values from A 
2.store on some storage ( azure data lake or azure sql database).
3. build one comma separated string pStr
4. pass pStr via Data Factory to stored procedure which generates file paths with pattern.</p>

<p><strong>EDIT</strong></p>

<p>according to @mabasile_MSFT answer</p>

<p>Here is what i have right now.
First USQL script that generates json file, which looks following way.</p>

<pre><code>{
FileSet:[""/Data/SomeEntity/2018/3/5/SomeEntity_2018_3_5__12"",
""/Data/SomeEntity/2018/3/5/SomeEntity_2018_3_5__13"",
""/Data/SomeEntity/2018/3/5/SomeEntity_2018_3_5__14"",
""/Data/SomeEntity/2018/3/5/SomeEntity_2018_3_5__15""]
}
</code></pre>

<p>ADF pipeline which contains Lookup and second USQL script.
Lookup reads this json file FileSet property and as i understood i need to somehow pass this json array to second script right?
But usql compiler generates string variable like </p>

<p>DECLARE @fileSet string =  ""[""/Data/SomeEntity/2018/3/5/SomeEntity_2018_3_5__12"",
        ""/Data/SomeEntity/2018/3/5/SomeEntity_2018_3_5__13"",
        ""/Data/SomeEntity/2018/3/5/SomeEntity_2018_3_5__14"",
        ""/Data/SomeEntity/2018/3/5/SomeEntity_2018_3_5__15""]""</p>

<p>and the script even didn't get compile after it.</p>
","<azure-data-factory><azure-data-lake><u-sql>","2018-03-05 14:52:51","1250","0","2","49157755","<p>You will need two U-SQL jobs, but you can instead use an ADF Lookup activity to read the filesets.   </p>

<p>Your first ADLA job should extract data from A, build the filesets, and <a href=""https://github.com/Azure/usql/tree/master/Examples/DataFormats/Microsoft.Analytics.Samples.Formats"" rel=""nofollow noreferrer"">output to a JSON file</a> in <a href=""https://learn.microsoft.com/en-us/azure/data-lake-analytics/data-lake-analytics-manage-use-dotnet-sdk"" rel=""nofollow noreferrer"">Azure Storage</a>.    </p>

<p>Then use a <a href=""https://learn.microsoft.com/en-us/azure/data-factory/control-flow-lookup-activity"" rel=""nofollow noreferrer"">Lookup activity</a> in ADF to read the fileset names from your JSON file in Azure Storage.  </p>

<p>Then define your second U-SQL activity in ADF.  Set the fileset as a parameter (under Script > Advanced if you're using the online UI) in the U-SQL activity - the value will look something like <code>@{activity('MyLookupActivity').output.firstRow.FileSet}</code> (see Lookup activity docs above).   </p>

<p>ADF will write in the U-SQL parameter as a DECLARE statement at the top of your U-SQL script.  If you want to have a default value encoded into your script as well, use DECLARE EXTERNAL - this will get overwritten by the DECLARE statements ADF writes in so it won't cause errors.   </p>

<p>I hope this helps, and let me know if you have additional questions!</p>
"
"49061150","Azure Data Factory : copying data from CosmosDB to SQL Database fails with ""range-indexed"" error","<p>I need to move data from Azure CosmosDB (previously known as DocumentDB) into Azure SQL database.</p>

<p>I am using the ""Copy Data"" resource where I have setup the source and the destination as well as the mapping.</p>

<p>The schedule has been setup for once every hour. The issues : </p>

<ol>
<li>I am noticing that the no. of instances or ""runs"" are more than once per hour. Is this because it is failing and it keeps retrying for a certain amount of times ? </li>
<li>The main error why its failing seems to be this : </li>
</ol>

<blockquote>
  <p>Activity Copy_dbo_SubscriptionLocator failed: Failure happened on
  'Source' side.
  ErrorCode=UserErrorDocumentDBReadError,'Type=Microsoft.DataTransfer.Common.Shared.HybridDeliveryException,Message=DocumentDb
  operation failed: Message: {""Errors"":[""An invalid query has been
  specified with filters against path(s) that are not range-indexed.
  Consider adding allow scan header in the request.""]}</p>
</blockquote>

<p>What changes do I need to make on CosmosDB end to avoid the error ?</p>

<p>Following is my current indexing policy : </p>

<pre><code>{
    ""indexingMode"": ""consistent"",
    ""automatic"": true,
    ""includedPaths"": [
        {
            ""path"": ""/*"",
            ""indexes"": [
                {
                    ""kind"": ""Range"",
                    ""dataType"": ""Number"",
                    ""precision"": -1
                },
                {
                    ""kind"": ""Hash"",
                    ""dataType"": ""String"",
                    ""precision"": 3
                }
            ]
        }
    ],
    ""excludedPaths"": [
        {
            ""path"": ""/OneOfTheColumns/*""
        }
    ]
}
</code></pre>

<p>Looks like the issue is with the datetime field which needs to be range indexed as a string. I could possibly use the _ts field in the document. But how do I change the Copy job to convert the query's datetime to epoch time and use its value for _ts field.</p>
","<azure><azure-sql-database><azure-cosmosdb><azure-data-factory>","2018-03-02 00:56:40","1362","0","2","49062194","<p>You need to update your index policy of the document collection to allow this query.</p>

<p>Say you have a query like ""select * from c where c.property>""something"", this c.property must have a range index.</p>

<p>You can learn more about the indexing policy <a href=""https://azure.microsoft.com/en-us/blog/update-your-documentdb-indexing-policies-online/"" rel=""nofollow noreferrer"">here</a>: and <a href=""https://learn.microsoft.com/en-us/azure/cosmos-db/indexing-policies#modify-the-indexing-policy-of-a-collection"" rel=""nofollow noreferrer"">here</a> </p>
"
"49061150","Azure Data Factory : copying data from CosmosDB to SQL Database fails with ""range-indexed"" error","<p>I need to move data from Azure CosmosDB (previously known as DocumentDB) into Azure SQL database.</p>

<p>I am using the ""Copy Data"" resource where I have setup the source and the destination as well as the mapping.</p>

<p>The schedule has been setup for once every hour. The issues : </p>

<ol>
<li>I am noticing that the no. of instances or ""runs"" are more than once per hour. Is this because it is failing and it keeps retrying for a certain amount of times ? </li>
<li>The main error why its failing seems to be this : </li>
</ol>

<blockquote>
  <p>Activity Copy_dbo_SubscriptionLocator failed: Failure happened on
  'Source' side.
  ErrorCode=UserErrorDocumentDBReadError,'Type=Microsoft.DataTransfer.Common.Shared.HybridDeliveryException,Message=DocumentDb
  operation failed: Message: {""Errors"":[""An invalid query has been
  specified with filters against path(s) that are not range-indexed.
  Consider adding allow scan header in the request.""]}</p>
</blockquote>

<p>What changes do I need to make on CosmosDB end to avoid the error ?</p>

<p>Following is my current indexing policy : </p>

<pre><code>{
    ""indexingMode"": ""consistent"",
    ""automatic"": true,
    ""includedPaths"": [
        {
            ""path"": ""/*"",
            ""indexes"": [
                {
                    ""kind"": ""Range"",
                    ""dataType"": ""Number"",
                    ""precision"": -1
                },
                {
                    ""kind"": ""Hash"",
                    ""dataType"": ""String"",
                    ""precision"": 3
                }
            ]
        }
    ],
    ""excludedPaths"": [
        {
            ""path"": ""/OneOfTheColumns/*""
        }
    ]
}
</code></pre>

<p>Looks like the issue is with the datetime field which needs to be range indexed as a string. I could possibly use the _ts field in the document. But how do I change the Copy job to convert the query's datetime to epoch time and use its value for _ts field.</p>
","<azure><azure-sql-database><azure-cosmosdb><azure-data-factory>","2018-03-02 00:56:40","1362","0","2","49062296","<p>I'm not sure about which language you are using, so I reproduced your issue on my side, please refer to my steps.</p>

<p>My sample documents:</p>

<pre><code>[
    {
        ""id"": ""1"",
        ""name"": ""Jay"",
        ""course"": ""A"",
        ""score"": 50
    },
    {
        ""id"": ""2"",
        ""name"": ""Peter"",
        ""course"": ""B"",
        ""score"": 20
    }
]
</code></pre>

<p>Index policy:</p>

<pre><code>{
    ""indexingMode"": ""consistent"",
    ""automatic"": true,
    ""includedPaths"": [
        {
            ""path"": ""/name/?"",
            ""indexes"": [
                {
                    ""kind"": ""Hash"",
                    ""dataType"": ""String"",
                    ""precision"": 3
                },
                {
                    ""kind"": ""Range"",
                    ""dataType"": ""Number"",
                    ""precision"": -1
                }
            ]
        }
    ],
    ""excludedPaths"": [
        {
            ""path"": ""/*""
        }
    ]
}
</code></pre>

<p>Query in the source:<code>(SELECT c.id,c.name,c.course,c.score FROM c where c.score&gt;30)</code></p>

<p><a href=""https://i.stack.imgur.com/unJSZ.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/unJSZ.png"" alt=""enter image description here""></a></p>

<p>Reproduce your issue:</p>

<p><a href=""https://i.stack.imgur.com/zRkWb.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/zRkWb.png"" alt=""enter image description here""></a></p>

<blockquote>
  <p>Range supports efficient equality queries, range queries (using >, &lt;,</p>
  
  <blockquote>
    <p>=, &lt;=, !=), and ORDER BY queries. ORDER By queries by default also require maximum index precision (-1). The data type can be String or
    Number.</p>
  </blockquote>
</blockquote>

<p>When your have range query, you need define range index on the field. Please refer to official <a href=""https://learn.microsoft.com/en-us/azure/cosmos-db/indexing-policies#index-data-types-kinds-and-precisions"" rel=""nofollow noreferrer"">doc</a>.</p>

<p>So, I modified the above index policy and copied data successfully:</p>

<pre><code>{
    ""indexingMode"": ""consistent"",
    ""automatic"": true,
    ""includedPaths"": [
        {
            ""path"": ""/*"",
            ""indexes"": [
                {
                    ""kind"": ""Range"",
                    ""dataType"": ""Number"",
                    ""precision"": -1
                },
                {
                    ""kind"": ""Range"",
                    ""dataType"": ""String"",
                    ""precision"": -1
                },
                {
                    ""kind"": ""Spatial"",
                    ""dataType"": ""Point""
                }
            ]
        }
    ],
    ""excludedPaths"": []
}
</code></pre>

<p><a href=""https://i.stack.imgur.com/s0n5v.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/s0n5v.png"" alt=""enter image description here""></a></p>

<p><a href=""https://i.stack.imgur.com/HNcUl.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/HNcUl.png"" alt=""enter image description here""></a></p>

<p>Hope it helps you.</p>
"
