QuestionId,QuestionTitle,QuestionBody,QuestionTags,Date,ViewCount,Score,NumberOfAnswers,AnswerId,AnswerBody
"8892733","PHP. Requirements. For creating a live video streaming","<p>Our aim is to create a live video streaming site for each individual paid <em>registered</em> user only by php platform.</p>

<p>I need video camera to take videos and i want to know function flow.I dont know where i have to start.</p>

<p>What are all things needed? Especially live video uploading using ordinary video camera. I have found <a href=""http://www.videowhisper.com/?p=PHP+Live+Streaming"" rel=""nofollow"">http://www.videowhisper.com/?p=PHP+Live+Streaming</a> This is the site, i exactly needed. Unfortunately but its camera option only includes ""webcam only"". I would like input video camera instead of webcam.</p>

<ol>
<li><p>I need suggestions for requirements to create the site.</p></li>
<li><p>I need to stream live video for each paid user. That includes flash player content.</p></li>
<li><p>Uploading and video control by admin side. Only live links is shared to customers.</p></li>
</ol>
","<php><video-streaming><requirements>","2012-01-17 10:05:46","1601","0","2","8892861","<p>i think it is nothing about PHP, but something about JAVA.</p>

<p>You can use Red5 as media server, and users watch videos via flash player. You also can take videos with flash.</p>
"
"8892733","PHP. Requirements. For creating a live video streaming","<p>Our aim is to create a live video streaming site for each individual paid <em>registered</em> user only by php platform.</p>

<p>I need video camera to take videos and i want to know function flow.I dont know where i have to start.</p>

<p>What are all things needed? Especially live video uploading using ordinary video camera. I have found <a href=""http://www.videowhisper.com/?p=PHP+Live+Streaming"" rel=""nofollow"">http://www.videowhisper.com/?p=PHP+Live+Streaming</a> This is the site, i exactly needed. Unfortunately but its camera option only includes ""webcam only"". I would like input video camera instead of webcam.</p>

<ol>
<li><p>I need suggestions for requirements to create the site.</p></li>
<li><p>I need to stream live video for each paid user. That includes flash player content.</p></li>
<li><p>Uploading and video control by admin side. Only live links is shared to customers.</p></li>
</ol>
","<php><video-streaming><requirements>","2012-01-17 10:05:46","1601","0","2","8894184","<p>Found an interesting link on it: <a href=""http://en.wikipedia.org/wiki/Push_technology"" rel=""nofollow"">http://en.wikipedia.org/wiki/Push_technology</a></p>

<p>And Symfony 2.1 is going to handle streamed responses: <a href=""http://symfony.com/doc/current/components/http_foundation.html#streaming-a-response"" rel=""nofollow"">http://symfony.com/doc/current/components/http_foundation.html#streaming-a-response</a>, but is not stable yet.</p>
"
"8799935","Requirements for TFS automated build and publish","<p>I'm new to TFS and we're trying to automate the test / build / deploy process for our builds.</p>

<p>The problem I'm experiencing is that when I try to start a build with automatic deployment (for a webpage) using the MSBuild Arguments it complains that it doesn't have the necessary DLLs and I've figured out so far that they get installed with Visual Studio Premium or Ultimate, but then other people complained that something like Visual Studio shouldn't get installed on a Server =)</p>

<p>The TFS is also the build server for now and I'd like the know if there are any known requirements for these things to work:</p>

<ul>
<li>Automated UI Testing</li>
<li>Automated deployment</li>
<li>Automated publish</li>
<li>Code Analysis</li>
</ul>

<p>I'm working with TFS 2010 and Visual Studio 2010 (Premium). Any help, comments or different approaches are welcome =)</p>
","<tfs><build-automation><requirements><msdeploy><automated-deploy>","2012-01-10 07:33:34","1423","1","2","8800651","<p>The way we handle that on my team is to actually check all the references needed to build the product in to source control.  Anything beyond the .NET framework itself, and whatever you get for installing a build controller/build agent, gets checked in..  </p>

<p>Positive bits:</p>

<ul>
<li>Setting up a build agent is trivial (just ""Install Server 2K8R2, install build agent, start building"").  </li>
<li>Don't have to worry about complicated SDK installation to match people's dev boxes..  References are all the exact version checked in to source control.</li>
<li>You get <em>binary</em> version control, which means if you need to do a maintenance release and build against last year's version of a particular API, it's super easy.</li>
</ul>

<p>Negative bits:</p>

<ul>
<li>Bloats your source control a bit</li>
<li>Feels weird checking binaries in to source control</li>
<li>Need to be <em>very</em> vigilant about maintaining structure and cleanliness of how you check in the binaries, otherwise it can easily get out of control</li>
</ul>

<p>Beyond that, as far as making the test bits work from your build agent..  Probably the easiest way would be to install the <em>test</em> agent.  The UI automation stuff in VS2010 is the ""CodedUI Test"" framework..  It extends the normal VS Unit Test framework, but requires some additional registrations to work.  </p>

<p>More complicated, but super useful longer term is to set up the full ""Visual Studio Lab Management"" platform.  Downside is, to fully leverage it you'll need to hook up a System Center Virtual Machine Manager server and at least one Hyper-V host, and build out a virtual machine with a ""Clean"" VM snapshot (everything <em>except</em> the product you're testing installed).  Once all that's in place you get a <em>really</em> slick end-to-end build-deploy-test experience..  You trigger the product build via the build system, once that completes your environment is restored to that absolutely clean state (no worries about leftover bits from last version corrupting your testing, etc), the product gets published to this test environment, and then it executes your tests.</p>

<p>Not sure if you're using TFS for workitem tracking, testcase management, project planning, and whatnot..  If not, the lab management stuff may be too heavy-weight to mess with.  More info <a href=""http://vsarlabman.codeplex.com/"" rel=""nofollow"">here</a> if you're interested in messing with that part.  :)</p>
"
"8799935","Requirements for TFS automated build and publish","<p>I'm new to TFS and we're trying to automate the test / build / deploy process for our builds.</p>

<p>The problem I'm experiencing is that when I try to start a build with automatic deployment (for a webpage) using the MSBuild Arguments it complains that it doesn't have the necessary DLLs and I've figured out so far that they get installed with Visual Studio Premium or Ultimate, but then other people complained that something like Visual Studio shouldn't get installed on a Server =)</p>

<p>The TFS is also the build server for now and I'd like the know if there are any known requirements for these things to work:</p>

<ul>
<li>Automated UI Testing</li>
<li>Automated deployment</li>
<li>Automated publish</li>
<li>Code Analysis</li>
</ul>

<p>I'm working with TFS 2010 and Visual Studio 2010 (Premium). Any help, comments or different approaches are welcome =)</p>
","<tfs><build-automation><requirements><msdeploy><automated-deploy>","2012-01-10 07:33:34","1423","1","2","8824840","<p>Your build server needs the appropriate versions of Visual Studio. For instance, if you want to do database unit tests, then the build server needs VS Ultimate to be installed.</p>

<p>If there's an issue with having ""client"" software installed on a server, then use a separate build server. It makes perfect sense for a build server to have the necessary tools installed to perform builds.</p>
"
"8788841","How to add specific requirements while submitting iOS app to Apple Store?","<p>I am ready to submit my iOS application to Apple Store. But I want to add specific requirements such as ""app requires iOS 4 or greater ,iphone 4 , ipod  touch 4g,ipad ,camera &amp; multitasking support"". I don't know where should I set these requirements. </p>

<p>I set the base sdk &amp; deployement target to 4.0. </p>

<p>Any help is appreciated. Thanks.</p>
","<ios><requirements><app-store>","2012-01-09 13:04:12","1938","1","3","8788879","<p>If you require iOS 4, you already have multitasking support.  There's no way (that I know of) for any user to disable that.</p>

<p>Camera is trickier though.  Make it <strong>very clear</strong> in your app description that your app requires a camera.  And that caveat (""you must have a camera"") <em>should</em> keep non-camera device using people from downloading.</p>
"
"8788841","How to add specific requirements while submitting iOS app to Apple Store?","<p>I am ready to submit my iOS application to Apple Store. But I want to add specific requirements such as ""app requires iOS 4 or greater ,iphone 4 , ipod  touch 4g,ipad ,camera &amp; multitasking support"". I don't know where should I set these requirements. </p>

<p>I set the base sdk &amp; deployement target to 4.0. </p>

<p>Any help is appreciated. Thanks.</p>
","<ios><requirements><app-store>","2012-01-09 13:04:12","1938","1","3","8789015","<p>You need to add <code>UIRequiredDeviceCapabilities</code> key to <code>info.plist</code> file and set <code>still-camera</code> value.
<a href=""http://developer.apple.com/library/ios/#documentation/General/Reference/InfoPlistKeyReference/Articles/iPhoneOSKeys.html#//apple_ref/doc/uid/TP40009252-SW3"" rel=""nofollow"">Here</a> is a table of all possible iDevice requirements.</p>

<p>As for target iOS version and backgrounding it's right to set deployment target at least 4.0.</p>
"
"8788841","How to add specific requirements while submitting iOS app to Apple Store?","<p>I am ready to submit my iOS application to Apple Store. But I want to add specific requirements such as ""app requires iOS 4 or greater ,iphone 4 , ipod  touch 4g,ipad ,camera &amp; multitasking support"". I don't know where should I set these requirements. </p>

<p>I set the base sdk &amp; deployement target to 4.0. </p>

<p>Any help is appreciated. Thanks.</p>
","<ios><requirements><app-store>","2012-01-09 13:04:12","1938","1","3","8805134","<p>I got it. Brigadir is right. When you setUIRequiredDeviceCapabilities key to info.plist file &amp; set the required values then it will automatically list the devices required. See Appendix C: Device Compatibility Matrix in itunes_connect_developer_guide.pdf. </p>
"
"8368237","How to determine the minimum JRE version and system requirements for my Java application","<p>I have written an application in Java using Eclipse IDE and I now need to know the minimum JRE version that is required to run the application! I know that certain methods are only available under later JREs, but I was wondering what the easiest way to find out the highest requirement of my application would be, so any suggestions would be appreciated...</p>

<p>Also whilst I am on the topic of requirements, I would appreciate any advice or methods for determining the minimum system requirements for my software in general - i.e minimum amount of RAM...</p>

<p>Thanks in advance</p>
","<eclipse><java><requirements><system-requirements>","2011-12-03 14:12:12","8559","17","1","8368294","<ul>
<li><strong>Method 1:</strong> For minimum JRE version, that's going to be tough. The easiest way is to simply require the same version that you're building against, or later, e.g. JRE 6.x.x or higher.</li>
<li><strong>Method 2:</strong> Install multiple JDK's, making them available in Eclipse, and just change the version you're building against, running your app's test suite each time, and making sure they all pass. The earliest version of the JDK that allows all your tests to pass is the lowest JRE it can run against. <strong>Simply having your app successfully compile isn't enough</strong>, because previous versions of the JRE/JDK might have bugs that allow for successful compilation, but <strong>don't</strong> allow for proper program execution.</li>
<li><strong>Method 3:</strong> Always require the latest on the client side, because Oracle is constantly patching security holes, and ultimately, it may be best to require the latest versions, if you have that kind of control, on the client side.</li>
</ul>

<p>As far as RAM, that's easy. When the JVM starts it sets a 'maximum' amount of RAM (I believe the default may be 128MB), and that's a hard limit that your application cannot exceed without crashing. Profile your app over time, tweaking the memory settings on the JVM, and find out what the minimum amount of RAM is that you'll need for your app to run both (a) with acceptable performance, and (b)  without throwing an <a href=""http://docs.oracle.com/javase/1.4.2/docs/api/java/lang/OutOfMemoryError.html"" rel=""noreferrer"">OutOfMemoryError</a>, and you're done.</p>

<p>Ref: <a href=""http://wiki.customware.net/repository/pages/viewpage.action?pageId=35389482"" rel=""noreferrer"">How to configure JVM options and memory?</a></p>

<p>For other requirements such as CPU req., things get a little fuzzier. There are a lot of CPUs out there, and the throughput that a given system produces can vary not just based on CPU speed, but the speed of the hard drive, the amount of RAM installed in the system, the speed of the network interface (if you're writing a network app), and other things. For requirements such as that, you'll want to just test it on a variety of systems and sort of draw a line somewhere, and say, ""You can expect acceptable performance if you have hardware that is at least as powerful as X, Y, Z"".</p>

<p>The other thing you could do is build in a benchmark, or some kind of performance logging, and have that performance data sent back to you. Lots of apps do this. You know that ""May we send anonymous usage data back to the mothership?"" question you get when installing some software? Well, common among that data are system-specific details such as RAM, CPU, hard drive model, and other hardware details (whatever data you determine is relevant to your app), along with performance logging data. By taking that kind of approach, what you get is a lot of performance data from lots of different system configurations without needing to have a huge number of differently configured machines in-house.</p>

<p>You can do the same thing for program crashes and bugs - have the stack traces, system info, and other relevant data dumped to a log file that is sent back to you - but of course, <strong>only if your users have said it's okay</strong> to send that data back to you.</p>
"
"8220123","Are there any good software specification/requirement tools out there?","<p>I'm looking for a good tool for our product/design team to use when they write up the specifications (app feature requirements) for our projects. Right now we're using Word docs that are continually edited, and it's hard to keep track of what has changed when we're developing.</p>
","<specifications><requirements>","2011-11-21 23:42:36","4833","3","2","8220171","<p>The best way to track changes in docs or software is the use of CVS. I used TortoiseCVS for my projects. </p>

<p>In other collaborative projects I used Dropbox that is a share application that also can track changes.</p>

<p><a href=""http://en.wikipedia.org/wiki/Concurrent_Versions_System#IDEs_with_support_for_CVS"" rel=""nofollow"">http://en.wikipedia.org/wiki/Concurrent_Versions_System#IDEs_with_support_for_CVS</a></p>
"
"8220123","Are there any good software specification/requirement tools out there?","<p>I'm looking for a good tool for our product/design team to use when they write up the specifications (app feature requirements) for our projects. Right now we're using Word docs that are continually edited, and it's hard to keep track of what has changed when we're developing.</p>
","<specifications><requirements>","2011-11-21 23:42:36","4833","3","2","12626648","<p>You may look at <a href=""http://www.analysttool.com"" rel=""nofollow"">CASE Spec</a>. It is an affordable enterprise requirements specification and requirements management software.</p>
"
