QuestionId,QuestionTitle,QuestionBody,QuestionTags,Date,ViewCount,Score,NumberOfAnswers,AnswerId,AnswerBody
"75961897","How to sync in realtime a legacy system with a new one?","<p>I have a legacy grails based system with a MySQL database. I rewrite incrementally the system in a modern Spring Boot 3 and MongoDB Atlas database. I can't just shutdown the legacy system and replace it and I want to rewrite only the write operations (create, update and delete) in the legacy system. So, I write a synchronization mechanism between the legacy system and the new system. To do this, I write a sync project and I use MongoDB Atlas triggers + functions.</p>
<p>For now, the process is as follow:</p>
<ol>
<li>I call the modern Spring project from the legacy project controller with a REST API call for all write operation (create, update and delete).</li>
<li>I save the new entity in the new project database based on MongoDB Atlas.</li>
<li>A trigger is executed on the entity write and execute a MongoDB Atlas function. This function sends the write event to a sync project.</li>
<li>The sync project receives the write event, transform the new entity into MySQL insert, update or delete executed directly in the legacy database to update it. The sync project keeps also a Link between the legacy entity and the new entity for further calls.</li>
</ol>
<p>With this mechanism I don't need to update any read operations in the legacy system because the legacy database is updated by the sync project. All the system works as expected but I must do a Thread.sleep in the legacy controller in order to wait the MongoDB Atlas trigger + function execution and the legacy database update.</p>
<p>This waiting is not really acceptable but I don't see what I can do to resolve the problem.</p>
<p>Do you have any idea?</p>
","<mongodb><spring-boot><data-synchronization>","2023-04-07 20:58:30","19","0","1","75994127","<p>I have resolved my problem with AOP instead of MongoDB Atlas function.</p>
"
"75916054","Insufficient CPU quota when running data quality task in GCP dataplex","<p>I try to follow the below guide from GCP to create a data quality task. <a href=""https://cloud.google.com/dataplex/docs/check-data-quality?&amp;_ga=2.139058355.-143783534.1669209779#before_you_begin"" rel=""nofollow noreferrer"">https://cloud.google.com/dataplex/docs/check-data-quality?&amp;_ga=2.139058355.-143783534.1669209779#before_you_begin</a> when I try to run the task I get the error</p>
<p><a href=""https://i.stack.imgur.com/OquEI.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/OquEI.png"" alt=""Error"" /></a></p>
<ul>
<li>As per my understanding Dataplex is calling dataproc internally for running the spark jobs due to which we get the error message. But we dont have the option to adjust the number of CPUs that can be used.</li>
<li>I tried to increase the CPU quota but GCP does not allow me( My account is enabled for billing for a long time)
Any suggestion to correct this error will be appreciated.</li>
</ul>
","<google-cloud-platform><google-cloud-dataproc><google-dataplex>","2023-04-03 04:33:41","76","1","2","75919323","<p>It won't help you, but even if you have activated the billing, as personal user you have a very limited number of allowed CPU (here my CPU quotas for all region; and I'm a GDE! Check it in your project.)
<a href=""https://i.stack.imgur.com/gxtVe.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/gxtVe.png"" alt=""enter image description here"" /></a></p>
<p>And here the quotas with my corporate sandbox project
<a href=""https://i.stack.imgur.com/rj5O0.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/rj5O0.png"" alt=""enter image description here"" /></a></p>
<p>If you have the opportunity to test it in a corporate account, or if you have a Google Cloud contact, you could ask for a quota increase.</p>
"
"75916054","Insufficient CPU quota when running data quality task in GCP dataplex","<p>I try to follow the below guide from GCP to create a data quality task. <a href=""https://cloud.google.com/dataplex/docs/check-data-quality?&amp;_ga=2.139058355.-143783534.1669209779#before_you_begin"" rel=""nofollow noreferrer"">https://cloud.google.com/dataplex/docs/check-data-quality?&amp;_ga=2.139058355.-143783534.1669209779#before_you_begin</a> when I try to run the task I get the error</p>
<p><a href=""https://i.stack.imgur.com/OquEI.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/OquEI.png"" alt=""Error"" /></a></p>
<ul>
<li>As per my understanding Dataplex is calling dataproc internally for running the spark jobs due to which we get the error message. But we dont have the option to adjust the number of CPUs that can be used.</li>
<li>I tried to increase the CPU quota but GCP does not allow me( My account is enabled for billing for a long time)
Any suggestion to correct this error will be appreciated.</li>
</ul>
","<google-cloud-platform><google-cloud-dataproc><google-dataplex>","2023-04-03 04:33:41","76","1","2","75920854","<p>As mentioned by @guillaume, there is set a limit on the number of CPUs you can use for a region (and all regions) in GCP. It is different for individuals and organizations. You can <a href=""https://cloud.google.com/docs/quota#api_specific_quota"" rel=""nofollow noreferrer"">check</a> this under IAM -&gt; Quotas-&gt; Compute Engine API CPU quota.</p>
<p>Solutions to your error:</p>
<ul>
<li><p>You can request a <a href=""https://cloud.google.com/docs/quota#requesting_higher_quota"" rel=""nofollow noreferrer"">quota
increase</a>
on the number of CPUs for a region/all regions for your project.</p>
</li>
<li><p>Try changing the configuration of your Dataproc Cluster by decreasing
the number of secondary workers. <a href=""https://cloud.google.com/dataproc/docs/concepts/compute/secondary-vms#using_secondary_workers"" rel=""nofollow noreferrer"">Reference</a></p>
</li>
</ul>
"
"75695419","Using great expectations with databricks autolaoder","<p>I have implemented a data pipeline using autoloader bronze --&gt; silver --&gt; gold.</p>
<p>now while I do this I want to perform some data quality checks, and for that I'm using great expectations library.</p>
<p>However I'm stuck with below error when trying to validate the data</p>
<pre><code>validator.expect_column_values_to_not_be_null(column=&quot;col1&quot;)​
validator.expect_column_values_to_be_in_set(
   column=&quot;col2&quot;,
   value_set=[1,6]
)
</code></pre>
<blockquote>
<p>MetricResolutionError: Queries with streaming sources must be executed with writeStream.start();</p>
</blockquote>
<p>looks like great expectations can work with only static/batch data.</p>
<p>How can I get it working for streaming data?</p>
<p>I followed below in my databricks notebook to get started with great_expectations</p>
<p><a href=""https://docs.greatexpectations.io/docs/deployment_patterns/how_to_use_great_expectations_in_databricks/"" rel=""nofollow noreferrer"">https://docs.greatexpectations.io/docs/deployment_patterns/how_to_use_great_expectations_in_databricks/</a></p>
<pre><code>from pyspark.sql.functions import col, to_date, date_format
from pyspark.sql.types import StructType, StructField, StringType, IntegerType, FloatType, DateType
import time
 
# autoloader table and checkpoint paths
basepath = &quot;/mnt/autoloaderdemodl/datagenerator/&quot;
bronzeTable = basepath + &quot;bronze/&quot;
bronzeCheckpoint = basepath + &quot;checkpoint/bronze/&quot;
bronzeSchema = basepath + &quot;schema/bronze/&quot;
silverTable = basepath + &quot;silver/&quot;
silverCheckpoint = basepath + &quot;checkpoint/silver/&quot;
landingZoneLocation = &quot;/mnt/autoloaderdemodl/datageneratorraw/customerdata_csv&quot;
 
# Load data from the CSV file using Auto Loader to bronze table using rescue as schema evolution option
raw_df = spark.readStream.format(&quot;cloudFiles&quot;) \
            .option(&quot;cloudFiles.format&quot;, &quot;csv&quot;) \
            .option(&quot;cloudFiles.schemaEvolutionMode&quot;, &quot;rescue&quot;) \
            .option(&quot;Header&quot;, True) \
            .option(&quot;cloudFiles.schemaLocation&quot;, bronzeSchema) \
            .option(&quot;cloudFiles.inferSchema&quot;, &quot;true&quot;) \
            .option(&quot;cloudFiles.inferColumnTypes&quot;, True) \
        .load(landingZoneLocation)
 
        # Write raw data to the bronze layer
bronze_df = raw_df.writeStream.format(&quot;delta&quot;) \
            .trigger(once=True) \
            .queryName(&quot;bronzeLoader&quot;) \
            .option(&quot;checkpointLocation&quot;, bronzeCheckpoint) \
            .option(&quot;mergeSchema&quot;, &quot;true&quot;) \
            .outputMode(&quot;append&quot;) \
            .start(bronzeTable)
# Wait for the bronze stream to finish
bronze_df.awaitTermination()
bronze = spark.read.format(&quot;delta&quot;).load(bronzeTable)
bronze_count = bronze.count()
display(bronze)
print(&quot;Number of rows in bronze table: {}&quot;.format(bronze_count))
 
 
bronze_df = spark.readStream.format(&quot;delta&quot;).load(bronzeTable)
 
# Apply date format transformations to the DataFrame
# Transform the date columns
silver_df = bronze_df.withColumn(&quot;date1&quot;, to_date(col(&quot;date1&quot;), &quot;yyyyDDD&quot;))\
                     .withColumn(&quot;date2&quot;, to_date(col(&quot;date2&quot;), &quot;yyyyDDD&quot;))\
                     .withColumn(&quot;date3&quot;, to_date(col(&quot;date3&quot;), &quot;MMddyy&quot;))
 
# Write the transformed DataFrame to the Silver layer
silver_stream  = silver_df.writeStream \
    .format(&quot;delta&quot;) \
    .outputMode(&quot;append&quot;) \
    .option(&quot;mergeSchema&quot;, &quot;true&quot;) \
    .option(&quot;checkpointLocation&quot;, silverCheckpoint) \
    .trigger(once=True) \
    .start(silverTable)
 

# Wait for the write stream to complete
silver_stream.awaitTermination()
# Count the number of rows in the Silver table
silver = spark.read.format(&quot;delta&quot;).load(silverTable)
display(silver)
silver_count = silver.count()
print(&quot;Number of rows in silver table: {}&quot;.format(silver_count))
</code></pre>
<p>PS - customer doesn't want to use DLT yet.</p>
<p>code to include expectation validation</p>
<pre><code>import great_expectations as ge
from great_expectations.datasource.types import BatchKwargs

bronze_df = spark.readStream.format(&quot;delta&quot;).load(bronzeTable)

# Apply date format transformations to the DataFrame
# Transform the date columns
silver_df = bronze_df.withColumn(&quot;date1&quot;, to_date(col(&quot;date1&quot;), &quot;yyyyDDD&quot;))\
                     .withColumn(&quot;date2&quot;, to_date(col(&quot;date2&quot;), &quot;yyyyDDD&quot;))\
                     .withColumn(&quot;date3&quot;, to_date(col(&quot;date3&quot;), &quot;MMddyy&quot;))
def validate_micro_batch(batch_df, epoch):
    print(&quot;inside function&quot;)
    # Use Great Expectations to validate the batch DataFrame
    clean_df = batch_df
    clean_df.expect_column_values_to_not_be_null(column=&quot;col1&quot;)
    clean_df.expect_column_values_to_be_between(
        column=&quot;col2&quot;, min_value=0, max_value=1000
    )
    clean_df.write.format(&quot;delta&quot;).option(&quot;mergeSchema&quot;, &quot;true&quot;).mode(&quot;append&quot;).saveAsTable(silverTable)
    # Print the validation results for the batch
    validation_results = clean_df.validate()
    print(&quot;Validation results for batch {}:&quot;.format(batch_id))
    print(validation_results)
    
# Write the transformed DataFrame to the Silver layer if it passes all expectations
silver_stream = silver_df.writeStream \
    .format(&quot;delta&quot;) \
    .outputMode(&quot;append&quot;) \
    .foreachBatch(validate_micro_batch) \
    .option(&quot;checkpointLocation&quot;, silverCheckpoint) \
    .trigger(once=True) \
    .start()
# Wait for the write stream to complete
silver_stream.awaitTermination()
# Count the number of rows in the Silver table
silver = spark.read.format(&quot;delta&quot;).load(silverTable)
display(silver)
silver_count = silver.count()
print(&quot;Number of rows in silver table: {}&quot;.format(silver_count))
</code></pre>
","<azure-databricks><spark-structured-streaming><great-expectations><data-quality><databricks-autoloader>","2023-03-10 11:12:13","136","1","1","75713053","<p>Great Expectations is designed to work with batches of the data, so if you want to use it with Spark structured streaming then you will need to implement your checks inside a function that will be passed to <code>foreachBatch</code> argument of <code>writeStream</code> (<a href=""https://spark.apache.org/docs/latest/structured-streaming-programming-guide.html#foreachbatch"" rel=""nofollow noreferrer"">doc</a>).</p>
<p>It will look something like this:</p>
<pre class=""lang-py prettyprint-override""><code>def foreach_batch_func(df, epoch):
  # apply GE expectations to df and get clean dataframe
  clean_df = df....
  clean_df.write.format(&quot;delta&quot;).option(&quot;mergeSchema&quot;, &quot;true&quot;) \
    .mode(&quot;append&quot;).saveAsTable(silverTable)

silver_stream  = silver_df.writeStream \
    .format(&quot;delta&quot;) \
    .outputMode(&quot;append&quot;) \
    .foreachBatch(foreach_batch_func) \
    .option(&quot;checkpointLocation&quot;, silverCheckpoint) \
    .trigger(once=True) \
    .start()
</code></pre>
<p>But really, for this kind of the checks, Great Expectations would be overkill. And really, you need to discuss about adoption of Delta Live Tables for this.</p>
<p>P.S. You may need to <a href=""https://docs.databricks.com/structured-streaming/delta-lake.html#idempotent-table-writes-in-foreachbatch"" rel=""nofollow noreferrer"">add options for idempotent writes to Delta</a>.</p>
"
"75665949","How to select all rows that have the same value in each column using tidyverse?","<p>I'm working on data quality analysis for a questionnaire where respondents were asked to check mark every bit of food that they ate. Some respondents left the form blank so I'm trying to figure out a way to select or count all rows where each column is blank.</p>
<p>In this particular dataset, the value of &quot;No&quot; indicates that the box was not checked on the form. A value of &quot;Yes&quot; means that the box was checked. They are currently character variables in the dataset. It's easy to count the number of yes and no responses in a particular column, but I'm interested in counting rows where every single response is &quot;NO.&quot;</p>
<p>To make things simple, let's say that there are 5 columns representing different foods on the chart: Apple, Banana, Sandwich, Yogurt, Strawberry (the actual dataset has over 40 different food items). How would I select every row where &quot;No&quot; is the response for each food item?</p>
<p>This is what I've tried so far and it isn't working:</p>
<pre><code>food_history &lt;- food %&gt;%
     filter(Apple:Strawberry==&quot;No&quot;)
</code></pre>
","<r><filter><tidyverse><data-quality>","2023-03-07 18:36:28","42","1","1","75665986","<p>We can use <code>if_all</code></p>
<pre><code>library(dplyr)
food %&gt;%
   filter(if_all(Apple:Strawberry, ~ .x == &quot;No&quot;))
</code></pre>
"
"75657343","Check the data quality in Google Sheets (asking for suggestions)","<p>I'm trying to create a sheet to check the data quality from a survey in Google Sheets the document have this format:</p>
<p><a href=""https://i.stack.imgur.com/iajHg.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/iajHg.png"" alt=""enter image description here"" /></a></p>
<p>So basically I was using this formula <code>=COUNTIF(B2:F2,&quot;Don't know&quot;)</code> to count <code>Don't know</code>, empty spaces, 0's and numbers &gt; than 9, if the percentage from the counts is bigger than 0.31 or 31% the data quality is not good, as an example I'll take <code>row 2</code>, it has responses from Column B-F (5 cells) and this is the total number of responses, the count of bad data is 2, so in percentage will be represented the quality as <code>2/5 = 40%</code>, but I want to do the same for the all survey questions in a survey with 1600 questions, <a href=""https://docs.google.com/spreadsheets/d/1SylcKsNjuA9WJ6aCiD1YuORWHfJidlAl3umthylGwuE/edit?usp=sharing"" rel=""nofollow noreferrer"">this document</a>,the document attached contains a small piece of data from the original survey. So I would like to ask for a better solution that counting all the columns and the rows, I'm asking for a recomendation or how I should check the data quality, basically in the document I have all the formulas that I need but I would like to have all the formulas in just one. Also in the document in the desirable output column there is the final result that I would like to have. Hoping my explanaiton was good about the desired output.</p>
","<google-sheets><google-sheets-formula><data-quality>","2023-03-07 01:44:44","124","0","2","75680753","<p>First of all clear everything in ranges <code>G2:J21</code> and <code>L2:M21</code></p>
<p>You can now try the following 2 formulas in cells <code>G2</code> and <code>L2</code> respectively.<br />
<em>As for column <code>K2</code>, it becomes obsolete since it is a fixed number (number 5) that is easily incorporated within the 2nd formula</em></p>
<p>in cell <code>G2</code> try</p>
<pre><code>=INDEX(IF(A2:A21=&quot;&quot;,,
          {BYROW(B2:F21,LAMBDA(zz,{COUNTIF(zz,&quot;Don't know&quot;),COUNTBLANK(zz)})),
           BYROW(F2:F21,LAMBDA(xx,{COUNTIF(xx, 0),COUNTIF(xx, &quot;&gt;9&quot;)}))}))
</code></pre>
<p>in cell <code>L2</code> try</p>
<pre><code>={INDEX(IF(A2:A21=&quot;&quot;,,
            LET(vv,BYROW(G2:J21,LAMBDA(ww,SUM(ww)/5)),
               {vv,INDEX(IF((vv&lt;= 0.3),&quot;Good Quality&quot;,IF(vv&gt;0.31,&quot;Bad Quality&quot;,)))})))}
</code></pre>
<p><a href=""https://i.stack.imgur.com/lHyyX.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/lHyyX.png"" alt=""enter image description here"" /></a></p>
<p><em>(<strong>Do</strong> adjust the formulae according to your ranges and locale)</em></p>
"
"75657343","Check the data quality in Google Sheets (asking for suggestions)","<p>I'm trying to create a sheet to check the data quality from a survey in Google Sheets the document have this format:</p>
<p><a href=""https://i.stack.imgur.com/iajHg.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/iajHg.png"" alt=""enter image description here"" /></a></p>
<p>So basically I was using this formula <code>=COUNTIF(B2:F2,&quot;Don't know&quot;)</code> to count <code>Don't know</code>, empty spaces, 0's and numbers &gt; than 9, if the percentage from the counts is bigger than 0.31 or 31% the data quality is not good, as an example I'll take <code>row 2</code>, it has responses from Column B-F (5 cells) and this is the total number of responses, the count of bad data is 2, so in percentage will be represented the quality as <code>2/5 = 40%</code>, but I want to do the same for the all survey questions in a survey with 1600 questions, <a href=""https://docs.google.com/spreadsheets/d/1SylcKsNjuA9WJ6aCiD1YuORWHfJidlAl3umthylGwuE/edit?usp=sharing"" rel=""nofollow noreferrer"">this document</a>,the document attached contains a small piece of data from the original survey. So I would like to ask for a better solution that counting all the columns and the rows, I'm asking for a recomendation or how I should check the data quality, basically in the document I have all the formulas that I need but I would like to have all the formulas in just one. Also in the document in the desirable output column there is the final result that I would like to have. Hoping my explanaiton was good about the desired output.</p>
","<google-sheets><google-sheets-formula><data-quality>","2023-03-07 01:44:44","124","0","2","75684319","<p>You may try this:</p>
<pre><code>=byrow(B2:F,lambda(z,if(offset(index(z,,1),0,-1)=&quot;&quot;,,
      let(x,(countif(z,&quot;Don't Know&quot;)+countblank(z)+--(index(z,,5)=0)+--(index(z,,5)&gt;9))/columns(z),
      if(x&gt;0.3,&quot;Bad&quot;,&quot;Good&quot;)&amp;&quot; Quality&quot;))))
</code></pre>
<p><a href=""https://i.stack.imgur.com/vjZ37.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/vjZ37.png"" alt=""enter image description here"" /></a></p>
<p>if you wish to see the score alongside the quality status then use:</p>
<pre><code>=byrow(B2:F,lambda(z,if(offset(index(z,,1),0,-1)=&quot;&quot;,,let(x,(countif(z,&quot;Don't Know&quot;)+countblank(z)+--(index(z,,5)=0)+--(index(z,,5)&gt;9))/columns(z),{to_percent(x),if(x&gt;0.3,&quot;Bad&quot;,&quot;Good&quot;)&amp;&quot; Quality&quot;}))))
</code></pre>
"
"75606832","Is there a local Graph DB (e.g. Neo4j) for Flutter that optionally syncs with the cloud?","<p>do you have a smart approach to tackle the following challenge? A flutter app wants to model its data in a graph structure. This graph structure includes meta information about objects, text based information and links to files (e.g. images, videos, audios, documents). These files are stored in a seperate file storage (to keep the graph light). This solution should work locally and optionally sync (as fast as possible) with the cloud. So I suppose there had to be some sort of local server that hosts both a graph database and file storage as well as some mechanism that can sync (ideally in the background?) these data with an instance in a cloud (to enable syncronization across devices). How would you go about developing a solution in flutter for this? Please let me know if you need more information.</p>
<p>Thank you and kind regards,
Niklas</p>
<p>I already did my own research on this but don't find a graph db integration for flutter where I can run a local instance that syncs with the cloud. I would expect that my problem is not that unique and there's some frameworks for it. I'd like to understand this better by hearing how you would tackle the problem. Thank you.</p>
","<flutter><graph><cloud><local><data-synchronization>","2023-03-01 17:02:13","51","1","1","75745723","<p>It's a little unclear to me based on your question what problem you are actually trying to solve here, but for my answer I'm going to assume you are looking for some kind of realtime sync that stores locally while offline, and then automatically detects a network connection and syncs again.</p>
<p>There really isn't a native neo4j solution here currently, nor, honestly, do I expect there ever will be.</p>
<p>There are, however similar tools for other types of databases, so I suppose it may happen one day.
<a href=""https://www.mongodb.com/docs/realm/sdk/flutter/"" rel=""nofollow noreferrer"">https://www.mongodb.com/docs/realm/sdk/flutter/</a>
<a href=""https://firebase.google.com/docs/database/flutter/offline-capabilities"" rel=""nofollow noreferrer"">https://firebase.google.com/docs/database/flutter/offline-capabilities</a></p>
<p>My team isn't exactly solving for this exact problem, because we aren't really at a point where we're thinking about offline functionality, so I apologize if this question isn't a perfect match. But what we do is use GraphQL to interface with our Neo4j database. By doing so, we have an opportunity to model our local data however we need to on the client and easily convert to JSON objects to interface with our API in a graph-like structure.</p>
<p>Unfortunately, given the complexities of syncing offline/online in realtime, and especially because neo4j/graphql doesn't really have good subscription functionality yet, you may find yourself having to either roll out some very challenging custom solutions, lean on something like the libraries referenced above, or making compromises on your functionality.</p>
<p>Alternatively, if realtime sync isn't the point, I would argue that your client database really doesn't need to use the same tools as your server db  (that's what apis are for) and that you should consider using sqlite, one of the above db tools, or one of the many other mobile client databases available. You can find many of them here: <a href=""https://pub.dev/packages?q=database"" rel=""nofollow noreferrer"">https://pub.dev/packages?q=database</a></p>
<p>updating to add: Depending on your goals and experience level you may also want to consider the question of if you actually even need a database on the client at all.</p>
"
"75590411","Multiple Users editing the same (DT) table at the same time","<p>Is it possible to have multiple users modifying the same DT table simultaneously (like a google doc / excel ...) ? We have an app with a table where users that are connected to the app need to add comments within the table. But in the case of multiple users that have loaded the page before anyone has added a comment, the last one to add one deletes all previously entered comments. I've done this kind of thing with a MongoDB but for this app we would like to stay inside shiny. Would you know how to circumvent this issue ? If Shiny package exists, even if it's not DT related ?
Thanks a lot, let me know if I can clarify the question !!</p>
","<r><shiny><dt><data-synchronization>","2023-02-28 09:56:56","54","1","1","75592442","<p>This can be done using a global <code>reactiveVal</code> (defined outside of the <code>server</code> function), which is shared among sessions.</p>
<p>The following is based on the example given <a href=""https://github.com/rstudio/DT/pull/480#issue-289146755"" rel=""nofollow noreferrer"">here</a>:</p>
<pre><code>library(shiny)
library(DT)

DF &lt;- reactiveVal(iris) # cross session reactiveVal

ui &lt;- fluidPage(DTOutput('myTable'))

server &lt;- function(input, output, session) {
  observeEvent(input$myTable_cell_edit, {
    info = input$myTable_cell_edit
    str(info)
    i = info$row
    j = info$col + 1  # column index offset by 1
    v = info$value
    tmpDF &lt;- DF()
    tmpDF[i, j] &lt;- DT::coerceValue(v, DF()[i, j])
    DF(tmpDF)
  })
  output$myTable &lt;- renderDT({
    DF()
  }, selection = 'none', rownames = FALSE, editable = TRUE)
}

shinyApp(ui, server)
</code></pre>
<p><em>DT edit in the first session appears in the second and vice versa:</em>
<a href=""https://i.stack.imgur.com/c81MH.gif"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/c81MH.gif"" alt=""result"" /></a></p>
"
"75229394","Can we use Microsoft Purview and Unity Catalog together","<p><code>Unity Catalog</code> is the Azure Databricks data governance solution for the Lakehouse. Whereas, <code>Microsoft Purview</code> provides a unified data governance solution to help manage and govern your on-premises, multicloud, and software as a service (SaaS) data.</p>
<p><strong>Question</strong>: In our <code>same</code> Azure Cloud project, can we use <code>Unity Catalog</code> for the Azure Databricks Lakehouse, and use Microsoft Purview for the rest of our Azure project?</p>
<p><strong>Update</strong>: In our current Azure subscription, we have divided workload as follows:</p>
<ol>
<li><strong>SQL related workload</strong>: we are doing all our SQL database work using Databricks <code>only</code> (no Azure SQL databases are involved). That is, we are using Databricks Lakehouse, Delta Lake, Deatricks SQL etc. to perform <code>ETL</code> and all <code>Data Analytics work</code>.</li>
<li><strong>All Non-SQL workload</strong>: All other assets (Excel files, csv files, pdf, media files etc.) are stored in various Azure storage accounts.</li>
</ol>
<p>MS Purview is doing a good job in scanning assets in scenario 2 above, and it easily creates a holistic, up-to-date map of our data landscape with automated data discovery, sensitive data classification, and end-to-end data lineage. It also enables our data consumers to access valuable, trustworthy data management.</p>
<p>However, our almost 50% of the work (SQL, ETL, Data Analytics etc.) is done in Azure Databricks where we have significant challenges with Purview. We were wondering if it's possible to keep Purview and Unity Catalog separate as follows: Purview does its Data Governance work for scenario 1 only and Unity Catalog does its Data Governance work for scenario 2 only.</p>
<p>This recently released update may resolve our issue of making Purview work better with Azure Databricks but we have not tried it yet: <a href=""https://learn.microsoft.com/en-us/azure/purview/register-scan-azure-databricks"" rel=""nofollow noreferrer"">Connect to and manage Azure Databricks in Microsoft Purview (Preview)</a></p>
","<azure><azure-databricks><azure-purview><databricks-unity-catalog><data-governance>","2023-01-25 03:16:02","1692","2","3","75231419","<p>As of right now there is no official integration between Unity Catalog and Purview yet, but it may come in the future. You may join <a href=""https://www.databricks.com/p/webinar/productroadmapwebinar"" rel=""nofollow noreferrer"">Azure Databricks roadmap webinar</a> that will be tomorrow to get more information.</p>
<p>Regarding the actual question - imho, nothing prevents you from using UC &amp; Purview in the same Azure project.</p>
<p>P.S. You can get metadata &amp; lineage information into Purview by loading data from <a href=""https://learn.microsoft.com/en-us/azure/databricks/sql/language-manual/sql-ref-information-schema"" rel=""nofollow noreferrer"">information schema tables</a> and using Purview APIs to store it in Purview.</p>
"
